Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Please Enter The Discord Usernames Of All Your Team Members!
The recruitment game,https://revuc-x.devpost.com/submissions/209938-the-recruitment-game,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 00:17:18,"The recruitment game

Recruitment is an art. Humans recruit humans/non-humans from the pool of information they have but has anyone connected with all the homo-sapiens around the world? Cicada 3301 was meant to recruit highly intelligent people through the dark-web. It was/is a collaborative effort from humans all around the globe to connect with people who wanted to work together to achieve a common goal, innovation! I care for each and everyone on this planet so I want to recruit everyone whether it's the dark web or the surface web. The recruitment game will help us connect with people, to understand people and the most important thing of all, it'll help people to understand how a person's mind works. 

History

This game started in 2013 when a group of like-minded people were having a cup of coffee and discussing advance recruitment techniques. There were engineers, researchers, and a human being which nobody knows. People call that person Cicada. They intended to connect with every human on the planet but the only thing common between that group was that they played games. They were all cryptographers in their ways so they started a game. I might have also played that game sometime in my life but it was not available publicly. This is an open-source game that will help us to achieve the goal which they intended to achieve. 

What it does

This is a scavenger hunt. It is a simple game but complex at the same time. A person can solve these clues using a computer or just a pen and paper. As you can see in the videos that I designed a game using a pencil so a human can easily solve it with a pencil or a computer but, it solely remains in the hands of the human which path they use because each path leads to a different destination. Everyone has started the journey from a different place but we will end it together! 

What's next for The recruitment game

This is a game which will keep on going until all the people interested are into it. A person will start the game and will get bored because they might be unable to reach the next clue but, each and every clue will be a hurdle or a step forward. This can turn into one of the world's largest open-source project where researchers from all over the world can contribute and help each other to achieve their goals. I started this game alone with the intention to connect people. Let's see what happens next. 
",https://hellokathan2.wordpress.com,https://youtu.be/1nITCfifMaY,"Best Education Hack, Best Design Hack, Most Creative Hack, Most Useless Hack, Most Innovative Grad Hack (EECS-GSA)","python, cryptography, angular.js",,University of Cincinnati,0,"",nightkpowl
GreenUP,https://revuc-x.devpost.com/submissions/210041-greenup,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 02:03:44,"Inspiration

Everyone knows about the challenges that our planet is facing when it comes to the environment. This is why we would like to cultivate an eco-friendly culture among the general public in a fun and simple way. 

What it does

GreenUP will allow you to take a picture of an object and will suggest different fun and sustainable ways to reuse and recycle your object. You do a favor to Earth while having fun!

How we built it

We used Python for our backend and Google Cloud's Cloud Vision API to build an ML model that will detect the object on camera. For the front end, we used Flask.

Challenges we ran into

Knowing the right tools to use in the start of the project is always a hard task. We had to do a lot of research and ask questions before starting to code. Gathering a good dataset of different objects and ways to recycle them was also not easy. We did not know much about Google Cloud's API and Flask, so we had to do some research.

Accomplishments that we're proud of

We are just proud to be able to complete the project and come up with something that works and achieves good results.

What we learned

A LOT! From how to code in the backend, deploy the ML model, move to the front end.. We just learned a lot from this project and we are happy to have been able to complete it.

What's next for GreenUP

We would like to expand our dataset and include more objects and maybe new features that would make it better for the user.
",https://github.com/yahyaakli/spring2020hackathon,https://www.youtube.com/watch?fbclid=IwAR2Xldo4nmm7dOJVvaS0XDehDdaZ862sI9ojjuFgeuxojozWzEfK68nzi2M&v=ns7Jq-9SvEc&feature=youtu.be&ab_channel=yahyaakli,"Best use of Google Cloud (MLH), Best Design Hack, Most Creative Hack, Most Innovative Grad Hack (EECS-GSA)","python, google-cloud, flask",,University of Cincinnati,1,"","nabil.berjaoui, yahya.akli"
LazyKnow,https://revuc-x.devpost.com/submissions/210199-lazyknow,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 04:52:58,"Inspiration

Sometimes, we needed to refer back to a lecture to review, or wished not to miss important lectures that we didn't have the ability to fully attend. Unfortunately, Zoom, and most video-conferencing services, only allow hosts and paying customers to record meetings. We thus created LazyKnow to help us avoid falling behind in class.

What it does

LazyKnow provides users the important information of a lecture through just a few simple clicks. You can indicate when you want LazyKnow to begin and finish storing content from your lecture. After your lecture is finished, you can choose to retrieve the full transcription of your lecture and/or automatically download AI-generated notes if you're reviewing in a rush.

How we built it

We built it using Python, tkinter, AssemblyAI, and the Bert Extractive Summarizer

Challenges we ran into

We had problems transcribing the audio due to compatibility and encoding issues with the audio files.

Accomplishments that we're proud of

We're proud of making a functional app through our combined efforts, and not giving up and ""subtly leaving the hackathon"" after experiencing severe technical difficulties for a few hours.

What we learned

We learned about the complexities of computer audio handling, how to create desktop applications, and the power of friendship.

What's next for LazyKnow

We hope to generate more sophisticated and attractive-looking notes for our users.
",https://github.com/bbrianzzhang/notetaker,https://youtu.be/4UDyJP76BWs,"Best Education Hack, Most Creative Hack","python, tkinter, assembly-ai",,"",1,"",senioritis#7240 Brian Zhang#9263
Detectia,https://revuc-x.devpost.com/submissions/210411-detectia,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 08:06:44,"Inspiration

Recently a video popped in my recommendation, this was the video - link. This video caught my attention and I watched it to the end. It got my mind thinking, I browsed the Internet and came to know that a machine called a Polygraph can actually detect truths and lies using body vitals. After further research, I found there are web tools that can spot lies using facial and audio recognition, Soon I thought we could make a tool that detects a lie by the text provided, it seemed to be a great idea. So we started this project

What it does

This is a text-based lie detector. 
Users can input text/statements and submit them. Our neural network will analyze the statement and classify it as truth or lie based on these categories


No. of characters
No. of words
Avg. length of words
Readability score
Part of speech: Is this word an adjective, noun, something else
After analyzing it properly it would tell you whether it is truth or lie and the truth/lie percentage as well.
This tool can really help in spotting lies


How we built it

We used Flask and Python in the backend to create the web server. For detecting lies, we use a Neural network and NLP for our model. The model is trained on 200 rows of data by PolitiFacts, PolitiFacts is a website which provides facts and rates them as true or false. We have used CSS and vanilla JS for the frontend.

Challenges we ran into

We are both high schoolers and this project was a bit complex for us. Having limited experience in ML as well as neural networks we faced hurdles every minute. Using helps from open source platforms asking some friends and crash coursing things we made it through. But there were specific challenges that had us scared -


Data Scraping
Using NLP and Neural network (first timers)
Our teammates left in between which only left us two
Hosting it


Accomplishments that we're proud of

This hackathon was very competitive. Jostling through the competitive coding experience had us goosebumps.  During these 24 hours, we achieved many things which made us proud and boosted our self-esteem. The accomplishments we are most proud of -:


Completing this grand project in 24 hours
Building the neural network
Successfully data scraping over 800 rows (although we didn't use it at the end)
Training the Neural network (was a too tedious task)


What we learned

We are both high schoolers and this project was a bit complex for us. Having limited experience in ML. We learned the basics of ML,  expanded our knowledge of python, and learned about neural networks

What's next for Detectia

We will make it more accurate and provide reasons as well.
We will also add OCR (image to text) and Speech to the text which will make it more accessible
","https://detectia.herokuapp.com/, https://github.com/antriksh123/Detectia, https://detectia.tech",https://youtu.be/p9ZhpZxvdYY,"Best Domain Registered with Domain.com (MLH), Best Education Hack, Best Design Hack, Most Creative Hack, Most Useless Hack","python, machine-learning",,DLF Public School,2,https://detectia.tech/,yum#8922 Chief#7929
Chelper,https://revuc-x.devpost.com/submissions/210441-chelper,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 08:27:54,"Inspiration

Some of our team members have been in online discord classes before. We noticed that, for teachers, Discord can be a bit complicated to learn with all those text channels, vocal channels, permissions, roles, etc. We think Discord could be a very good platform for online classes plus it's free! So, how about a bot that manages a class for the teacher?

Goal

Our goal is to centralize everything in one platform because online classes, most of the time, are split onto multiple platforms for assignments, classes, etc. Also, we want to add some security features to prevent student to cause chaos in the server

What it does

Right from the creation of the server, Chelper guides teachers through the configuration, there is almost no actions needed from the teacher. Here's what we implemented


When students will join the Discord, it will ask them for their student ID to verify them, rename them to their real name and assign them the right role to give them permissions to what they need. This way, no more Discord raid!
Teachers can give assignments with a due date and students will be able to submit their hard work directly to the bot, in his direct messages which will redirect it only to the teacher. 
Teachers are able to start online class at any moment, which opens the voice channel for the students to join


How we built it

We built it using Discord.py and we developped inside a poetry virtual environment. We also implemented a database connection, but we did not link it to the application due to lack of time. Also, to make it easier for our user, we made a beautiful pdf documentation 

Challenges we ran into

Message reaction events took a lot of time to put into place

Accomplishments that we're proud of

For the whole team, it is our first Discord bot and we think it's a pretty good start

What's next for Chelper

There's a lot of online class problems that we thought of, but in 24h we had to select the major ones. In the future, we could implement chat restrictions, moderation tools, ban chat words, anonymous questions.

Credits

All art work credits goes to Gael Abudarham


Instagram : @roundworkimage

","https://discord.com/api/oauth2/authorize?client_id=810221205554593852&permissions=8&scope=bot, https://github.com/AggroBane/Chelper, https://drive.google.com/file/d/1Y7tcqTIG1NqNucqjnnaC-NiTzO7JmFmU/view?usp=sharing",https://www.youtube.com/watch?v=kRZdfa6JB8M&feature=youtu.be&ab_channel=CodeMonke,"Best Education Hack, Most Creative Hack","discord.py, python, sql, poetry",,CÃ©gep Garneau,2,"","AggroBane#7712, eXo #9582, Hypstersaurus #6896"
Mastermind game,https://revuc-x.devpost.com/submissions/210505-mastermind-game,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 09:02:43,"Inspiration

I started playing board games when I was young, and I still loving them. Now, with my new additions of skills in Computer Science, I am able to build these board games by code. I am also interested in creating bots that can navigate the game itself and solve it. 

The rule of Mastermind

If you already know it, you can skip for the next section
This is the game called Mastermind, a type of logical game between 2 players. One player comes up with a sequence of colors (in this program a sequence of digits, from 1 to 9), and the other player tries to solve it by making guesses. After each guess, the player with the code provides information about how closely matched the guess is compared with the actual code (element-wise comparison).  

There are three types of indicators: Green, which is an exact match of a digit (value and position in the code sequence); Yellow, which shows that digit exists in the code sequence; and Red, which shows that digit is not in the code sequence at all. 

What it does

The game has two parts. One part is for you, the player, to guess the number randomly generated by the system. The other part is the AI, in which you provide the test and see how many steps the AI takes to solve it. 

For the first part, the program randomly generates a sequence of 4 digits from 1 to 9. You then take turns to guess the digits. Whenever you press Enter, 1 turn counts. The results box shows how closely matched your answer is with the code sequence. The rules for the colors can be found in The rule of Mastermind above, in the second paragraph. Theoretically you have only 8 turns maximum to solve the digit. 

For the second part, the program asks you for a sequence. Then an AI attempts to solve that sequence using the knowledge it learns after each guess. Its guesses are shown in the box on the right of the program, and the final guess should match with the code you provide in the first place. 

How I built it

This project is very simple. The external modules needed to import for Python to run this program are only Numpy and Pygame. 

The project has three main classes (or files). The first class is the Mastermind() class, which is the game objevt. The second class is the MastermindAI() class, which is the AI object used to solve the game given the Mastermind() class for it. Finally, the MainGUI() connects all the objects together to create the GUI for this project. 

The concept behind the AI is also very simple. The first guess we make a random guess, and sees what the feedback is. The AI stores its knowledge in some variables. The self.known is a dictionary that maps the index of the sequence to its correct answer. The self.existed() is a set that records the possible values in the sequence. The self.cannot is a dictionary of sets that maps the index of the sequence to a set of values it cannot have. And the self.notexisted() is a set that contains the values the sequence is sure to not have. After each guess, these four variables are updated, and they are very robust that they can solve the sequence in usually 5 or 6 steps. 

The motivation of the design of this AI is from the Minesweeper problem set, in the Knowledge lecture by CS50 Introduction to AI course on EdX. 

Challenges I ran into

There are some obvious bugs in the program, like the digits get overriden if the user does not press Delete before, or the past guesses board does not have a scrolling function if there are more than nine guesses. I do not have time to cover everything, because I am still a beginner in code, and I work alone on this project. 

Accomplishments that I'm proud of

Of course my proudest is the work being able to run! This project is far from the much more complicated programs or websites or AI systems out there. But it is beginner friendly, yet it covers many important Python concepts, like event handling, inheritance, management of objects and data structures, ...

What I learned

This project allows me to practice using Pygame one more time, as well as giving me the time constraints to finish the project. 

What's next for Mastermind game

There are several ways to expand this game, such as allowing a user to define the range of digits (or numbers) for each element in the sequence, and the length of the sequence itself. Running the code for many randomly generated sequences, and providing plots to analyze the AI's performance is also very interesting. I can also try improving the bot by building optimalization code for it. Then finally, to publish it, I can build a simple website from Flask, then use the networking module in Python to build a Mastermind website that allows the players to log in and play each other. 
",https://github.com/Mustardburger/mastermind,https://www.youtube.com/watch?v=h9n0AfBhjIk&feature=youtu.be,"","python, pygame",,University of Cincinnati,0,"",Mustard
Coin Tosser,https://revuc-x.devpost.com/submissions/210526-coin-tosser,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 09:12:53,"Inspiration

We are beginners. We wanted to win. So we decided to make a website that is not useful. Just to get a prize in Useless hack.

What it does

It gives the output as heads/tails upon clicking a button

How we built it

Using HTML, CSS, and Javascript.

Challenges we ran into

How to center button to the center of the page, How to show the result of the coin toss

Accomplishments that we're proud of

Learnt positioning of elements using CSS

What we learned

HTML, CSS and git
How to change background colour using animation.

What's next for Coin Tosser

Add more games or mini-games and convert the website to a 
",https://github.com/Irfan7014/RevolutionUC-2021,https://youtu.be/-mDizfWdxS8,Most Useless Hack,"html, css, javascript",,Fr. Conceicao Rodrigues College of Engineering,3,"",Irrffii  /  iwtga /  rachel-codead  /  aayushi
Bananalyzer,https://revuc-x.devpost.com/submissions/210527-bananalyzer,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 09:13:34,"Inspiration

With the pandemic causing people not to move as much, eating healthy is as important as ever. During this time, one of our group members tried eating more produce but had minimal knowledge on what was good and for how long. We realized a barrier was present for produce selection and healthy eating for inexperienced buyers.

What it does

Bananalzyer utilizes a web application to take pictures of produce to be analyzed. Then, image processing trained by a neural network uses the image to provide data on ripeness, freshness, and days until the item goes bad. The data is presented to the customer to inform them to make the best decision.

How we built it

We built the web app using Bootstrap, HTML, CSS, and Flask. Utilizing Github and VS code to work together on the project between the four people. Then to analyze the fruit we used image processing trained by a neural network. We used several different image processing techniques and algorithms. We utilized machine learning to help classify good and bad fruit.

Challenges we ran into

During the project, with 4 people working together we ran into coordination issues. Also, given no final solution sometimes ideas conflicted. When designing the website we had minimal front end development experience so designing and redesigning the website was a big challenge. 

Accomplishments that we're proud of

We are proud of developing an idea that will help the health of others by giving them access to more information to make better decisions. Team work was improved between the group during the process to improve efficiency through the event. Being able to submit a working application and being able to demo it effectively was a fulfilling achievement.

What we learned

We learned front end development and how to overcome the challenges involved with it. Also, we learned how to integrate the image processing into the web application to accomplish the intended functionality and make the idea come to life.

What's next for Bananalyzer

Unfortunately, due to time constraints, Bananalyzer could not meet all the functionality that was intended. Up next is incorporating more produce to chose from, improve the UI to make it easier to use, and provide more data on the produce. We plan on expanding our process by adding in questions related to the texture for the user to input after he/she has taken a picture of the produce. We understand there are other factors that go into the freshness of produce and will be working towards adding these factors to enhance the rating process. We also plan on improving the ""Bananalyze"" page by showing more detailed data as well as using charts so the consumer can visualize the data easier. This visualization is important so the customer can understand the important factors, freshness, ripeness, and how long the produce will last.
",https://github.com/32BenH/FruitParty,https://youtu.be/k-U78owcmII,"Best Domain Registered with Domain.com (MLH), Best Design Hack, Most Creative Hack, Most Useless Hack, Most Innovative Grad Hack (EECS-GSA), Making the Customer's Life Easier (84.51)","html, css, java, python, github, matlab",,University of Cincinnati,3,https://banalyzer.tech,"wije#8943, Leaxle#2933, Kwippy#5578"
Witty Bear,https://revuc-x.devpost.com/submissions/210591-witty-bear,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 09:52:58,"Inspiration

What it does

Powered with ReactJS and Google Cloud, Witty Bear is a platform where not only you can attend the events but schedule the events as well. It's a perfect platform for the organizers and the attendees to coordinate.

How we built it

We developed a web application framework ""Witty Bear"" as a prototype of user interface which uses Google Cloud Firestore as back-end and ReactJS as front-end. Authentication and storage of information done through Google Cloud Firestore as well.

Challenges we ran into

We faced issues with the design of the frontend as we were trying to implement a great user experience. Connecting and fetching the data from the Google Cloud was also a bit challenging.

Accomplishments that we're proud of

The user interface of our web application is something we are proud of. We are now more familiar with Google Cloud. CRUD operations and query with Google Firestore are all the things that we'll list as our accomplishments.

What we learned

From the first commit on git to collaborating as a team, connecting Google Cloud and deploying the code on heroku, we have learned a lot.

What's next for Untitled

We are extremely excited about the web application and we are definitely going to work on it and take it to a position where it can actually help people.
","http://wittybear.herokuapp.com/, https://github.com/aman-malviya/revolutionuc",https://youtu.be/KU1QpdLSNmk,"Best use of Google Cloud (MLH), Best Education Hack, Best Design Hack","react, html5, css3, google-cloud, firestore, vscode, github, git",,"MANIT Bhopal, India",1,"",'@yash7091       @Aman Malviya
Hack It On!,"",Draft,Pending,Project overview,02/21/2021 10:01:17,"","",,"","",,Ivy Tech Community College of Indiana,0,"",""
Fluency,https://revuc-x.devpost.com/submissions/210625-fluency,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:10:56,"Inspiration

Eloquent oration and strong communication are crucial skills to make sure one's point gets across, whether that be in interviews, presentations, or even every day conversation. Our team realized that there are countless self-improvement apps to help users quantify their fitness, knowledge, productivity, etc. but nothing for speaking. With all communication being virtual, it is ever more important to focus on the quality of our words, because that's one of the only ways for us to connect with each other. Everyone wants to be a better speaker, and the Fluency is designed to support the process of refining one's speech.

What it does

The Fluency is a lightweight app that will help analyze your communications. At any point, a user can choose to start or stop recording their audio. The audio file will then be securely transferred over to our back-end servers to analyze directly using ML models without any work on the user-end. Once the analysis is completed, users can see statistics such as their speaking rate, amount of unnecessary pauses, and other valuable, and sometimes unexpected data.

How we built it

The Fluency is an Electron App which makes API requests to a Google Cloud Platform Flask back-end. The libraries used to analyze the data is my-voice-analysis.

Challenges we ran into

None of our team had been familiar with how modern libraries work with audio files, and it turns out they are a lot more complicated than we'd imagined. Figuring out how to transfer these files back and forth from the client-side to the back-end was a headache as the configuration for how our app would record audio could only work on Windows machines.

The models that have been made for specifically the task of analyzing issues in speech are restricted in their functionality, and there are no robust technologies that have been produced for this task. Thus we had to hack together a few different libraries together to get the analysis that we wanted.

We initially were thinking of using simple serverless API calls from a simple chrome extension. However, the packages and programs we needed to set-up became very delicate and so we had to completely scrap and recreate our backend around halfway through, and the browser was often fickle with allowing us to record microphone audio.

Accomplishments that we're proud of

Despite the difficulties dealing with audio files, we managed to create an extremely streamlined back-end. The computation speed can be scaled up quite easily by adding more cores into the GCP Compute Engine, and we abided by REST standards.

What we learned

Although we had experience with Python and backend before, we had never used Flask. It was incredible to see libraries that seemed to constantly break down in deployment be so seamlessly integrated via Flask. While working with the Python ML, we also realized both how incredibly powerful ML is, as well as how incomplete these models currently are for speech analysis and a day-to-day user. 

When our ideas for making a Chrome extension broke down, we knew we had to find something equally as accessible. Mentors suggested Electron, and we decided to use that for the first-time to create a client-side interface. 

What's next for Fluency

There are so many possibilities ahead now that we have settled the back-end infrastructure and audio data transfer. It is now far more feasible to iterate on our ideas and expand the types of models that we are using for the audio analysis. Different models allow for different analyses, and depending on which features users want to see, we can pick and choose models to implement. 

Part of the hopes with the project as a Chrome Extension was for integration with Google Meets or Messenger Calls for ease of use whenever entering a meeting. As an isolated Electron App, we now have the opportunity of integrating with Zoom, Skype, and other video/audio calling platforms.

We want to give users a very comfortable, accessible, but also productive experience, so we want to implement visualizations of the data and trends across time so that users can have a better idea of how to improve.
",https://github.com/joshuanianji/um-detector,https://youtu.be/De7u6KFPyNo,"Best use of Google Cloud (MLH), Best Education Hack","javascript, html, firebase, electron, flask, python, machine-learning, natural-language-processing, google-cloud",,University of Alberta,3,"","calvin, OshuaJay, RubberNoodles, ProbablyNotWorking"
Crash Buddy,https://revuc-x.devpost.com/submissions/210630-crash-buddy,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:13:18,"Inspiration

Motorcycles are by their nature far less crashworthy than closed vehicles. They are also less visible to other drivers and pedestrians and less stable than four-wheel vehicles. Operating a motorcycle requires a different combination of physical and mental skills than those used in driving four-wheel vehicles. Motorcyclists and their passengers are more vulnerable to the hazards of weather and road conditions than drivers in closed vehicles.

In 2018, 4,985 motorcyclists died in motorcycle crashes and 857 bicyclists were killed in traffic crashes in the United States. Crash Buddy is a simple solution to this problem. It updates the website with the pre-crash data of a vehicle and also the position of the crashed vehicle. The amount of death and loss due to accidents is immense, especially for the victims who could be saved but weren't due to the lack of available communications with the medical support system. With this and a few close calls ourselves we came up with this project.

What it does

We have embedded piezo-sensors, an accelerometer, a GPS module and NodeMCU into a motorcycle jacket. When the driver meets with an accident(whether they are hit or fall down), the piezo-sensors are activated which in turn activates the GPS module which then relays the location of the rider to Google Firebase and displays the location on a website for easy access by the Emergency services.

How we built it

We used a few piezo sensors strategically placed at places that would feel the pressure after being hit during an accident, a neo-6m GPS module and a NodeMCU.

Challenges we ran into

The GPS module took some time to get up and running.

Accomplishments that we're proud of

Integrating hardware, GPS services, a website and a cloud to create an exciting and helpful project!

What we learned

Always reset your NodeMCU before uploading new code otherwise you will waste a lot of time compiling and running the right code and getting wrong results.

What's next for Crash Buddy

To deploy the website in real life for Emergency services and increase accuracy of GPS module.
","https://github.com/atharwa-24/Crash-Buddy, https://crash-buddy.netlify.app",https://youtu.be/s_BeUUfpEvY,"Best use of Google Cloud (MLH), Best Hardware Hack Sponsored by Digi-Key (MLH), Best Design Hack, Most Creative Hack","nodemcu, neo6mgps, accelerometer, piezo-sensor, html5, css, javascript, bootstrap, google-maps, firebase",,"VIT, Pune, Vishwakarma Institute of Technology , savitribai phule university, pune university ",3,"","PeePeePooPoo#0661, Atharwa_Kharkar#1002, sastadante#2016, Tejas_Khairnar#8735"
Leafy,https://revuc-x.devpost.com/submissions/210640-leafy,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:20:25,"Inspiration

My major source of motivation for leafy was an incident that took place recently. My mother and her friends are very enthusiastic about botany. My house has a big garden with innumerable plants. She usually spends a lot of her time catering to all their needs. Once my neighbourâ€™s plant recently caught a infectious plant disease which was left undiagnosed. Due to this, the disease got communicated to our plants leading to their gradual death. Being nature lovers, it was a very traumatic experience for all of us. It made me wonder about the huge losses that the agriculture sector incurs because of the lack of right awareness at the right time. This prompted me to prepare a mobile application to prevent its reoccurrence.

What it does

The android app takes a leaf image from mobile gallery. App is connected via API to python backend which uses a well trained CNN based model which is trained by dataset comprising of over 30000 plant images. It can accurately predict and classify leaf diseases to a degree of 94%. If the model finds the detected disease to be infectious, it notifies all the nearby mobile phones(in radius < 2 km) to take precautions to prevent the disease.

How we built it

CNN model using Tensorflow, Scikit-learn, and OpenCV
App using android studio
API using flask(python)
and around 5 cups of coffee â˜•ï¸ 

Challenges we ran into

I used my knowledge of java, python and html with a bit of css. Building a CNN model which could private the highest level of accuracy and F1 score was the main challenge. Another challenge was trying and testing the perfect combination of the CNN model parameters achieved desired results.

Accomplishments that we're proud of

Through the course of this hackathon, I learnt the use of Google cloud AI notebooks which will go a long way in helping us become better hackers. The fact that we were able to document our imagination and ideas into code successfully and complete this project in time is probably a big accomplishment for both of us. 

What's next for Leafy

With the use of Drone, I look forward to map acres of land to help the farm owners. Also, I can extend and develop another model which would be able to analyse soil through photos and predict about any lack of nutrients.
","",https://youtu.be/8koEKykNoLA,"Best use of Google Cloud (MLH), Best Design Hack, Most Creative Hack, Most Innovative Grad Hack (EECS-GSA), 1st Place Capture the Flag, Making the Customer's Life Easier (84.51)","tensorflow, python, java, android",,University of Massachusetts Amherst,0,"",mst#1470
Hack it On!,https://revuc-x.devpost.com/submissions/210643-hack-it-on,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:21:25,"Inspiration

This project was pretty heavily inspired by games in the Jackbox series, as well as some past projects we've worked on. We decided we want to try for a retro-theme game, and ended up theming it around hacking.

What it does

In Hack It On, all players are grouped on a team and tasked with completing specific tasks such as debugging a program, entering in passwords, and reading out said passwords for people to achieve the ultimate goal of earning enough points to hack into the mainframe. What's the mainframe? We're not quite sure yet.

How we built it

Hack It On was originally served through Django, with the majority of it is written in NodeJS. Communication between the client and the server is handled through Socket.IO. Issues with deploying the Django server forced us to switch to NodeJS for serving last minute.

Challenges we ran into

The biggest challenges we ran into were not logical ones, but just the time constraint and random JavaScript irregularities. Eventually, though, we made the most of our time and solved all the random errors.
Also, Domain.com had trouble with our user account. We did purchase the domain hacking-it.online.
","https://github.com/drewgifford/HackItOn, http://hackiton.drewgifford.com",https://youtu.be/AiZFkZn_OO0,"Best Domain Registered with Domain.com (MLH), Best Design Hack, Most Creative Hack","node.js, django, html5, css3, javascript, socket.io",,"University of Cincinnati, Ivy Tech Community College of Indiana",1,http://hacking-it.online,"Toadally#0001, Jared#5984"
Seek Out Local,https://revuc-x.devpost.com/submissions/210660-seek-out-local,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:33:51,"Inspiration

The pandemic has impacted many local businesses to cut costs with staff, hours, or shutting down the business as a whole. Local and independent businesses need new and lasting customers to make a comeback and to continue expressing their passion for their products. Consumers are transitioning from passive to active consumerism. This is from people spending time at home and realizing the surrounding items should be of good quality and evoke positive emotion. People are choosing quality and price over commodity and convenience. This app will connect consumers with unique, lasting, neighborhood businesses.

What it does

Ideally, the app would be able to connect with the consumers history of purchases from supermarkets such as Kroger, Target, or Walmart. The program would recognize the repeated items and define the item to begin searching for a match from a local business. The information from the local businesses would be drawn from their online shops to provide accurate pricing and content. The ""matched"" item would appear for the user for them to compare and decide to buy commodity or to buy local. The user would be able to see their proximity to the store location using GPS. However, if the person were not looking for food but rather gifts, Etsy.com would be presented to highlight artists in proximity. Navigating to a businesses webpage for purchasing items removes any payment security requirement of the app. Overall, the app encourages the user to buy from local businesses by presenting the organized information   accurately. 

How I built it

I built the user-interface portion using Adobe Xd. I begin with a loading screen as the app were to start up. Then the main screen includes a search bar and the products. From there, I was able to draw paths between screens to show the movement between product images to business websites. 

Challenges I ran into

One challenge was not having any back-end development to know if the idea would be applicable. This did not halt my work as my main goal was to visualize the product and to learn new software!

Accomplishments that I'm proud of

I'm proud of completing my first hackathon! I had a great time getting to meet people, learning Adobe Xd, and being able to create and design a visual and interactive project. 

What I learned

I learned an entirely new software to create and manipulate images. I appreciate having an aesthetic outlet and still being able to solve a problem. 

What's next for Seek Out Local

The next step is to begin the back-end development. Another addition could be to compare the users expenditures with supermarket vs. local/independent businesses with user-interface.
","",https://youtu.be/uMGnGqi7TjI,"Best Design Hack, Making the Customer's Life Easier (84.51)",adobe,,University of Cincinnati,0,"",lran#9157
Fruit Fun Pico-8 Game,https://revuc-x.devpost.com/submissions/210663-fruit-fun-pico-8-game,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:34:47,"Inspiration

I really enjoy playing platform and retro games such as Celeste and I thought it would be fun to learn how to make one myself!

What it does

I built a simple platformer game in which you are a cat who has to jump around and catch fruit falling from the sky. You win the game when you reach 50 points!

How I built it

I built this game using Pico-8, a game making software that runs on a modified version of the Lua language. For the first half of the hackathon I used tutorials to learn the basics of Pico-8 and afterward created my game.

Challenges I ran into
One of the biggest challenges that I ran into was creating the main menu screen and win screen. Because I made them after the game and movement, I had to almost completely move around all my code to make a ""state machine"" or something that would allow me to shift between the main menu, win screen, and game state. There were several scary moments where I went to test the game and nothing happened, but I managed to fix it in the end!

Accomplishments that I'm proud of
I'm proud of myself for making a fully functional game from scratch! I am also proud of myself for submitting my first ever hackathon project!

What I learned
The basics of Pico-8 and Lua
The basics of game development
How hard 8x8 pixel art is and how frustrating collisions can be

What's next for Fruit Fun Pico-8 Game
Something that I wanted to add at the very beginning of the project was a character select option. I want to make it so that once you achieve certain milestones (like collected 100 fruit or won 3 times) you could unlock new characters to play with such as a dog, panda, llama, etc.
I also wanted to add a stage select option where players could select a different environment to play in. However, these goals first require me learning how to create selection options in Pico-8!
",https://github.com/SaadKhan090/Fruit-Fun,https://www.youtube.com/watch?v=on8iok4Pg6U,"Most Creative Hack, Most Useless Hack","pico-8, lua",,"",0,"",Pixelated_Polygon
