Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count
Untitled,"",Draft,Pending,Manage team,02/26/2022 20:59:56,"","",,"","",,"University of Cincinnati, Georgia Institute of Technology - Main Campus",2
Making Bank,https://revuc-xi.devpost.com/submissions/310841-making-bank,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 21:49:24,"Inspiration

We were curious on how a bank system works and what is the algorithm behind every transaction. This project is result of our research of a basic bank system work.

What it does

Allows a user to create an account, log in, deposit, withdrawal, and transfer money.

How we built it

Username and password are created off of the Signup JFrame and saved as a POJO during the sign-in process. That user object is then passed to the Login JFrame and checked against log-in inputs to ensure confidentiality. Then the user object is passed into the Bank JFrame. A combination of the user class and the Bank class allow you to deposit, withdrawal, and transfer money from one account to another.

Challenges we ran into

Working online is difficult.

Accomplishments that we're proud of

We were a team of 3 people, 2 out of 3 were our first hackathon, and we actually got out something and it actually worked.

What we learned

Comprehensive GitHub knowledge is necessary if working online.

What's next for Making Bank

Apply the algorithm to make the Gui using Android-Studio version of it, and actually publish on the Google Play Store
",http://Github.com/Elliott03/Hackathon,https://www.youtube.com/watch?v=QF9nAJiQ-ZA,Fifth Third - deFINe: Development and Education for Financial Independence,"java, jframe, github, git",,University of Cincinnati,2
Recycling Co & Co,https://revuc-xi.devpost.com/submissions/310865-recycling-co-co,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 22:07:20,"Inspiration

Statistics from epa.gov,  the recycling rate (including composting) was 32.1 percent in 2018, down from 34.7 percent in 2015 --> We want to foster the recycling rate by enabling people to connect and share how they help re-use sustainable material. 

What it does

Recycling Co & Co is an app recycling material in your neighborhood, it helps connect people who have unused sustainable material and who need recycled material so that we can foster the recycling rate and help the Earth.

How we built it

We build this app using React Native with Google Cloud API such as Directions or Google Maps so that we can interact with the maps and find the correct location. Our presentation is created by Figma. 

Challenges we ran into

This is the first time ever we use the Google Cloud product which is not firebase so this makes us hard time to understand and integrate it with React Native to have the full product.

Accomplishments that we're proud of

We are proud that the app is able to search anywhere in the world and use it as the original location to help us finds the recyclers nearby

What we learned

We learn how to use the Google Cloud API and the use of the credential key in Google Cloud

What's next for Recycling Co & Co

We will try to integrate the UI/UX with the backend first, and then make the database of authentication for users to logging in and signing up to start recycling
",https://github.com/tiennguyentony/RevolutionUC,https://www.youtube.com/watch?v=8rOrdW05o5A,"Best Design Hack, Best Social Impact Hack, Most Useless Hack, Best Use of Google Cloud (MLH)","google-directions, cloud, react-native, node.js, figma",,University of Nevada - Las Vegas,1
Dino,https://revuc-xi.devpost.com/submissions/310962-dino,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 23:17:11,"Inspiration

We quite simply wanted to make a platformer.

What it does

It is a simple platformer with cute little dinos.

How we built it

We wrote it is PyGame, and used assets we found from itch.io

Assets


Dino Characters
Pixel Platformer


Challenges we ran into


Proper collision detection -- 
Camera scrolling -- introduced weird bugs
Level design -- we settled on a text file method, but it is a hack for moving blocks
Character animation -- proper frame rate is an art
Information dependency hell -- The player object contrarians the level object, contains the player, blocks, etc. It's recursive and strange.


Accomplishments that we're proud of


Moving platforms
Animated movement, idling, and death
Enemies don't fall off of ledges
Everything has an asset!


What we learned


How to use sprite sheets
How to use PyGame to *actually * make a game. We usually use it as a GUI for stranger projects.


What's next for Dino


Menus
Boss level

",https://github.com/I-question-this/dino_game,https://youtu.be/5_PYsmJAG3w,"",pygame,,University of Cincinnati,1
Candy Shop,https://revuc-xi.devpost.com/submissions/311112-candy-shop,Submitted (Hidden),Pending,Submit,02/27/2022 01:44:24,"Inspiration

As someone with a massive sweet tooth, I have always loved candy and would shove candy down my throat at any moment. So, I decided why not try my hand at making a website, so everyone can know what I love!

What it does

It is a static website showing off my hypothetical candy museum that I will own in the future.

How we built it

Using CSS3, HTML, and Bootstrap.

Challenges we ran into

Design was a huge challenge since I couldnâ€™t find the right colors or picture or even formatting. 

Accomplishments that we're proud of

While bootstrap may seems to make things easier, it is definitely more finnicky than I thought.

What we learned

Bootstrap is great and formatting just takes time and patience for a website!

What's next for Candy Shop

I will build another page for candy shop!
","",https://vimeo.com/682531078,"Best Design Hack, Most Useless Hack","css, html5, bootstrap",,University of Cincinnati,0
Retro Study,https://revuc-xi.devpost.com/submissions/311122-retro-study,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 01:56:28,"Inspiration

Retro Study is a website aimed to assisting students and lecturers in online classes. The COVID-19 has caused schools all across the world to close. Over 1.2 billion youngsters are out of school worldwide. In the survey, 54-58 percent of students said they had severe physical strain, vision problems, backache and headaches from posture problems, lethargy, exhaustion, irritation, and obesity. Even in all-remote contexts, teachers reported higher student absenteeism and less interaction among student than in face-to-face classes.

What it does

Retro Study has various features which target and provide a solution for the different problems faced during online for both teachers and students.

â€¢ Emotion camera : It's tough for lecturers to assess students' understanding after lectures in an online class. This tool assists the teacher in determining whether the students are glad, unhappy, confused, or distracted. As a result, they may tailor classes to the needs of the students.

â€¢ Posture Detector : The use of computers can lead to them having an unhealthy posture which, being kids, they may not be able to correct as they are not aware of it. This tool helps the children to sit in better position.

â€¢ Speech to text notes: Most of us find it challenging to take notes and learn in an online session. You can speak up your notes and save them here. You'll be able to retrieve it later, and you'll be able to hear the note once more. It also helps children who have difficulty writing. Increased efficiency and less paperwork which helps to save time.

â€¢ AR Learning: AR in education enables the visual depiction of the learning material and enables teachers to impart interactive learning in lessons while it allows learners to view information visually (layered on the top of their real-world surroundings). AR can greatly help students become more involved in their classes. 

â€¢ Doubt Chat: Here students can ask doubt to teachers regarding the subjects. Reason that students don't speak up in class could be that they don't understand the material and might feel afraid that their questions will make them appear unintelligent to their peers. So, by using doubt chat student can clarify their doubts with their teacher.

How we built it

For frontend, I used the templating language EJS in combination with CSS. When I was using EJS, I made sure to use stuff like partials. I also used NodeJS to put up a small web server, and everything was constructed using Repl.it, an in-browser IDE that was great for collaborating and giving feedback in real time. Then I used tensorflow.js and machine learning to train the model for the emotion camera and posture detector, and then I put it to our website using JavaScript! I also used google cloud for speech to text feature.

Challenges we ran into

While training machine learning models, I found it difficult. This is my first time utilizing machine learning. I'm proud of what I've accomplished in just a few hours. Managing my time while working on this project was a struggle for me. Furthermore, determining which features to include was a difficult task. I had so many various ideas, but I realized I wouldn't be able to apply them all, so I had to pick a few.

Accomplishments that we're proud of

I was proud that in just a few hours, I was able to create a code a fully functional website, build a slide deck, and record & edit my pitch video. I was also able to learn a lot from this hackathon, using technologies that I had barely touched previously, which I'm proud that I was able to do!

What we learned

Doing research for this website definitely opened my eyes to how widespread the impact of online classes is--and how important it is to work towards a solution to the problem. On the more technical side, this was my first real project that Iâ€™ve used machine learning. I learned a lot about how to use format elements on the webpage. Overall though, since Iâ€™m still fairly new to web development, with every project I create, I learn something new; whether it be creating a certain element or just designing the overall page.

What's next for Retro Study

In the future, I would like to fully implement some of the features that I didn't have time to do today, such as user authentication for teachers and students, so that each student has their own unique platform to work and learn on. Graph the data of student emotions , so that they can adjust their lessons and materials accordingly.
","http://retro-study.cutefoxy.repl.co, https://github.com/shs-coder23/Retro-Study",https://youtu.be/mW4MnG2iIJw,"Best Educational Hack, Best Design Hack, Best Social Impact Hack","machine-learning, css3, html5, javascript, ejs, node.js, echo-3d, google-cloud",,mvm,0
BlitzOn!,https://revuc-xi.devpost.com/submissions/311157-blitzon,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 02:46:28,"Inspiration

We took inspiration from the card game Dutch Blitz. Everyone in our group enjoys playing this game so we wanted to make a digital version of it that we could enjoy.

What it does

This is a fully functional single player PC version of Dutch Blitz. Instead of playing against other people, you play against 3 other AIs. 

How we built it

Our game was created using the _ PyGame _ module in _ Python _ . We all worked together on the platform relp.it, a collaborative browser based IDE

Challenges we ran into

We faced the most difficulty with developing the AI. Currently, the AI will instantly play if it has a potential move, which leave the user no time to try to ""beat"" the AI. This leads to the game being more luck based rather than skill based. This is something that we can work on in the future.
Another difficulty that we faced was with the movement of cards. The mechanics behind picking up a card and setting it down were more difficult to implement that what we initially thought.

Accomplishments that we're proud of

Our group is proud of developing a fully functional game within 24 hours. This was every member in our group's first or second hackathon, and the first large scale python project we have all worked on.
We are also very proud of our user interface. Tyler was our dedicated graphic designer, and did a tremendous job creating the UI/UX.

What we learned

Our group learned a lot about how to use the PyGame module. None of us knew how to use the module before the project. We also learned how to implement game logic (input, processing, output) in new environment. Finally, we also continued to develop our teamwork and collaboration skills.

What's next for BlitzOn!

There are many possibilities for the future of BlitzOn! Some of our current plans are to implement a multiplayer functionality on a local network and the internet, create a tutorial for new players, create different levels for the AI, and add some background music.
We're excited for what's in store for the future of BlitzOn!

We hope that you all will try the game out! Link to the GitHub is on this Devpost.
",https://github.com/natruffles/blitzOn,https://youtu.be/aAwkTiVBNnI,"Best Educational Hack, Best Design Hack, Most Useless Hack","python, pygame",,"University of Cincinnati, Lakeland Community College, university of cincinati",3
Student Solution,https://revuc-xi.devpost.com/submissions/311205-student-solution,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 04:04:50,"Inspiration

During this pandemic situation, we are attending online classes. To access class material we need to visit different location on our phone or laptop which is very irritating thing. When we need to access the syllabus, class link, reference book then we go here and there. So, we decided to place them on one page to make the student's life better.

What it does

It provides a platform to organize all of the study material, class links, syllabus, timing, teacher's name, etc. in one place. so, students didn't have to worry of arranging things. We will provide them this features.

How we built it

We have used HTML and CSS only to build this project. So basically, we have used front-end languages. 

Challenges we ran into


It wasn't that easy to work in a team on the first go. There were conflicts of ideas and how to do it.
In the beginning, we took much time to put our ideas into code because this was our first practical 
 project. It wasn't that easy to work in a team on the first go. Even after writing the code, we were not 
 satisfied and try to add new things.


Accomplishments that we're proud of

We are proud of what we have done using HTML and CSS. It was a great practical experience and knowledge for all of us. This is what we were looking for. Practical experiences matter more than theoretical knowledge. We are actually proud of what we have done.

What we learned

We learned how to design multiple things using HTML and CSS. During this project, we experienced teamwork, the feelings of working with different people with different skills in a team. We learned how to work in a group, how to share ideas, how to apply all theories to practical use. It was a great experience while working with my friends. We teach each other and we learn too. We learn the use of HTML and CSS in a better way.

What's next for Student Solution

We can add JavaScript and the back-end to make a more useful project. Besides that, we can add ""notes"" of senior students and previous year's questions papers, etc.
",https://github.com/Prakash4-8/UC_Hackathon_22_StudentSolution,https://youtu.be/UPwQRk7khxY,"","html5, css3",,"",2
RealTimeTranslation,https://revuc-xi.devpost.com/submissions/311215-realtimetranslation,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 04:13:22,"Inspiration

By far my biggest inspiration comes from my friends. I have so many friends friends that speak other languages and it makes me incredibly jealous. Because of this, I'm always trying to learn one myself. After years of studying Chinese, Japanese, and Spanish, I've learned one thing. Languages are really hard to learn. So lets cheat. How can I speak a language without knowing it. Ask google apparently!

What it does

In its most basic form my project takes an audio input, i.e a microphone, and it translates that audio into any language you want. The translated audio is then piped into discord for someone else to hear!

How we built it

It wouldn't have been possible without google. I used 3 of their APIs to build it (Speech to text, Text to Speech, Text to Text Language Translation).  These APIs with the help of some custom audio recognition python code allowed for seamless and quick audio translation.

Challenges we ran into

The biggest challenge I faced was creating the audio detection code. I had never worked with anything like it before so it was very new to me. I found out that I could take the chunks of audio data being streamed in from my microphone and group the data. If it had a lot of 0's in the chunk, there wasn't a lot of volume i.e (No one was speaking). I used this fact to write an algorithm to detect speech and then start recording the messages. After that I just had to let google take care of the rest.

Accomplishments that we're proud of

I'm genuinely proud that it worked in the first place, but for me I've wanted to do this for years, however, the technology hasn't quite been there yet. Even with my improvements there is a 1-2 second delay in the audio, which is fine for a voice chat, but not for in person yet which is the true goal. I would love to pick up this project again with some more powerful  hardware if its ever possible.

What we learned

I learned so much during this project. First and foremost, I've never used Googles' APIs before so that was a learning curve. On top of that, I've never done audio manipulation with python so that was really cool to work on.

What's next for RealTimeTranslation

Since the project has the ability to use any language that google can translate, I would love to set it up to auto-detect the language instead of manually selecting it. I opted out of the practice as it would introduce more latency into the program than I wanted, however, with some improvements, It would definitely be possible.
","",https://www.youtube.com/watch?v=auFxL8LEzuk,"Best Educational Hack, Digital Futures Innovation Award (for excellence in technical demonstration), Best Use of Google Cloud (MLH)","google, api, google-web-speech-api, translation-cloud, google-translate, audiodetection",,University of Cincinnati,0
rAI,https://revuc-xi.devpost.com/submissions/311219-rai,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 04:16:02,"Inspiration

I've attended hackathons before, but I have always utilized my web development skills instead of doing anything data-science related. Being a bit of an ML enthusiast, this pains me. At RevUC, I finally had the chance to work solo and dictate my own project, so I took it upon myself to make something data science related that is educational for everyone who wants to get into the field.

What it does

My personal philosophy is I don't build things I don't use. The app visualize and dynamically build ML architectures on the spot by changing parameters on the sidebar. It will also train the model against the MNIST dataset, and allow the user to enter their own input in after the training is complete. So basically, it helps people interface with and better understand neural networks. As a person who is coming back to ML like me, it is very helpful to see the subtle inner workings of activation functions or how hidden layers change the game.

How I built it

I mainly rely on streamlit for the front-end handling, since working solo give me a tough time budget, but also because I enjoy using the library. The backend is handled by tensorflow and other libraries to support building a machine learning app, like opencv.

Challenges I ran into

Aside from the limited time budget, working solo essentially means that I cannot rely on other people to cover technical areas that I'm not competent enough in. ML was the core of the project, yet my ML skills are quite rusty from a long time of not really using them. I was originally using pytorch, but had to make the switch to tensorflow midway due to the pytorch library not being as flexible as I'd hoped.

Accomplishments that I'm proud of

I pretty much have to familiarize myself with the concept of ML and ML libraries again. Needless to say that took some deal of time, but I managed to finished the project ahead of time (at 4:30AM though, so that barely counts). This would also be my first hackathon solo, and my second hackathon in my freshmen year, so I'm quite proud of that too.

What we learned

A lot of streamlit. I originally only scratched the surface of streamlit while doing hobby projects before, now I even host the webapp on their cloud. I also re-learnt tensorflow and the vast amount of supporting libraries for it.

I have also learnt the importance of teamwork and how to balance it between personal interests and drives in this solo experience, as it helps me see the pros and cons of both approaches.

What's next for rAI

What's next for rAI? Introducing Convolutional Layers into the mix, since it would be easy to integrate it into the already existing Sequential model-based dynamic construction. Allowing for usage of a different dataset, or importing a custom dataset would be nice too.

What's next for Rai? Probably another hackathon, if I can afford another weekend.
","https://share.streamlit.io/menamerai/revuc-nn-edu/main/main.py, https://github.com/menamerai/revuc-nn-edu",https://youtu.be/GgDN9SXOv7I,"Best Educational Hack, Best Social Impact Hack, Digital Futures Innovation Award (for excellence in technical demonstration)","python, streamlit, tensorflow, opencv, pandas",,University of Cincinnati,0
