Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Table Number,Mlh Points,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Mlh Hardware Lab,Mlh Software Lab
VR Based Customer Mortgage App,https://revuc-ix.devpost.com/submissions/143057-vr-based-customer-mortgage-app,Submitted (Gallery/Visible),Pending,,02/23/2020 10:58:26,"Inspiration

We wanted mortgage applicants to be more confident about buying homes. Buying a home is a one-time decision and a very big investment for many.

What it does

Buying a home is a very big decision in life. When people like us go to a bank for mortgage applications, we want to be sure that the house we are buying will be safe to live, will increase in value over the years. Our app uses ML to predict the prices for 5 years and scrapes the database for past crimes that happened in the vicinity. Then, it provides the user with the best mortgage buying option. To aid the user, our app sends SMS to the user's phone, through which the user can see their prospective home in Google Street View.

How We built it

We built it, with a team of 3 people, Abiral, Ashish and Abubakr. We used ML, SQL and database scraping.

Challenges We ran into

We, as usual, since we are not pro with Python, had problems with Python data types. Making Python coexist with maps API was really painful. 

Accomplishments that We're proud of

We are proud of the ideas that we generated by brainstorming. We revised ML algorithms since it had been a lot since we had last used it.

What We learned

I learned about google maps API, integrating python to google cloud, how to use APIs, and in hackathon workshops, I learned about vision and AR.

What's next for VR Based Customer Mortgage App

Using much more features to predict, rather than just a few we used in hackathon due to time limitation.
",https://github.com/abiralacharya/hackathonuc,," Best use of Google Cloud (MLH), Best Domain Registered with Domain.com (MLH), Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third)","python, sql, machine-learning, ai, html, scraping, web, api, google-cloud",,University of Toledo,2,760-1,University of Toledo,abiral.online,"",Google Cloud
DPA SCA on AES on Arduino Nano using ChipWhisperer,https://revuc-ix.devpost.com/submissions/143059-dpa-sca-on-aes-on-arduino-nano-using-chipwhisperer,Submitted (Gallery/Visible),Pending,,02/23/2020 10:58:52,"Inspiration

This project was inspired by our participation in a embedded CTF competition.  This is a two-part semester long competition.  During the first part, we are required to design a mp3 player with secure digital rights management.  After we hand-off our design to the coordinators, we then enter the second phase.
During the second phase, we are given other teams designs and must try to break their security.  One method that we were interested in trying was a differential power analysis side channel attack on an AES implementation.  As our focus has been on completing our own design, we have not worked on attack strategies beyond brainstorming.  So, we decided to make DPA SCA our RevUC project.

What it does

DPA is a type of SCA that analyzes power consumption to determine a secret key.  This works because more power is used when transitioning from 0->1 than maintaining 1, transitioning from 1->0, or maintaining 0.

How we built it

First, we installed the softwares necessary to use a ChipWhisperer we recently obtained from UC.  The ChipWhisperer is a device that was specifically designed to support DPA SCAs.  Once the enviornment was set up, we lifted a power pin from the Nano and soldered a shunt resistor to it so we can measure the Nano's power consumption.  Then we implemented tinyAES on the Nano.  Then we connected a MEASURE pin to the power tap, and read data.  Finally, we adjusted aspects of the ChipWhisperer code analyze the power trace more accurately. 

Challenges we ran into

Installing the appropriate softwares onto some computers.
Have never done a DPA.
Have never used the ChipWhisperer.
Issues writing to serial console.
Issues with Nano AES accepting 16-bit keys, but ChipWhisperer sending 32-bit keys.
Determining which of the three MEASURE ports was the correct pin to connect the power trace to.

Accomplishments that we're proud of

Lifting a pin from the ATmega chip, and soldering it to the shut resistor without breaking the pin or soldering to multiple pins.
Determining the appropriate MEASURE pin to connect the power trace to correctly with no helpful documentation.

What we learned

We learned the basics of how to use the ChipWhisperer and are beginning to understand how to debug it.

What's next for DPA SCA on AES on Arduino Nano

Using it in our competition to retrieve secret keys from competitor's designs.
","",,"","arduino, c, python",,University of Cincinnati,2,801-16,University of Cincinnati,"","",""
Get High Don't Die,https://revuc-ix.devpost.com/submissions/143063-get-high-don-t-die,Submitted (Gallery/Visible),Pending,,02/23/2020 11:04:48,"Inspiration

Medication is tricky. Sometimes it can cure your illnesses and lift your spirits, other times it can cause more problems than it fixes. 

...But why is that? 
Why didn't your doctor tell you about the negative side effects of the pills given to you? How are you supposed to properly weigh your risks? What about medicines your doctor would never mention? Alternate medicines? Illegal drugs? Can you discuss those with your doctor?

Can you even afford a doctor? This is America, after all. 

What it does

In the Information Age, wouldn't it be nice if you could use your own data for more than just Netflix movie recommendations?

Get High Don't Die is a service that allows users to track their adherence and frequency of drug usage, as well as keep track of any negative side effects they've experienced. By cross referencing the data from the other users and your own records, we can discover new drug interactions and provide increasingly personalized drug recommendations. In addition, our integration with the FDA's adverse drug event reporting system allows us a source of original truth when making recommendations to users.

How I built it

Lots of work in Jupyter notebook scraping, cleaning, scraping, cleaning, scraping, cleaning 

Neo4j for modeling drug interactions in a dynamic and ever-expanding graph!

Vue for the front end. Python Flask for the backend.

Challenges I ran into

Rate limits are hell. APIs that you're consuming rarely hold to the promises they make in their documentation 

Accomplishments that I'm proud of

Pagination! I made a wrapper that circumvents illogical restrictions on api access. Turns out the FDA doesn't want you to use more than 25k of their Adverse Drug Events to analyze, despite having ~11 million of them...

What I learned

I learned how to navigate the FDA's open drug data and a great way to represent drug interactions in a graph database.

What's next for Get High Don't Die

Smoothing up the frontend, making a mobile app, pushing it all to the cloud!
","",,"Best Education Hack, Best Design Hack, Best Data Collection Hack (CincyTech)","python, neo4j",,University of Kentucky,0,801C-1,University of Kentucky,"","",""
AR in Banking,https://revuc-ix.devpost.com/submissions/143067-ar-in-banking,Submitted (Gallery/Visible),Pending,,02/23/2020 11:08:12,"Inspiration

Working in the banking sector has always been exciting. The integration of technology and banking always leads to something cool. Integrating new immersive technologies like AR into banking was a fun challenge. It opens up endless possibilities of things to create in AR than improve customers' banking experience.

What it does

The mobile application integrated with AR technology changes the way how a customer interacts with a banking application.

How we built it

We used IONIC framework for the hybrid mobile application and used AR.js for all the AR stuff. As both IONIIC and AR.js are web-based tools, they go well with each other. All the data that is displayed on the frontend is fetched from the backend built on Node.

Challenges we ran into


Figuring out a way to integrate AR.js with IONIC framework was the first challenge we faced.
Fetching the data dynamically from the backend for displaying the AR elements. We used a kind of hack to load the data on page load using the onLoad function. There can be a better way to do it but we were not able to figure it out.
AR.js is primarily a marker-based AR library. We were not able to implement custom markers.


Accomplishments that we're proud of


We hopped on the Augmented Reality technology. We have never done anything related to AR before.


What we learned

There is no limit that technology can accomplish. You just need to have that curiosity to keep exploring.

What's next for AR in Banking

The possibilities are endless. Few ideas which we had but couldn't implement:


Show the improvement in credit score, when the customer pays the remaining due amount.
Two cards can be placed side by side to seamlessly initiate a fund transfer.

",https://github.com/VarunRaj7/RevUC,https://youtu.be/n5_pcO8osNY,"Most Innovative Hack by UC Students (EECS GSA), Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third)","node.js, ionic",,University of Cincinnati,1,860D-3,University of Cincinnati,"","",""
Super-Marka-Metrics,https://revuc-ix.devpost.com/submissions/143069-super-marka-metrics,Submitted (Gallery/Visible),Pending,,02/23/2020 11:11:23,"Inspiration

Our inspiration came from us all being college students and not budgeting well or not having the money. It also came from the 84.51 Challenge with Kroger's data.

What it does

This application shows the customer their weekly spending at Kroger, what commodities they spend the most in. Users will have the ability to easily toggle through the weeks! Their information will then be mapped to both a bar & line chart. This will help users get a better budget break down thanks to their customer information provided by 8451 & Kroger! In addition to that, our application also incorporates Machine Learning to predict and estimate cost on how much you will spend given a certain number of commodities. More information on this is in the machine learning section. Our app brings a lot of value to those on a budget, looking to spend smarter!

How we built it

We built this application using React.js, Machine-Learning, Google-Cloud, Firebase, and more. We divide the work into two main parts. We had two people on front-end and two people on the machine learning aspect. The people on the machine-learning portion were responsible for deciding what data was real and usable for what we wanted to accomplish. The people on the front-end development portion were in charge of designing and creating the Web Application you see in the screenshots. We all collaborated and helped each other throughout the project.

More on Machine Learning

Our Machine Learning algorithm was generated & trained using Google Cloud Platform's AI Service Tables. The dataset we used was a derivative of the complete journey sample which we downloaded from 8451's area 51 website. The dataset consists of all the commodities that a single household would purchase in the given two-year span. This would total to around 400 rows of data (400 unique households). I'll make sure to put up the dataset. Now! As far as the Machine learning algorithm goes, the GCP platform trained a linearly regressive model. Some of the statistics go as follows:


R^2 = 0.844
MAE = 1,4720.91
RMSE = 2,062.377
MAPE = 35.54%


Googles Services also gave the importance of commodity features. The top 5 goes as follows:


Grocery_Staple
Dairy
Household
Produce
Alcohol


Once our model was trained, totaling to a size of around 340MB & 1.5 Hrs of training time, we deploy the model. This entails generating a REST API to query the model which will reside in GCP's cloud services.

Challenges we ran into

The challenges we ran into were our original idea having to be scrapped and familiarizing everyone with all portions of the project. Our original idea was going to be a budgeting and nutritional app based off of Kroger Customers' spending. Sadly, the UPC Codes provided were not valid and made us have to rethink our idea.

Accomplishments that we are proud of

We were proud of that fact that we were able to learn more about google cloud and apply it to our application. It was amazing to see how courses at our university benefited us or allowed us to go above our basic knowledge, strive for higher goals, and achieve them. One person on our team was really excited to learn more about excel and how much you can really do with it. We are really proud of how our front-end turned out! It looked much better than we expected since the two people working on it have not really worked on React.js, if at all. Lastly, we were really proud of how much we learned about React.js and how we were able to implement it to do the functionality to make this application the best it can be in 24 hours.

What we learned

We all learned more about Machine-Learning and React as a whole. We learned how to be more efficient to be able to complete the project on time and accomplish all of our goals.

What's next for Super-Marka-Metrics

The goal is to move it into the nutritional market, using UPC codes, that helps users budget and stay healthy throughout their Kroger Journey!
",https://github.com/RobertPenrod/healthystudentUC,,"Best Design Hack,  Best use of Google Cloud (MLH), Best Domain Registered with Domain.com (MLH), Make the Customerâ€™s Life Easier (84.51), Best Data Collection Hack (CincyTech)","javascript, html, css, react, google-cloud, excel, domain, machine-learning, firebase",,University of Toledo,3,760-1,University of Toledo,Super-Marka-Metrics.online,"",""
OhmSee,https://revuc-ix.devpost.com/submissions/143071-ohmsee,Submitted (Gallery/Visible),Pending,,02/23/2020 11:12:10,"Inspiration

The inspiration for this project was based off wasting time in labs looking for resistors. We decided that it was important to be efficient and speed up our process in labs. 

What it does

Detects the resistance of the resistor using a convolutional neural network. 

How I built it

We used Machine Learning.

Challenges I ran into

We did not have enough data. More data would have increased the accuracy of the CNN. 

Accomplishments that I'm proud of

We implemented a CNN.

What I learned

Machine Learning, Web design, Data Augmentation. 

What's next for OhmSee

Obtain more data and make it work for more use cases. 
","",,"Best Education Hack, Most Innovative Hack by UC Students (EECS GSA)","",,University of Cincinnati,1,801-4,University of Cincinnati,"","",""
CollectURL,https://revuc-ix.devpost.com/submissions/143081-collecturl,Submitted (Gallery/Visible),Pending,,02/23/2020 11:22:23,"CollectURL

CollectURL is a kiosk application that is triggered when you approach a computer running our software. Our system will display your face, estimated age range, estimated emotional sentiment, and more. 

The raspberry pi which powers the Kiosk leverages OpenCV to do preliminary face detection, and avoid sending AWS erroneous requests.

Once our pi has verified that there is indeed a face on camera, the face image is cropped and sent to AWS's Facial Recognition API. The kiosk dashboard then displays various traits Amazon's API was able to detect. This includes ""subject is wearing sunglasses"", ""subject has a beard"", ""subject's age range"", ""subject's emotional state"", and more.
",http://collecturl.com/,,"Most Innovative Hack by UC Students (EECS GSA), Make the Customerâ€™s Life Easier (84.51), Best Data Collection Hack (CincyTech)","python, laravel, amazon-web-services",,University of Cincinnati,2,801-8,University of Cincinnati,"","",""
Battleship AI,https://revuc-ix.devpost.com/submissions/143083-battleship-ai,Submitted (Gallery/Visible),Pending,,02/23/2020 11:24:34,"Get ready to sink some freakin ships, my friend.

Inspiration
As first-year engineers and first-time hackathoners, we don't have much experience with taking on coding projects larger than a calculator (Thanks ENED.) However, we wanted to push our limits with what we can learn, like classes and very basic AI, and implement those new techniques into a game that's fun to play!

What it does
The user is playing against an automated opponent. The opponent AI was developed to have a very chronological guessing pattern so that if it hits a ship, it will set the next x amount of guesses in a radius around that origin point based on how many previous hits it has and the shot's location in reference to the origin.

How we built it
We established our game board by a 10x10 zero matrix. Numbers 1 through 5 are designated ships, 6 is a hit, and 7 is a miss. When each shot is generated, the matrix is updated with the corresponding value so that it can be determined when an entire ship is sunk and when the game ends.

Challenges we ran into
Our initial code was a hot mess. It was confusing, repetitive, and although it was compiling, it was not following the logic we intended it to. We then, in the wee hours of the night, broke the process down into very specific portions and introduced functions and classes to create an easy-to-follow program.

What's next in Battleship
GUI! We really wanted to create an awesome user interface but the baseline code took too much time, but we are definitely planning on getting a GUI up an running in the near future :)
","",,"",python,,University of Cincinnati,0,801-1,University of Cincinnati,"","",""
WeLearn,https://revuc-ix.devpost.com/submissions/143084-welearn,Submitted (Gallery/Visible),Pending,,02/23/2020 11:24:42,"Inspiration

We wanted to make an app that we could see ourselves using in the educational environment. After a long time of deliberation, the final consensus was a game-like quiz app for students of any age. 

What it does

The user can either log into an existing account, or they can sign up for an account and then log into their new account. The student then can look over notes in the study section, start taking quizzes, or check their scores on the quizzes. To make this app more game-like, the quizzes unlock similarly to a skill tree, where you have to finish quiz one to open quiz two and three, and finish quizzes one, two, and three to have access to the final exam. Once a quiz is finish, their score is recorded in the grades tab. The user login information as well as the scores to the quizzes and exams are stored in Google Firebase. Our application has three test subjects that are Physics, Chemistry, and Biology. 

How I built it

This project was built in Android studio. Even though the group did not have a lot, if any, knowledge of Android Studio prior to this event, the upperclassmen really encouraged us to go for it. First, we each had our own project, such as developing the sign in page or the main menu, and we worked and expanded until we finally merged everything into one file and have been making final touches and additional aspects. 

Challenges I ran into

All three group members had little to no knowledge of programming, especially a project. Two of the three group members have never used Android Studio, but now we are all pretty confident in our skills in what we built. Our biggest challenges were trying to incorporate the Google Firebase as well as figure out how to read data from one activity to another. 

Accomplishments that I'm proud of

Building a functioning Android app in 24 hours with no prior knowledge of the programming software before the event. 

What I learned

We all learned how to use Android Studio and develop a neat, clean looking application that is appealing to the student demographic. None of us were really confident in the beginning of this event, but now we are so proud of everything we have learned and how we did what we once though was impossible. 

What's next for WeLearn

Potential to have a teacher portal for uploading content for the student or maybe having a student discussion board for students who share the same class.
",https://github.com/lamsal9677/RevolutionUC.git,,"Best Education Hack, Best Design Hack","java, android-studio, firebase",,University of Toledo,2,760-1,University of Toledo,"","",""
The Labyrinth Sprinter,https://revuc-ix.devpost.com/submissions/143088-the-labyrinth-sprinter,Submitted (Gallery/Visible),Pending,,02/23/2020 11:27:51,"We were inspired to develop this game because we all have interests in combining 3D modeling with programming logic. We also believed there was a lot of room for growth beyond our original minimum viable product, so we would never get bored with a game like this. Random maze generation is a huge focal point in computer science, so we thought it might be interesting to explore it ourselves and experiment with the different algorithms for implementing one We also wanted to learn a new programming language, and we figured C# was similar enough to C++ that we could pick it up in 24 hours.
",https://github.com/wpritschau/TheLabyrinthSprinter.git,,"","unity, c#, blender",,University of Cincinnati,2,801-15,University of Cincinnati,"","",""
GLOBE CHAT APPLICATION ,https://revuc-ix.devpost.com/submissions/143091-globe-chat-application,Submitted (Gallery/Visible),Pending,,02/23/2020 11:29:16,"Inspiration

Being an immigrant, I have a lot of Indian friends who often text me in my native Indian language. I get tired of translating them by copying-pasting them from my Apple messaging application to google translator. That's how I got an idea that what if there is an one stop chatting application which can translate any text back and forth between multiple people instantly. I realized that it is just not me who is dealing with this issue, there are many others who also deal with these kinds of similar problems. Quick Fact: Do you know that out of the worldâ€™s 7.5 billion habitants, only 1.5 billion speak English â€“ thatâ€™s less than 20% of the Earth population. There is so much diversity out in the world and I believe everyone should know at least one foreign language. Think about a scenario when you want to talk to someone who does not understand or speak your language. Think about a scenario when big businesses pay to translators to help them do business with foreign companies. There are many problems like these. Therefore, I created 'GLOBE CHAT' application to help solve these problems. 

What it does

You can instantly translate messages and send it to anyone on this planet as long as they are on a same channel as you are. Itâ€™s UI is very easy to understand. You enter your name, select one of your favorite channels and send a message in any language you want. Then Voila! You donâ€™t have to go to Google translate to translate the text and copy-paste it into your chat box. You can just type message in your language and send it to any language you want. 

How I built it

I created a Node.js and Angular.js application. All the UI is following Angular framework. I set up the http server using Node.js to route the traffic on my application to main page. I made a simple UI form which collects username, channel, and message. Through this data, I managed to create Join, leave, and Send functionality in my app. Every time user logs into specific channel or leaves the channel, it creates a log on a backend which notify me if something goes wrong. Then, I created a socket.io protocol to establish client-server messaging service. Once client and server can pass text and information through websocket, I then implemented Google-translate-API into project to deal with instant translations. I created a logic in such way that I send the retrieved messaging data to API from what user messaged in a channel. Google translate API function translates text into specific language using language code (for example: 'English':'en', 'Spanish':'es'). I created a logic function which takes user's preferred language and fills in the Google translate function parameter with the desire language code. This whole process takes less than a second. Throughout the process, I was testing my application from all perspectives and I was constantly trying to break my code so that I can find loopholes and fix them right away. 

Challenges I ran into


It was very hard to set up a messaging protocol for client-server application using socket.io because initially I didnâ€™t knew anything about protocols. 
Setting up a Google Translate API was a challenging task because I wasnâ€™t sure how to use API key (Json) in project. 
It was not a easy task to host angular.js and node.js application oh Herokuapp (hosting service) because both angular and node run on their individual server. 
I never used Typescript.js before this hackathon so learning how to work with Typescript.js was challenging for me. 


Accomplishments that I'm proud of


Build a working chat application which can connect multiple people from all around the world and remove all the language barriers between them. 
I am proud that my application can handle hundreds of the user at a time which can easily scale up by inserting more dynos (linux servers) in my Herokuapp project.
I went beyond my comfort zone and build an application with very minimum experience with Google API, socket.io, and Typescript. 
I am proud that I didn't gave up at any point because there were many points during project where I thought that this is not possible and wouldn't work, but I kept dealing with issues long enough that I was able to pull this off. 


What I learned


I learned how to establish messaging protocol between client and server over http server. 
I learned how to extract or insert string into cache memory for the website which completely get rid of the need of database. 
I learned how to deploy angular and nodejs servers together on hosting application.


What's next for GLOBE CHAT APPLICATION


I will create a ios and android version for my chat application and publish it on Playstore and Appstore.
I will add more functionalities in my project (For example: user can create their own custom channels and invite others onto application)

","https://globechat.herokuapp.com, https://github.com/sukhbirsekhon/RealTimeTranslatorChatApplication.git",https://www.youtube.com/watch?v=vWyPZsW5w6c,"","node.js, angular.js, typescript, bootstrap, socket.io, google-translate, github, herokuapp",,University of Cincinnati,0,801G-3,University of Cincinnati,"","",""
Mission Im-pastable,https://revuc-ix.devpost.com/submissions/143096-mission-im-pastable,Submitted (Gallery/Visible),Pending,,02/23/2020 11:32:39,"Inspiration

In making when Mission Impastable, we were inspired by phone-controlled party games like Jackbox Party pack, and rogue-like games like Enter the Gungeon. We were hoping to bring together some of the best parts of those games/genres.

What it does

Mission Impastable is a working game, in which one user plays as the Pasta-mancer in a dungeon-crawling adventure. Audience users can connect to the game and interact with it by voting on how to help/hinder Player 1. The base game is built in Unity, and it interacts with ReactJS, Firebase, and a REST API in order to enable audience participation.

How we built it

We built a Python/Flask Rest API and a Unity game, wrapping them together with C# hooks. We used Firebase for API storage. 

Challenges we ran into

None of us have ever made a Rest API like this! We made a huge project, with a lot of interlocking parts, and this led to a lot of problems. Not to mention, this was one of our team members' first Hackathon!

Accomplishments that we're proud of

We were able to make a fully functioning game, which decently resembles what we were planning to make! All of our interlocking parts have been functioning, and we've made a really cool project!

What we learned

We've learned a lot about how to create and use Rest APIs, and also learned a ton about networking in Unity! Most of us also learned about React and Javascript for the first time!

What's next for Mission Im-pastable

The jump to 3D with a similar game would be an awesome next step!
","",,"Best Design Hack, Most Innovative Hack by UC Students (EECS GSA),  Best use of Google Cloud (MLH), Best Domain Registered with Domain.com (MLH)","unity, firebase, react, flask, rest, csharp, javascript, css, github, google-cloud, piskel, inkscape, modbox, beepbox, domain.com",,University of Cincinnati,3,801-3,University of Cincinnati,pastabox.online,"",Domain.com
Bryn-5/3,https://revuc-ix.devpost.com/submissions/143101-bryn-5-3,Submitted (Gallery/Visible),Pending,,02/23/2020 11:40:29,"Inspiration

Helping others to visualize their spending habits through some real-world interaction (spending/location monitoring)

What it does

Displays spending data (% of amount spent in a month at a location, monetary amount spent per month, locations of spending) on a mobile-accessible website. The locations are displayed on an embedded map and data has graphical elements to aid in understanding.

How we built it

Initially, the program was intended to be built using Angular, but the idea shifted after discovering the ease of deploying apps using NativeScript. NativeScript was used to build a standalone mobile app, but was scrapped and redesigned using HTML, and jQuery due to challenges with implementing a map API.

Challenges we ran into

Being complete novices to using typescript, we could not initially get dev tools to work when deploying our app and could not access the console log for debugging for several hours. After this was sorted, we ran into significant trouble formatting a Google map API from Google Cloud. Whenever the map and the user interface we had designed were attempted to be used together, the program crashed. After several hours of this, we resorted to using HTML instead of XML, as our team had more experience using Bootstrap for page design.

Accomplishments that we're proud of

Despite having never used typescript and never developing a mobile app before, we were able to successfully deploy several debugging and prototyping apps to both iOS and Android devices. Additionally, considering we totally redesigned our implementation of our idea with only 6 hours of hacking time remaining, we're proud of what we were able to improve upon in that time.

What we learned

We learned a great deal about typescript and web app development, and were able to implement some of the most advanced UI features we had ever attempted in this endeavor. We also learned quite a lot about using chartJS and enjoyed being able to think about ways into implement reality with banking software.

What's next for Bryn-5/3 (Location-oriented spending tracker)

In the future, we would like to implement an automated reporting of spending at various locations through a sort of API with a bank.
",https://www.glassestocsharp.com/hack/ucrevolution20/bryn/index.html,,"Best Education Hack, Best Design Hack, Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third)","jquery, nativescript, javascript, html, xml, typescript",,Ohio State University,1,801-2,Ohio State University,"","",Google Cloud
OutreachSheet,https://revuc-ix.devpost.com/submissions/143105-outreachsheet,Submitted (Gallery/Visible),Pending,,02/23/2020 11:43:40,"Inspiration

As a leading Co-Convenor of Earlham Hackers Club, Joseph used Facebook as an outreach platform to communicate with his club members. However, he didn't like the idea of having to open multiple tabs to send messages to all his members. Since he likes to add a personalized touch to his messages, he wanted a web-based application that allows him to send personalized messages more quickly and conveniently. After coming to RevolutionUC, he came up with an idea to make his convenor life more convenient. Dipesh decided to help Joseph in his journey. After 24 hours of awesomeness, they come up with an OutreachSheet. 

What it does

It sends outreach messages to Facebook chat from Google Sheets and vice-versa.

How we built it

In 3 phases, we integrated messenger and sheets. We first finished a Pandas enabled program with no function content at all. All we had was a bare-bones structure. From there, we learned and applied the fb chat module in a 2 fold custom data structure to connect Facebook to our program's data housing. We chose to develop the connection that carries data between Google first because that seemed very intricate and we were scared of the Google Sheets API. We finished the connection between Google Sheets and Facebook, and then we learned the Google Sheets API, developed a 3 fold custom data structure to connect our program's data housing with Google Sheets. 
We learned and applied the fbchat module to interface with messages from facebook, scaffolded our program plugged it.

Challenges We ran into

Google Sheets API integration took lot of our time. Thanks to Mentors for helping us out.
The front end was hard to do.
 Google sheets have a maximum write limit that we were not aware of.
We used many modules which made us do more debugging.

Accomplishments that We're proud of

Just getting through the bulk of the program was an accomplishment. The working code was like 400+ lines. In like 20 hours that's not bad at all. We also finally learned FB chat API, and the google sheets API, which is both super good and useful tools. We learned a lot during this 24-hours, and we are happy with the outcome.

What I learned

API integration, OOP, Pandas

What's next for OutreachSheet

We plan to add more functionalities, address all the small bugs, and work on the design. Also, Joseph plans to use OutreachSheet to communicate with his club members. Yayy.
",https://github.com/IS1-4MJ/Fb_sheets_chat_app,,"Most Innovative Hack by UC Students (EECS GSA),  Best use of Google Cloud (MLH), Best Data Collection Hack (CincyTech)","google-sheets-api, python, pandas, fbchat, google-sheets, gspread",,Earlham College,1,860D-2,Earlham College,"","",""
BeeBeeMath,https://revuc-ix.devpost.com/submissions/143106-beebeemath,Submitted (Gallery/Visible),Pending,,02/23/2020 11:43:40,"Inspiration

We are passionate about children's education.

What it does

BeeBeeMath is an online math education platform designed to assist kindergarten teachers in educating kindergarteners basic math concepts. It serves as an in-class tool for the teachers to help kids learn and fully grasp the fundamentals of math.

How we built it

We used the React framework and Material-UI Kit to build this product.

Challenges we ran into

We ran into some design problems and some minor technical problems during development. 

Accomplishments that we're proud of

We have a pretty neat design and product. It works well for its target audience.

What we learned

We've strengthened our understanding of React and grasped a pretty good comprehension of the Material UI Kit for React.

What's next for BeeBeeMath

We will continue to add more fun math topics and interactive lessons. We could possibly expand to more subjects such as reading, history, geography, etc.
",https://beebeemath.firebaseapp.com/?,,"Best Education Hack, Best Design Hack","react, material-ui",,Earlham College,1,860D-2,Earlham College,"","",""
travelingShopper,https://revuc-ix.devpost.com/submissions/143110-travelingshopper,Submitted (Gallery/Visible),Pending,,02/23/2020 11:48:29,"We as consumers often do not realize some of the inconveniences that we face while shopping because we have become so accustomed to them. Attending this hackathon and getting to know different challenges inspired us to think outside of the box; we brainstormed on our past experiences shopping at Kroger or any other retail markets and the ways we would be able to make them better for the future of us and others. 
Although all of our group members have past experience with some software development, we wanted to branch out and try to incorporate libraries and practices that we had no experience with to create our application. We have experience with Python, JavaScript, HTML, CSS, and SQL but we tried working with Vue.js, Vuetify.js, and API calls to create our travelingShopper application. Close to the end of the process, we decided to try and incorporate AdobeXD to showcase a prototype of our design process. We used this software because we were not able to finish as much as the project as we would have liked, but we still wanted to have something to showcase for the purposes of this Hackathon challenge. 
We started this process by looking into the Kroger's APIs to see if we could actually use the available public data for our application. Once we were sure the APIs would work in our favor, we split into two pair programming teams with one team taking on the backend with the API calls, and the other team taking on the UI creation with Vue.js. We used Vue.js to develop a prototype of an app that allows customers to input their items into their virtual cart. Our app gives them an eagle eye view showing them where their items are, and what item to get next to ensure the quickest shopping experience.
Challenges:Throughout the hackathon experience, we learned a lot about restful APIs, working in an MVC environment, and collaborating better as a team. I think we can take a lot of these concepts and apply them in our next hackathon, or a future business venture.
We think the biggest challenges was the fact that there was a steep learning curve with our entire process. Since we were trying to use new technologies, we were trying to learn the best practices and the documentations on the fly which made it challenging for our team. For the front end, we wanted to use a datatable to populate data dynamically using the JSON data we got back from our API calls. We were able to create a datatable and populate it with hard coded data, but we were not able to bridge the gap and find a way to populate it dynamically. On the backend, we needed to generate a new token key every fifteen minutes because it would time out. We were not able to create a dynamic call to make a new token key every time, so we hardcoded the token key and changed it every fifteen minutes. 
","https://github.com/grrdsoto/travelingshopper, https://xd.adobe.com/view/fa36a1a7-d850-4247-7e59-9d51d428216f-8c07/?fullscreen",,"Best Design Hack, Make the Customerâ€™s Life Easier (84.51)","vue, html, javascript",,Berea College,3,"801E,-2",Berea college,"","",""
Geographical quiz ,https://revuc-ix.devpost.com/submissions/143111-geographical-quiz,Submitted (Gallery/Visible),Pending,,02/23/2020 11:49:11,"Inspiration

I like geography

What it does

It generate geographical quiz automatically and save your scores based on achievement

How I built it

I used Flask and Python for backend, HTML and CSS for front end. I also used SQLite for database

Challenges I ran into

KeyError

Accomplishments that I'm proud of

Be able to wake up all night to work

What I learned

GitHub is hard

What's next for Geographical quiz

We will try to fix all errors
",https://github.com/gianghta/RevUC-Quiz-App,,"","python, html, css, flask, jinja",,University of Cincinnati,2,860D-4,University of CIncinnati,"",Google Home,""
