Opt-In Prize,Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Room Number,"What School Do You Attend? If You Are No Longer In School, What University Did You Attend Most Recently?",Tell Us About Your Technology Experience This Weekend.,"Did You Register A .Tech Domain Name This Weekend? If So, What Domain Did You Register?"
Best .Tech Domain Name,BardTales,https://revolutionuc2024.devpost.com/submissions/484363-bardtales,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:48:58,"Inspiration

Imagine bringing your favorite stories to life, not just with narration, but with immersive soundscapes too! Lose yourself in the world of the story with sound effects, emotional music, and professional narration. Perfect for audiobooks, bedtime stories, or simply adding a new dimension to your reading experience. Upload your favorite book, choose from a library of atmospheric sounds, and let BardTales weave its magic.

What it does

BardTales used generative AI convert a written work to an audiobook with professional voice narration and music score. 

How we built it

Web based UI is deployed on a flask server, which contains business logic taking the text payload from the input and perform the following operations.


 Polly API converts text to obtain natural sounding speech
 Inference on MusicGen small model.
 Encode speech and Music to a single audio file.
 Playback on web UI.


Challenges we ran into

We wanted to deploy and run inference on EC2 VMs with GPU(s). However, due to the unavailability of GPU quotas for EC2 we resolved to deploy this locally on our machines. Configuring the dependencies for pytorch and cuda was a time consuming process. The MusicGen models being very powerful require very specific context to  make aesthetically accurate soundtracks. We experimented with other LLMs GPT, Gemini, Llama 2, to add context prompts to our story text; these experiments demonstrated the potential for such techniques if we were able to obtain full access for the same models in future.

Accomplishments that we're proud of

Aesthetic UI
Approach generalizable to other platforms such as e-readers and pdfs.
Creative application bringing together distinct generative AI models (music and speech), with an ambitious architecture.
Better understanding of applications of prompt engineering for prototyping.

What we learned

AWS EC2, AWS Polly, AWS Rekognition, Flask, Pytorch, CSS, PostgreSQL, Prompt Engineering, Audio processing concepts.
We experimented with other LLMs GPT, Gemini, Llama 2, to add context prompts to our story text; these experiments demonstrated the potential for such techniques if we were able to obtain full access for the same models in future.

What's next for BardTales

Bugfixes, scale for bigger payloads, integrate e-readers as a target platform.
Merge persistence API hosted on Tembo (PSQL).
",https://github.com/vivek1376/5052_revUC2024,https://youtu.be/DHpMgerPShs,"amazon-web-services, pytorch, github, flask, ai, deeplearning, spectre.css, javascript, postgresql",,University of Cincinnati,3,230-3,University of Cincinnati,Missed google cloud platform this time !,bookbard.tech
"",Untitled,"",Draft,Pending,Manage team,02/24/2024 12:49:21,"","",,"",,"University of Cincinnati, University of Cincinnati Blue Ash College",3,"","","",""
Best Social Impact Hack,CapSoul,https://revolutionuc2024.devpost.com/submissions/484366-capsoul,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:50:32,"Inspiration

Overconsumption in the fashion industry has reached alarming levels, contributing to environmental degradation and overflowing closets. In response, our capsule wardrobe app provides a sustainable solution. By offering curated collections of timeless pieces, users can break free from excess, minimize waste, and define their personal style with ease.

What it does

Our app revolutionizes wardrobe management by allowing users to effortlessly upload their articles of clothing into their digital wardrobe. The app generates a personalized ""outfit of the day"" based on the user's preferences and style. If the outfit isn't quite right, the app regenerates new outfit options until the perfect look is achieved. Additionally, our app features an environmental page that provides users with personalized statistics on their fashion consumption habits, empowering them to make more sustainable choices. Furthermore, we offer a comprehensive fabric care guide to help users prolong the lifespan of their garments and reduce environmental impact.

How we built it

The Wardrobe page was primarily developed using Object-Oriented Programming (OOP) principles. We designed a Wardrobe class and instantiated objects capable of interacting seamlessly with the wardrobe, facilitating the effortless addition of various clothing items. Additionally, we implemented functions enabling users to add, delete, and locally store clothes within the wardrobe interface.

Challenges we ran into

As a team of four working with React Native and TypeScript, we encountered several challenges throughout our development process. Firstly, integrating React Native with TypeScript presented a learning curve, as we navigated the nuances of type definitions and ensuring compatibility between the two technologies.

Accomplishments that we're proud of

In our team, we had no prior knowledge of creating apps. However, in under 24 hours we were able to create a fully functional capsule wardrobe. 

What we learned

In this project, we had no prior experience in React Native or TypeScript presented a steep learning curve for our team. Throughout the development process, we gained valuable insights and skills that will undoubtedly shape our future endeavors. We learned the fundamentals of React Native, mastering its components, navigation, and state management. 

What's next for CapSoul

We aim to promote sustainability further by integrating a marketplace feature, where users can buy, sell, or exchange pre-loved clothing items within the community. This not only encourages mindful consumption but also fosters a culture of circular fashion, reducing waste and extending the lifespan of garments
",https://github.com/brown5lc/CapSoul,https://youtu.be/4qaPNC1RyJY,"react-native, typescript, javascript, react, expo.io, android-studio",,University of Cincinnati,3,N/A,The University of Cincinnati,"We had a great time learning how to develop an app using React Native! We used Expo, React Native, TypeScript, CSS, and HTML, to make a great app that helps people reduce their environmental impact!",""
UC Climate Action Plan Challenge (Metamorphosis Consulting),CapSoul,https://revolutionuc2024.devpost.com/submissions/484366-capsoul,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:50:32,"Inspiration

Overconsumption in the fashion industry has reached alarming levels, contributing to environmental degradation and overflowing closets. In response, our capsule wardrobe app provides a sustainable solution. By offering curated collections of timeless pieces, users can break free from excess, minimize waste, and define their personal style with ease.

What it does

Our app revolutionizes wardrobe management by allowing users to effortlessly upload their articles of clothing into their digital wardrobe. The app generates a personalized ""outfit of the day"" based on the user's preferences and style. If the outfit isn't quite right, the app regenerates new outfit options until the perfect look is achieved. Additionally, our app features an environmental page that provides users with personalized statistics on their fashion consumption habits, empowering them to make more sustainable choices. Furthermore, we offer a comprehensive fabric care guide to help users prolong the lifespan of their garments and reduce environmental impact.

How we built it

The Wardrobe page was primarily developed using Object-Oriented Programming (OOP) principles. We designed a Wardrobe class and instantiated objects capable of interacting seamlessly with the wardrobe, facilitating the effortless addition of various clothing items. Additionally, we implemented functions enabling users to add, delete, and locally store clothes within the wardrobe interface.

Challenges we ran into

As a team of four working with React Native and TypeScript, we encountered several challenges throughout our development process. Firstly, integrating React Native with TypeScript presented a learning curve, as we navigated the nuances of type definitions and ensuring compatibility between the two technologies.

Accomplishments that we're proud of

In our team, we had no prior knowledge of creating apps. However, in under 24 hours we were able to create a fully functional capsule wardrobe. 

What we learned

In this project, we had no prior experience in React Native or TypeScript presented a steep learning curve for our team. Throughout the development process, we gained valuable insights and skills that will undoubtedly shape our future endeavors. We learned the fundamentals of React Native, mastering its components, navigation, and state management. 

What's next for CapSoul

We aim to promote sustainability further by integrating a marketplace feature, where users can buy, sell, or exchange pre-loved clothing items within the community. This not only encourages mindful consumption but also fosters a culture of circular fashion, reducing waste and extending the lifespan of garments
",https://github.com/brown5lc/CapSoul,https://youtu.be/4qaPNC1RyJY,"react-native, typescript, javascript, react, expo.io, android-studio",,University of Cincinnati,3,N/A,The University of Cincinnati,"We had a great time learning how to develop an app using React Native! We used Expo, React Native, TypeScript, CSS, and HTML, to make a great app that helps people reduce their environmental impact!",""
Best Design Hack,Paisa,https://revolutionuc2024.devpost.com/submissions/484372-paisa,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:01:38,"Inspiration



When you're grappling with a hefty grocery bill and the thought of dividing it seems like a headache, that's when our project steps in with empathy and understanding.

What it does

Paisa is an OCR-powered receipt buddy for seamless expense splitting.

How we built it


User uploads the receipt image on React based frontend which passes over the image to Flask backend.
AI algorithms parse the receipt into a structured JSON format, extracting item details , prices and other useful information. We are leveraging Google Gemini for this generation with custom engineered query prompt.
Once the JSON is received the users can then assign each item to their friends with whom they shared it.
The app calculates the amount owed by each person, streamlining expense sharing.


Challenges we ran into


Searching for the perfect AI model for OCR and JSON generation, tailored to our unique needs.
Unfortunately, the prompt failed to produce the correct JSON format, leading to backend API complications.
Designing a sleek receipt UI with subtle cues, making it intuitive for users to tag people effortlessly.\


Accomplishments that we're proud of


Fast and portable solution to split expenses.
Leveraging latest Google Gemini model for OCR and text generation.
App like this can solve daily expense splitting problems for many individuals(probably prevent many fights too).


What we learned


Prompt Engineering 
OCR Process
Connecting to an LLM model from backend and passing data over to frontend.
Always git commit !!! (we nearly lost a file due to laptop shutdown)


What's next for Paisa


Mobile App: Develop a mobile application for convenient receipt uploading and expense management on the go.
Integration with Payment Platforms: Integrate with payment platforms for seamless settlement of shared expenses.
Smart Suggestions: Implement AI-powered suggestions for item assignment based on past spending patterns.
Expense Insights: Provide insights and analytics on spending patterns to help users manage their finances better.
More UI enhancements like user management, expense tracking, expense editing features etc.

","https://paisa-frontend.onrender.com/, https://github.com/AtharvaPingale/paisa-backend, https://github.com/jayzjayesh/dctassist",https://youtu.be/8D5ifZ9j1MU,"react, flask, llm, gemini, gen, ai",,University of Cincinnati,1,230-5,University of Cincinnati,"google-pro-vision, an Generation AI for images",""
"Best ""Useless"" Hack",Paisa,https://revolutionuc2024.devpost.com/submissions/484372-paisa,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:01:38,"Inspiration



When you're grappling with a hefty grocery bill and the thought of dividing it seems like a headache, that's when our project steps in with empathy and understanding.

What it does

Paisa is an OCR-powered receipt buddy for seamless expense splitting.

How we built it


User uploads the receipt image on React based frontend which passes over the image to Flask backend.
AI algorithms parse the receipt into a structured JSON format, extracting item details , prices and other useful information. We are leveraging Google Gemini for this generation with custom engineered query prompt.
Once the JSON is received the users can then assign each item to their friends with whom they shared it.
The app calculates the amount owed by each person, streamlining expense sharing.


Challenges we ran into


Searching for the perfect AI model for OCR and JSON generation, tailored to our unique needs.
Unfortunately, the prompt failed to produce the correct JSON format, leading to backend API complications.
Designing a sleek receipt UI with subtle cues, making it intuitive for users to tag people effortlessly.\


Accomplishments that we're proud of


Fast and portable solution to split expenses.
Leveraging latest Google Gemini model for OCR and text generation.
App like this can solve daily expense splitting problems for many individuals(probably prevent many fights too).


What we learned


Prompt Engineering 
OCR Process
Connecting to an LLM model from backend and passing data over to frontend.
Always git commit !!! (we nearly lost a file due to laptop shutdown)


What's next for Paisa


Mobile App: Develop a mobile application for convenient receipt uploading and expense management on the go.
Integration with Payment Platforms: Integrate with payment platforms for seamless settlement of shared expenses.
Smart Suggestions: Implement AI-powered suggestions for item assignment based on past spending patterns.
Expense Insights: Provide insights and analytics on spending patterns to help users manage their finances better.
More UI enhancements like user management, expense tracking, expense editing features etc.

","https://paisa-frontend.onrender.com/, https://github.com/AtharvaPingale/paisa-backend, https://github.com/jayzjayesh/dctassist",https://youtu.be/8D5ifZ9j1MU,"react, flask, llm, gemini, gen, ai",,University of Cincinnati,1,230-5,University of Cincinnati,"google-pro-vision, an Generation AI for images",""
EnableUC Challenge,Paisa,https://revolutionuc2024.devpost.com/submissions/484372-paisa,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:01:38,"Inspiration



When you're grappling with a hefty grocery bill and the thought of dividing it seems like a headache, that's when our project steps in with empathy and understanding.

What it does

Paisa is an OCR-powered receipt buddy for seamless expense splitting.

How we built it


User uploads the receipt image on React based frontend which passes over the image to Flask backend.
AI algorithms parse the receipt into a structured JSON format, extracting item details , prices and other useful information. We are leveraging Google Gemini for this generation with custom engineered query prompt.
Once the JSON is received the users can then assign each item to their friends with whom they shared it.
The app calculates the amount owed by each person, streamlining expense sharing.


Challenges we ran into


Searching for the perfect AI model for OCR and JSON generation, tailored to our unique needs.
Unfortunately, the prompt failed to produce the correct JSON format, leading to backend API complications.
Designing a sleek receipt UI with subtle cues, making it intuitive for users to tag people effortlessly.\


Accomplishments that we're proud of


Fast and portable solution to split expenses.
Leveraging latest Google Gemini model for OCR and text generation.
App like this can solve daily expense splitting problems for many individuals(probably prevent many fights too).


What we learned


Prompt Engineering 
OCR Process
Connecting to an LLM model from backend and passing data over to frontend.
Always git commit !!! (we nearly lost a file due to laptop shutdown)


What's next for Paisa


Mobile App: Develop a mobile application for convenient receipt uploading and expense management on the go.
Integration with Payment Platforms: Integrate with payment platforms for seamless settlement of shared expenses.
Smart Suggestions: Implement AI-powered suggestions for item assignment based on past spending patterns.
Expense Insights: Provide insights and analytics on spending patterns to help users manage their finances better.
More UI enhancements like user management, expense tracking, expense editing features etc.

","https://paisa-frontend.onrender.com/, https://github.com/AtharvaPingale/paisa-backend, https://github.com/jayzjayesh/dctassist",https://youtu.be/8D5ifZ9j1MU,"react, flask, llm, gemini, gen, ai",,University of Cincinnati,1,230-5,University of Cincinnati,"google-pro-vision, an Generation AI for images",""
Best Implementation of an LLM or Other Generative AI Model (CincyTech),Paisa,https://revolutionuc2024.devpost.com/submissions/484372-paisa,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:01:38,"Inspiration



When you're grappling with a hefty grocery bill and the thought of dividing it seems like a headache, that's when our project steps in with empathy and understanding.

What it does

Paisa is an OCR-powered receipt buddy for seamless expense splitting.

How we built it


User uploads the receipt image on React based frontend which passes over the image to Flask backend.
AI algorithms parse the receipt into a structured JSON format, extracting item details , prices and other useful information. We are leveraging Google Gemini for this generation with custom engineered query prompt.
Once the JSON is received the users can then assign each item to their friends with whom they shared it.
The app calculates the amount owed by each person, streamlining expense sharing.


Challenges we ran into


Searching for the perfect AI model for OCR and JSON generation, tailored to our unique needs.
Unfortunately, the prompt failed to produce the correct JSON format, leading to backend API complications.
Designing a sleek receipt UI with subtle cues, making it intuitive for users to tag people effortlessly.\


Accomplishments that we're proud of


Fast and portable solution to split expenses.
Leveraging latest Google Gemini model for OCR and text generation.
App like this can solve daily expense splitting problems for many individuals(probably prevent many fights too).


What we learned


Prompt Engineering 
OCR Process
Connecting to an LLM model from backend and passing data over to frontend.
Always git commit !!! (we nearly lost a file due to laptop shutdown)


What's next for Paisa


Mobile App: Develop a mobile application for convenient receipt uploading and expense management on the go.
Integration with Payment Platforms: Integrate with payment platforms for seamless settlement of shared expenses.
Smart Suggestions: Implement AI-powered suggestions for item assignment based on past spending patterns.
Expense Insights: Provide insights and analytics on spending patterns to help users manage their finances better.
More UI enhancements like user management, expense tracking, expense editing features etc.

","https://paisa-frontend.onrender.com/, https://github.com/AtharvaPingale/paisa-backend, https://github.com/jayzjayesh/dctassist",https://youtu.be/8D5ifZ9j1MU,"react, flask, llm, gemini, gen, ai",,University of Cincinnati,1,230-5,University of Cincinnati,"google-pro-vision, an Generation AI for images",""
Best Educational Hack,GRAID,https://revolutionuc2024.devpost.com/submissions/484374-graid,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:05:32,"Inspiration

As experienced TAs and tutors for our university's Computer Science department, my group and I understand firsthand the challenges of grading projects and providing comprehensive feedback. Spending hours deciphering and debugging walls of code can be not only time-consuming but also mentally taxing. Recognizing the need for a more efficient and accurate grading solution, we developed our platform. GRAID streamlines the grading process, leveraging AI technology to provide precise feedback and suggestions, saving valuable time for both educators and students. With GRAID, we aim to revolutionize the way coding projects are assessed, making the learning experience more effective and rewarding for all involved.

What it does

GRAID is a state-of-the-art platform revolutionizing the grading process for classes with its advanced features. In addition to streamlining the grading process through AI technology, GRAID incorporates a sophisticated AI webcam proctoring feature. This feature ensures exam integrity by monitoring students' activities during exams, providing a secure and reliable environment for assessment. With GRAID, educators can trust that their exams are conducted with integrity while saving valuable time previously spent on manual proctoring.
GRAID serves as a robust competitor to platforms like Canvas by offering a comprehensive solution for students and graders alike. Not only does GRAID facilitate the seamless submission and grading of assignments, but it also provides a platform for students and graders to communicate effectively through messages and discussion posts. What sets GRAID apart is its integration of advanced AI-powered features, which streamline the grading process and enhance the overall learning experience. With GRAID, users can expect efficient assignment management coupled with intelligent automation, making it a game-changer in the realm of educational technology.

How we built it

GRAID stands at the forefront of educational technology, boasting a robust foundation developed with the Flutter framework for unparalleled cross-platform accessibility. What sets GRAID apart is its innovative use of OpenAI API to offer advanced AI-powered features, including streamlined grading assistance and personalized feedback. The platform uses a custom model trained using MediaPipe Face Mesh technology, allowing for its AI webcam proctor to accurately flag suspicious activity. This sophisticated technology ensures the highest standards of exam integrity by precisely monitoring students' facial features during coding exams. GRAID's integration of Flutter, OpenAI API, and MediaPipe Face Mesh enhances its capacity to provide a secure, reliable, and user-friendly environment for both educators and students, marking a significant stride forward in the landscape of educational technology.

Challenges we ran into

The platform utilizes a custom model trained using MediaPipe Face Mesh, enabling its AI webcam proctor to accurately flag suspicious activity during exams. However, a notable challenge we encountered during development was effectively handling edge cases in training the AI proctor. Despite this challenge, our team successfully navigated through these complexities to ensure the proctor's reliability and accuracy.

Accomplishments that we're proud of

GRAID is not just a solution to a common problem faced in academic settings; it's a personal triumph for our team. As former TAs and tutors, we understand the frustration of time-consuming grading processes. This personal connection drives our pride in developing a platform that not only streamlines grading and offers accurate feedback but also features a clean and professional UI, despite our initial lack of experience in AI model training. GRAID represents our commitment to solving real-world challenges that impact educators and students alike.

What we learned

Through the development of GRAID, we gained invaluable insights into the complexities of training AI models and the importance of meticulous planning and efficient delegation in managing large-scale projects within tight deadlines. Despite our initial lack of experience in AI model training, we navigated the learning curve with determination, gaining a deeper understanding of the considerations involved in model development. Additionally, GRAID served as a catalyst for honing our abilities to plan and delegate tasks effectively, ensuring the successful execution of a comprehensive solution to a pressing problem in the academic realm.

What's next for GRAID

In our future plans for GRAID, while the platform currently focuses on streamlining the grading process for coding assignments, we envision expanding its capabilities to accommodate a wider range of course materials and assignments. While it theoretically works with any type of assignment, our initial design was tailored specifically with coding assignments in mind. Moving forward, we are committed to enhancing GRAID to cater to diverse academic disciplines and assignment types. Additionally, we aim to enrich the personal feedback provided to students by incorporating custom learning modules and offering unique additional resources tailored to their specific needs, empowering them to excel in their studies and prepare effectively for upcoming exams. In order to reduce the amount of expensive API calls, alternative methods can be used to analyze submissions, including prompt optimizing/engineering.
",https://github.com/danielgof/revolutionuc2024,https://youtu.be/RxniVxNvl3M,"flutter, dart, openai, mediapipe, python",,Ohio State University,2,220-41,The Ohio State University,Our team found the use of Auth0 to be much more complex than we thought due to unforseen issues with Flutter and dependencies.,graider.tech
Best Implementation of an LLM or Other Generative AI Model (CincyTech),GRAID,https://revolutionuc2024.devpost.com/submissions/484374-graid,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:05:32,"Inspiration

As experienced TAs and tutors for our university's Computer Science department, my group and I understand firsthand the challenges of grading projects and providing comprehensive feedback. Spending hours deciphering and debugging walls of code can be not only time-consuming but also mentally taxing. Recognizing the need for a more efficient and accurate grading solution, we developed our platform. GRAID streamlines the grading process, leveraging AI technology to provide precise feedback and suggestions, saving valuable time for both educators and students. With GRAID, we aim to revolutionize the way coding projects are assessed, making the learning experience more effective and rewarding for all involved.

What it does

GRAID is a state-of-the-art platform revolutionizing the grading process for classes with its advanced features. In addition to streamlining the grading process through AI technology, GRAID incorporates a sophisticated AI webcam proctoring feature. This feature ensures exam integrity by monitoring students' activities during exams, providing a secure and reliable environment for assessment. With GRAID, educators can trust that their exams are conducted with integrity while saving valuable time previously spent on manual proctoring.
GRAID serves as a robust competitor to platforms like Canvas by offering a comprehensive solution for students and graders alike. Not only does GRAID facilitate the seamless submission and grading of assignments, but it also provides a platform for students and graders to communicate effectively through messages and discussion posts. What sets GRAID apart is its integration of advanced AI-powered features, which streamline the grading process and enhance the overall learning experience. With GRAID, users can expect efficient assignment management coupled with intelligent automation, making it a game-changer in the realm of educational technology.

How we built it

GRAID stands at the forefront of educational technology, boasting a robust foundation developed with the Flutter framework for unparalleled cross-platform accessibility. What sets GRAID apart is its innovative use of OpenAI API to offer advanced AI-powered features, including streamlined grading assistance and personalized feedback. The platform uses a custom model trained using MediaPipe Face Mesh technology, allowing for its AI webcam proctor to accurately flag suspicious activity. This sophisticated technology ensures the highest standards of exam integrity by precisely monitoring students' facial features during coding exams. GRAID's integration of Flutter, OpenAI API, and MediaPipe Face Mesh enhances its capacity to provide a secure, reliable, and user-friendly environment for both educators and students, marking a significant stride forward in the landscape of educational technology.

Challenges we ran into

The platform utilizes a custom model trained using MediaPipe Face Mesh, enabling its AI webcam proctor to accurately flag suspicious activity during exams. However, a notable challenge we encountered during development was effectively handling edge cases in training the AI proctor. Despite this challenge, our team successfully navigated through these complexities to ensure the proctor's reliability and accuracy.

Accomplishments that we're proud of

GRAID is not just a solution to a common problem faced in academic settings; it's a personal triumph for our team. As former TAs and tutors, we understand the frustration of time-consuming grading processes. This personal connection drives our pride in developing a platform that not only streamlines grading and offers accurate feedback but also features a clean and professional UI, despite our initial lack of experience in AI model training. GRAID represents our commitment to solving real-world challenges that impact educators and students alike.

What we learned

Through the development of GRAID, we gained invaluable insights into the complexities of training AI models and the importance of meticulous planning and efficient delegation in managing large-scale projects within tight deadlines. Despite our initial lack of experience in AI model training, we navigated the learning curve with determination, gaining a deeper understanding of the considerations involved in model development. Additionally, GRAID served as a catalyst for honing our abilities to plan and delegate tasks effectively, ensuring the successful execution of a comprehensive solution to a pressing problem in the academic realm.

What's next for GRAID

In our future plans for GRAID, while the platform currently focuses on streamlining the grading process for coding assignments, we envision expanding its capabilities to accommodate a wider range of course materials and assignments. While it theoretically works with any type of assignment, our initial design was tailored specifically with coding assignments in mind. Moving forward, we are committed to enhancing GRAID to cater to diverse academic disciplines and assignment types. Additionally, we aim to enrich the personal feedback provided to students by incorporating custom learning modules and offering unique additional resources tailored to their specific needs, empowering them to excel in their studies and prepare effectively for upcoming exams. In order to reduce the amount of expensive API calls, alternative methods can be used to analyze submissions, including prompt optimizing/engineering.
",https://github.com/danielgof/revolutionuc2024,https://youtu.be/RxniVxNvl3M,"flutter, dart, openai, mediapipe, python",,Ohio State University,2,220-41,The Ohio State University,Our team found the use of Auth0 to be much more complex than we thought due to unforseen issues with Flutter and dependencies.,graider.tech
Best Product Market Fit (Center for Entrepreneurship),GRAID,https://revolutionuc2024.devpost.com/submissions/484374-graid,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 13:05:32,"Inspiration

As experienced TAs and tutors for our university's Computer Science department, my group and I understand firsthand the challenges of grading projects and providing comprehensive feedback. Spending hours deciphering and debugging walls of code can be not only time-consuming but also mentally taxing. Recognizing the need for a more efficient and accurate grading solution, we developed our platform. GRAID streamlines the grading process, leveraging AI technology to provide precise feedback and suggestions, saving valuable time for both educators and students. With GRAID, we aim to revolutionize the way coding projects are assessed, making the learning experience more effective and rewarding for all involved.

What it does

GRAID is a state-of-the-art platform revolutionizing the grading process for classes with its advanced features. In addition to streamlining the grading process through AI technology, GRAID incorporates a sophisticated AI webcam proctoring feature. This feature ensures exam integrity by monitoring students' activities during exams, providing a secure and reliable environment for assessment. With GRAID, educators can trust that their exams are conducted with integrity while saving valuable time previously spent on manual proctoring.
GRAID serves as a robust competitor to platforms like Canvas by offering a comprehensive solution for students and graders alike. Not only does GRAID facilitate the seamless submission and grading of assignments, but it also provides a platform for students and graders to communicate effectively through messages and discussion posts. What sets GRAID apart is its integration of advanced AI-powered features, which streamline the grading process and enhance the overall learning experience. With GRAID, users can expect efficient assignment management coupled with intelligent automation, making it a game-changer in the realm of educational technology.

How we built it

GRAID stands at the forefront of educational technology, boasting a robust foundation developed with the Flutter framework for unparalleled cross-platform accessibility. What sets GRAID apart is its innovative use of OpenAI API to offer advanced AI-powered features, including streamlined grading assistance and personalized feedback. The platform uses a custom model trained using MediaPipe Face Mesh technology, allowing for its AI webcam proctor to accurately flag suspicious activity. This sophisticated technology ensures the highest standards of exam integrity by precisely monitoring students' facial features during coding exams. GRAID's integration of Flutter, OpenAI API, and MediaPipe Face Mesh enhances its capacity to provide a secure, reliable, and user-friendly environment for both educators and students, marking a significant stride forward in the landscape of educational technology.

Challenges we ran into

The platform utilizes a custom model trained using MediaPipe Face Mesh, enabling its AI webcam proctor to accurately flag suspicious activity during exams. However, a notable challenge we encountered during development was effectively handling edge cases in training the AI proctor. Despite this challenge, our team successfully navigated through these complexities to ensure the proctor's reliability and accuracy.

Accomplishments that we're proud of

GRAID is not just a solution to a common problem faced in academic settings; it's a personal triumph for our team. As former TAs and tutors, we understand the frustration of time-consuming grading processes. This personal connection drives our pride in developing a platform that not only streamlines grading and offers accurate feedback but also features a clean and professional UI, despite our initial lack of experience in AI model training. GRAID represents our commitment to solving real-world challenges that impact educators and students alike.

What we learned

Through the development of GRAID, we gained invaluable insights into the complexities of training AI models and the importance of meticulous planning and efficient delegation in managing large-scale projects within tight deadlines. Despite our initial lack of experience in AI model training, we navigated the learning curve with determination, gaining a deeper understanding of the considerations involved in model development. Additionally, GRAID served as a catalyst for honing our abilities to plan and delegate tasks effectively, ensuring the successful execution of a comprehensive solution to a pressing problem in the academic realm.

What's next for GRAID

In our future plans for GRAID, while the platform currently focuses on streamlining the grading process for coding assignments, we envision expanding its capabilities to accommodate a wider range of course materials and assignments. While it theoretically works with any type of assignment, our initial design was tailored specifically with coding assignments in mind. Moving forward, we are committed to enhancing GRAID to cater to diverse academic disciplines and assignment types. Additionally, we aim to enrich the personal feedback provided to students by incorporating custom learning modules and offering unique additional resources tailored to their specific needs, empowering them to excel in their studies and prepare effectively for upcoming exams. In order to reduce the amount of expensive API calls, alternative methods can be used to analyze submissions, including prompt optimizing/engineering.
",https://github.com/danielgof/revolutionuc2024,https://youtu.be/RxniVxNvl3M,"flutter, dart, openai, mediapipe, python",,Ohio State University,2,220-41,The Ohio State University,Our team found the use of Auth0 to be much more complex than we thought due to unforseen issues with Flutter and dependencies.,graider.tech
