Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Mlh Points Question,Domain.Com Domain Names,Tell Us How Your Experience With Mlhâ€™s Sponsor Technology Went.,Room Number
Visualizing Kuka 7 Node Robot Arm,https://revolutionuc2023.devpost.com/submissions/394035-visualizing-kuka-7-node-robot-arm,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 20:51:16,"Visualizing the Movements of Kuka 7 Node Robot Arm through Unity and C

Inspiration
The inspiration for Visualizing Kuka 7 Node Robot Arm came from our interest in robotics and automation. We wanted to create a tool that could help engineers and researchers visualize the movements of a Kuka 7 Node Robot Arm. Coming into the hackathon, we wanted to do something related to that and we ended up running into Mitchell of Kinetic Vision who told us that there was a challenge relating to visualizing the movement of the robot.

What It Does
Visualizing Kuka 7 Node Robot Arm is a web application hosted through WebGL that allows users to interactively visualize the movements of a Kuka 7 Node Robot Arm through the use of sliders. Users can adjust the angles of each joint and see how it affects the position of the end effector. The application also includes a variety of pre-built sequences that demonstrate the capabilities of the robot arm. The application is also able to interpret the CSV file provided by Kinetic Vision to create a moving visualization of the Kuka 7 Node Robot.

How We Built It
We built this web application through primarily Unity since it is an amazing tool for modeling 3d objects that require physics and because it is easy to publish through WebGL. We also used AutoCad, RoboDK, Blender, and Fusion360 to create the 3d models in the form of obj files for the motors that make up the robotic arm.

Challenges We Faced
One of the biggest challenges we faced was getting the different parts of the robot arm to rotate with each other. This is because the location of one motor is relative to the one below it which caused some errors with rotating higher level motors. This was fixed through coding specific rotation scripts that would force the proper rotation. Another issue we had was with the 3d motors for each model not rendering correctly in Unity. An example of such an issue would be the center of the model and thus the rotation not being in the center of the actual mesh.

What We Learned
Something we learned today about was prioritizing work and not underestimating the process. We had a list of features we wanted to have accomplished by the end of the hackathon but we quickly realized that we had to drop some of the features to make sure that the more important features like the rendering and movement were correct. One of the key components that allowed our simulation to work the way is does was with inverse kinematics, which is the use of kinematic equations to determine the motion of a robot to reach a desired position. We also were overconfident going into this because the tasks early on the process were easy while the process of putting everything together was significantly more difficult

Accomplishments
Weâ€™re proud of the realistic 3D visualization we were able to create using Unity. We are happy with the front end and we find it simplistic.

Whatâ€™s next for Visualizing Kuka 7 Node Robot Arm
In the future, we plan to add more advanced features to Visualizing Kuka 7 Node Robot Arm, such as support for multiple robot arms and the ability to save and load custom sequences. We also plan to add onto this by adding the feature of recording robotic movements and converting those movements into a CSV that can be used for the physical robot arm.
","http://howardgotinastickysituationwithspacearm.tech/, https://www.youtube.com/watch?v=PEpoWVudzjY",https://www.youtube.com/watch?v=a9zgm1uAzVE,"Best Domain Name from Domain.com (MLH), Robotic Data Visualization (Kinetic Vision), Most Creative Use of GitHub (MLH)","matlab, python, unity, c#, autodesk-fusion-360, robodk, html, css, blender",,University of Cincinnati,3,University Of Cincinnati,http://howardgotinastickysituationwithspacearm.tech/,"'- Overall the Kinetic Visions requested software, ""RoboDK"", had a small learning curve, however after taking the time to understand learn the logic behind everything our project became a lot more streamlined. 
- The domain hosting service was mixed because through the process of getting the domain was filled with errors and setting the DNS could have been easier. However, it seems to have worked and I enjoyed the overall experience.",230-7
Censible,https://revolutionuc2023.devpost.com/submissions/394117-censible,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 22:57:47,"Inspiration

Our inspiration came from the never ending quest for a safer internet experience. We have all experience the excessive use of vulgarity or obscene imaging in today's world wide web. Censible is our method of cutting down on these forms of media and providing a more enjoyable experience.

What it does

Censible is a web browser extension meant to provide a better search experience for the user. Censible will monitor webpages for the user and remove user selected key words and blur images relating to those keywords. Censible can be used by parents to protect their children's devices from inappropriate content by setting their own custom boundaries. Censible has workplace applications as well, users can create a list that can block distracting data from their view.

How we built it

We used an open source git repo called ""Spoiled"" which could parse html for a list of banned words and black out all the text around the words and any images near them. We expanded upon this by making images blur with a gaussian effect and incorporated google cloud's Vision api to look for labels in the images. These labels were also compared with the banned word list, making the censoring more specific. We also added an embedded options menu where the user could choose how much to blur images.

Challenges we ran into

This project encountered many roadblocks. The first of many was implementing the Google API. Our team lead looked into the problem and came up with a solution after many hours of research. Another challenge was allowing the user to create multiple lists for different work settings. Unfortunately our group ran out of time before we were able to complete this task. In the future, we look to completing this task along with other unfinished tasks.  

Accomplishments that we're proud of

We are very of the Google Cloud Vision API that we implemented into the system. This API looks at every image on a webpage and then generates a list of words relating to the image. Those keywords are then checked against the users blocked list and will blur out the image if any words in the list match the block list. 

What we learned

Javascript API calls
Google Cloud
Async await
HTML
CSS
Chrome cache storage
Extensions

What's next for Censible

In the future, we would like to see Censible expand to the point where users can add multiple lists for different settings. This way Censible could be used in both an educational and workplace setting. The user would just need to switch to their separate list for that task.
",https://censible-demo.netlify.app,https://youtu.be/peUvxB5r28Q,"Best Design Hack, Best Social Impact Hack, Most Useless Hack, Best Domain Name from Domain.com (MLH), Best use of Google Cloud (MLH), Purposeful User Engagement (Fifth Third Bank), Most Creative Use of GitHub (MLH)","javascript, html, css, google-cloud-vision, google-cloud, chrome, chrome-storage-cache",,University of Cincinnati,2,University of Cincinnati,d3mo.tech,We used Github it was really useful when pushing new programs to each other.,230-3
Chip8 FPGA Emulator,https://revolutionuc2023.devpost.com/submissions/394137-chip8-fpga-emulator,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 23:16:31,"Inspiration

The members of the group all learned about FPGAs in class, but had no experience designing a large scale project involving them. The CHIP-8 emulator seemed like a fun and challenging project for an otherwise professional use cases of the emerging technology.

What it does

The CHIP-8 Emulator is a virtual machine with a collection of retro arcade games, there is also implementation to create personal games.

How we built it

We used a hardware description language to program individual components such as a program counter, display, memory, alu, instruction decoder, controller input, timer, and a stack.

Challenges we ran into

Synthesis time for the program can be minutes long, adding valuable time to debugging times. VHDL error messages can also be cryptic, leading to intense bug finding. 

Accomplishments that we're proud of

We completed the controller functionality. We have three instructions completely implemented. 

What we learned

Unit testing is very important and very difficult on hardware projects. 

What's next for Chip8 FPGA Emulator

Finish the display functionality, add the remaining instructions, create our own game to include.
",https://github.com/tweger1999/FPGA_Chip_8_Emulator,https://youtube.com/shorts/QRRtJEy9O3I?feature=share,"Best Educational Hack, Best Design Hack, Most Useless Hack, Most Creative Use of GitHub (MLH)","vhdl, fpga",,University of Cincinnati,2,University of Cincinnati,"",Github repository,Lobby-5
Caringo,https://revolutionuc2023.devpost.com/submissions/394170-caringo,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 00:23:23,"Inspiration

We were inspired to create Caringo after realizing that there was a need for a platform that connects people with causes they care about in a more personalized and impactful way. We wanted to make it easier for individuals to find and support causes that align with their values and interests, and to provide a space for nonprofits to share their stories and connect with potential donors.

What it does

Caringo is a platform that allows users to discover and support causes they care about through personalized recommendations and social sharing. Users can create profiles, follow causes, and donate to organizations directly through the platform. Nonprofits can also create profiles, share their stories, and connect with potential donors.

How we built it

We came up with the mockup design using an assortment of collaboration creativity tools, such as Adobe Photoshop, Figma, and Adobe Illustrator.

Challenges we ran into

We realized early-on that creating an iOS app from scratch, with what experience we had, was not feasible, but we were determined to see our idea come to life.

Accomplishments that we're proud of

We learned a lot about how an End-User is impacted by design choices, and how these design choices can be used to impact society.

What we learned

Throughout the development of Caringo, we learned a lot about building scalable and secure applications. We also learned a lot about working collaboratively as a team and leveraging each other's strengths.

What's next for Caringo

In the future, we plan to continue improving and expanding the platform, including adding more features and implementing more functionality.
",https://github.com/CameronPocisk/Caringo.git,https://youtu.be/sj_ftP2Hkhg,"Best Design Hack, Best Social Impact Hack, Most Useless Hack, Best Domain Name from Domain.com (MLH), Purposeful User Engagement (Fifth Third Bank)","figma, css, html, adobe-illustrator, adobe-premiere-pro, javascript",,University of Cincinnati,3,University of Cincinnati,Caringo.tech,"",Floor 4 Lounge
Busy Bees,https://revolutionuc2023.devpost.com/submissions/394172-busy-bees,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 00:32:21,"Inspiration

We wanted to provide personalized education to all students. This would allow students to learn more about their interests, and capabilities and help them achieve more than what they would in a general education system.

What it does

Busy Bees is an interactive education platform that allows users to learn new words, solve math problems and learn new concepts with explanations appropriate to their age groups.

How we built it

The application was built using python and flask web frameworks. We used open API to receive text answers and used it to teach students.

Challenges we ran into

We had difficulty integrating flask and HTML as there was some logical error while displaying the new words. However, this problem was fixed. We also had trouble with the openAI API as it only returned parts of the text prompt and not the entire text. We were able to fix this by increasing the maximum number of tokens.

Accomplishments that we're proud of

We are proud that we were able to develop a flask application with minimal experience in web dev. We were able to design the web app effectively and use HTML and CSS to syle it.

What we learned

We learn a lot about web dev using python and flask can be used to develop web apps like Busy Bees. We learn a lot about openAI and used to effectively in our project.

What's next for Busy Bees

We plan to integrate a voice recognition feature that would make the application more interactive.
",https://github.com/aniruddh-alt/Busy-Bees/tree/master,https://vimeo.com/802432586,"Best Educational Hack, Best Design Hack, Purposeful User Engagement (Fifth Third Bank)","python, flask, html5, css3, openai",,University of Cincinnati,1,University of Cincinnati,"","","auditorium, table to the left"
WriteRight,https://revolutionuc2023.devpost.com/submissions/394216-writeright,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 01:38:37,"The process to Write it Right:

1. What inspires us?

When we were young, we would write lessons in books by hand. Growing older, some may adapt the typing method for the sake of convenience, though some would prefer keeping the traditional way. When we-the teammates met each other, we would spend all day in the library studying. We notice that we have so many ways to keep notes from lessons. Regarding reviewing, this gap creates difficulties for us since it is not the same format. Therefore, we would like to bridge this gap by creating an AI that can convert handwritten format to digital text. 

2. What we learned


  We have learned about the techniques to train an AI. Some aspects must take a long path to go, while some only need a shortcut for an AI to understand. What makes it important is that you have to know when is enough. Just like raising a baby, it does not know anything, so our job is to ensure we cover all the areas within the time pressure. 
  For 24 hours, we would start everything from scratch. We trained a newly born AI from single little things like telling it the gap between characters or a curvy shape to make an â€œoâ€ or â€œaâ€. Letâ€™s not mention that not every curve looks the same, and we would have to point out every possibility. We have learned (in a brutally hard way) that we must take time to raise â€œa babyâ€ AI, which is the only thing that is against us in this Hackathon game. 
  Technical parts aside, we have learned how to be the actual team. With the pressure of 24 hours, time management is of utmost importance. Obviously, we would strive for the best; however, pressure alone is not enough. We learned when the time is for task delegation, and we trust our teammates with the task assigned. By knowing each of the memberâ€™s strengths and weaknesses, we divided the tasks evenly, and this team has raised a baby AI up within a day. 


3. How we built our project

Handwriting recognition is a process of identifying and transcribing the handwritten text into machine-readable digital text. The model you refer to combines Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs) to accomplish this task.
      The model has three main layers:


  CNN layer: The first layer in the model is a CNN layer that is responsible for detecting and extracting text from the input image. This layer uses convolutional filters to scan the input image and extract relevant features for handwriting recognition.
  RNN layer: The second layer in the model is an RNN layer that takes the features extracted by the CNN layer and transcribes them into text. This layer uses a recurrent architecture to process the input data sequentially and maintain a memory of the previous inputs. This helps the model to capture the contextual information of the text and improve its recognition accuracy.
  CTC layer: The final layer in the model is a CTC (Connectionist Temporal Classification) layer that converts the output of the RNN layer into a sequence of characters. This layer uses the CTC algorithm to handle variable-length sequences and perform alignment between the input image and the output text.
  Finally, our AI is deployed to capture images of handwritten text into digital ones.
During inference, the model takes an input image of handwritten text and uses the CNN layer to extract features. These features are then passed to the RNN layer, transcribing them into text. The CTC layer then converts the output of the RNN layer into a sequence of characters representing the recognized text.


4. Challenges we face.


  Time constraints: learning and raising a baby is progress, and 24 hours might not be enough for us to train our AI to be as accurate as expected.
  Training process for an AI: handwritten text varies, from a neatly written paragraph to a sketchy one. Our job is to use a wide range of tools to help it understand in a short period of time. This is what we struggle with most. 
      Compatibility issues:: working with open source library requires abundant work of version control and OS environment to ensure compatibility. 
  Conflicts between teammates: not everything is as smooth as butter. We had different opinions and different ways of approaching the problem. It is not usually a negative thing. Many ideas would result in a better apprehension of the process. Whatâ€™s important is how we would reach an agreement so that we could quickly move on and really apply our decided method to practice.

",https://github.com/ToanNham/WriteRight,https://www.youtube.com/watch?v=-VKTiUSlQHA,"Best Educational Hack, Most Useless Hack","python, kivy, windows-10, iamhandwritingdatasets, tensorflow",,University of Cincinnati,3,University of Cincinnati,"","",230
ManageMe,https://revolutionuc2023.devpost.com/submissions/394266-manageme,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 02:56:17,"Inspiration

ManageMe
Our team is comprised of busy college students who struggle to balance all of our many tasks, so we worked to create a solution.

What it does

First, users are directed to a page where they can register as new users so their tasks will be saved upon returning later. It will then ask users for the tasks they need to complete and organize them into a visually appealing calendar. Users can then see what remaining tasks to work on for the rest of their week.

How we built it

We used Flask, Python, and Javascript for the backend and HTML and CSS for the front end. The template for our user management system was found on GitHub, and we used a separate template for the schedule interface. After this, we began integrating the two templates to allow for user submission of times and task names. We overhauled the entire front end to create a more enjoyable user experience. 

How we run it

Using google API we deployed our project through a web app deployment. We used Github to manage the codebase and deploy the code to our GCP environment. We created an SSH token for the VM to allow it to pull from the Github repository. Lastly, we added a custom .tech domain from domaim.com. 

Challenges we ran into

Using the flask-SQL Alchemy for inputting data was causing us issues as we weren't familiar with the way to access items stored in the .db file. It also took us time to learn how to host a website on Google Cloud, then route this website to our .tech domain. 

Accomplishments that we're proud of

Successfully hosting our website so it is accessible to a wider audience was a huge accomplishment of ours. 

What we learned

We learned how to better utilize CSS to create visually appealing websites. 

What's next for ManageMe

Our next steps are to create a way to have a dynamic number of events, fix the way to add names to tasks, and fix the start time and end time text entries. 
","http://www.manageself.tech, https://github.com/nrgrill/ManageMe",https://youtu.be/pRmx69sTvmE,"Best Domain Name from Domain.com (MLH), Best use of Google Cloud (MLH), Purposeful User Engagement (Fifth Third Bank)","python, flask, javascript, bootstrap, css, html",,University of Cincinnati,2,University of Cincinnati,manageself.tech,It was great to use domain.com and Google Cloud to host our website.,560K
My-Kalory,https://revolutionuc2023.devpost.com/submissions/394293-my-kalory,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 04:02:55,"What inspired us

Nutrition apps such as MyFitnessPal or other online tools can often make calorie tracking confusing as the same food item usually have different macros and serving sizes. We wanted to have a way for users to track calorie quickly and accurately, without needing to enter values by values into an interface to get their result. As such, We implemented a way to scan nutrition labels with the camera, and extract the nutrition values from the captured product and update that info to the user's preset caloric and macro goals. We implemented a way to scan nutrition labels and extract the nutrition values from the captured product and update that info to the user's preset caloric and macro goals.  We decided to go with this idea because we wanted to try our hands at utilizing an API that provided a pre-trained Machine Learning model.

What it does

The app helps users to track their calories and macro-nutrients intake. By scanning the nutrient facts label on a food product, our app will extract the information presented and calculate how much calories and macro-nutrients were consumed and how much are left to meet the user's target.
Users will be prompted to provide login or sign up information before they are able to use the app's functionalities. If it is their first time, the page will have the user fill out a physical index form to calculate their Body Mass Index (BMI). Once in the app's main page, users will have the option to either view their dashboard, which displays information on their current caloric and macro-nutrient intakes, or choose to capture a food product to get the nutrition information, which will then be updated to the dashboard.

Project scope

For our frontend, we used the React framework to provide users with an interactive and fluid experience. Our backend was written in Python using the Django framework and we incorporated Firebase for Backend-as-a-Service to provide our app with user authentication. For our database, we use MongoDB to store the user's information as well as the products they have scanned through our app for quicker data retrieval. We also included Google's Vision API to help extract and decode the captured image into usable data to send to our backend database.

Challenges we ran into

One of the challenges we ran into early on into the project was getting MongoDB to work with the Django framework, as well as ensuring all project members have access to the database. Because we are still inexperienced working with Django, we also had difficulties using Google's Vision API and decoding the information that was given from the image. Additionally, we still have not nailed down the process of communicating between the frontend and backend as the errors that were given did not point to the exact root and we had to spent a majority of our time debugging the code.

What we managed to achieve

We definitely underestimate the scope of our project, especially given that only a few of us had expertise in the frameworks and software we used during development. In the end we managed to set up the MongoDB cloud database to work with our Django backend as well as the Firebase. We also managed to integrate Google's Vision API  to scan and extract the values from a product's nutrition label, which we then used to update our database. In addition, to make up for our rather lackluster backend, our frontend team made sure that the user's experience be as smooth and interactive as possible.

What we learned

We definitely feel a bit more comfortable using Django as a backend framework for our future project. There was a big learning curve trying to integrate MongoDB as our database, especially the process of setting up a schema for the collections and creating working API endpoints for our frontend and backend, but eventually we managed to figure it out. We also gained new knowledge of how to use Google's Vision API as we were able to decode the text returned by the API from a captured image to usable data that we then sent to our API endpoints. Finally, we utilized a few advanced React techniques and modules, such as Bootstrap, to create a nice-looking and responsive web application, which helped us gain more experience in frontend development.
",https://github.com/dominhnhut01/revolutionuc2023,https://youtu.be/SC5J2QSICSc,"","javascript, python, django, react, mongodb, firebase, google-vision-api",,Miami University,3,Miami University,"","",220-3
GitPHREAKERS,https://revolutionuc2023.devpost.com/submissions/394356-gitphreakers,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 06:05:27,"Inspiration

This all started two days ago, when my brother cracked the joke that instead of using a minecraft server to play together, we should just upload a save to Github. Now we're here.

What it does

GitPHREAKERS is a cell based strategy game, based upon the gimmick that the game save is hosted on github, allowing you to view you opponents scripts, cell configurations, as well as the source code. The idea is that by allowing for easy access to intelligence on everyone, it'll force players to constantly update their plans, come up with red herrings, and adapt to their opponents attempts to exploit weaknesses in their strategy.

How I built it

I used primarily React for the client, and express and AWS for the server.

Challenges I ran into

Side note, unfortunately I wasn't able to host it entirely on GitHub. I was so not about to figure out how to deal with GitHub authorization, and the other various issues with constant commits. As a result , most of the handling is done on an actual server :( 

This may be fixed in V2

Turns out, React is a terrible framework for anything game adjacent. It gets all too easy to get tangled states and ugly inheritances. Honestly, not sure what I was thinking. Additionally I was pretty rusty on express and AWS, so that seriously ate into my time budget. Ultimately though, nothing was more infuriating than getting git to cooperate. I fought that program for two hours, trying to get it to automate, before a two line stackoverflow post saved me. In the end, its means I just didnt have enough time to implement everything I wanted too, so I had to cut scripting, seriously downgrading the games complexity.

LOVE LAST MINUTE PROBLEMS: IM NOT RUNNING HTTPS, AND I NEED IT TO BE ABLE TO TALK TO MY SERVER ON GITHUB PAGES, BRB RUSHING A CERTBOT INSTALL.

Accomplishments that I'm proud of

Getting the github repo automations working is great, Its a fun gimmick being able to link to a cell's niche in the repo. I'm also quite happy with the UI, as despite its rushed nature, its still looks pretty stylish, and keeps information clean and organized. Finally, im pretty happy with the (proposed) gameplay loop. I feel as though given the time to be fully featured and fleshed out, it'll make a great little strategy game.

What I learned

Well first and formost, never use React for games. Wont be making that mistake again. Aside from that, I actually learned a good deal on proper react practices, though more in the way of what NOT to do. 

What's next for GitPHREAKERS

Most immediately, A refactor of the codebase. It is a hot mess, and the horrors hidden under the UI are not safe to be viewed by man. After that, I'd like to complete the features I had been angling for, including scripting, customization, and an actual endgame.
",https://theselphine.github.io/GitPhreaks/,https://youtu.be/vSny7MdQ1DQ,"Most Useless Hack, Most Creative Use of GitHub (MLH)","amazon-web-services, react, html5, javascript, express.js",,"",0,University of Cincinnati,none,"Git was a nightmare, but all the Github apis I dealt with were quite user friendly and easy to use. The CLI tool is a DREAM compared to raw git.",230-5
HighwayHarmony,https://revolutionuc2023.devpost.com/submissions/394392-highwayharmony,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 07:42:38,"Inspiration

In two weeks, a group of friends and I are going on a road trip. In the past, some of us have put in few songs while others have put in hundreds. With HighwayHarmony, I hope to create an app that creates a more even play of the songs in the cue. 

What it does

The app will allow for each 'player' to add a song under their name, and the program distributes the songs played by each person. It connects with the host's Spotify account and once the song and player have been recorded, determines which songs to put in the cue. Each member will have an equal chance of being selected to have their selections put on. So the number of additions does not affect the probability of getting songs played

How we built it

We built this project using Python, the Spotify API, and Kivy for python.

Challenges we ran into

Spotify has a webpage dedicated to developers so they have easy access to API. Once we were on the website, it was a struggle to figure out how to use this information as it came in odd forms. Eventually, we were able to work through this, and the next issue was figuring out how to create code that read the Spotify data and added the songs to cue. Finally, the biggest hurdle was figuring out how to turn the project from lines of text into an app. We have never worked with developing UI, so this was certainly a big challenge for us

Accomplishments that we're proud of

We are very proud that we have a working demo of our product. We were worried about connecting our code logic to the Spotify API and even further to buttons and text boxes within a UI. We are very excited that our UI is working and did not detract at all from our working base layer logic.

What we learned

We learned a lot about how to use API calls and how to develop a UI using libraries within Python

What's next for HighwayHarmony

We hope to continue to develop our product to make it easier to use, and to allow our app to be run on several devices at once. This way, we will have the app ready for our upcoming road trip!
",https://github.com/kyleyoung1121/HighwayHarmony,https://youtu.be/5G_ele_nPoo,"","python, spotify, kivy",,University of Cincinnati,2,University of Cincinnati,"","",220-2
CardCache,https://revolutionuc2023.devpost.com/submissions/394411-cardcache,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 08:15:10,"Inspiration

inconvenience of carrying gift cards along with the chance of losing them. Along with this, the balance is always in question.

What it does

CardCache is an app that allows a user to collect gift cards in their wallet. In the wallet users are able to see their balance, add gift cards, and scan gift cards to use them. The marketplace allows users to buy, sell, and trade gift cards in the auction house. 

How we built it

built using the following tools


html
CSS
Github
Visual Studio
Android Studio + Emulator
Photoshop
 OneNote


Challenges we ran into


All team members had zero coding experience with all platforms used
Paywalls
Xcode and SwiftUI could not be ran on PC
Android Studio app testing and creating was difficult
Alignment


Accomplishments that we're proud of


Creating a website
Sticking with 1 idea
Having a final product
Learned countless new coding styles


What we learned

We learned to stick with one idea and figure out which coding style worked best. We learned that trial and error is the best form of learning while coding. We learned many types of problem solving strategies while coding. Along with this we learned many technical skills like, html, tags, visual studio, photoshop, CSS, and Android Studio 

What's next for CardCache

We hope CardCache can develop into and entirely independent gift card market. It would allow users to   satisfy all gift card needs, from time of purchase until time of use. In the future, geo-location will suggest gift cards based on location and user preference. Also, users can buyout of gift cards by paying a large taxation set by company.
","",https://youtu.be/qBqD61qaR8I,"Best Design Hack, Best Social Impact Hack, Most Useless Hack, Purposeful User Engagement (Fifth Third Bank), Most Creative Use of GitHub (MLH)","visual-studio, html, css, photoshop, android-studio",,University of Cincinnati,0,University of Cincinnati - Main Campus,"","",suite 312
Neon City Metaverse,"",Draft,Pending,Project details,02/26/2023 08:23:43,"Inspiration

The inspiration for the Neon City Metaverse project is the belief that virtual reality and the metaverse have the potential to revolutionize the way we live, work, and interact with each other. With the advancement of technology, it's becoming increasingly possible to create fully immersive and interactive virtual worlds that can offer endless possibilities for entertainment, education, and innovation. The goal of the Neon City Metaverse project is to create a platform that harnesses the power of virtual reality and the metaverse to bring people together, facilitate creativity and collaboration, and provide new opportunities for personal and professional growth.

What it does

Welcome to Neon City Metaverse, the ultimate virtual world where you can live, work, and play like never before! Imagine a fully immersive experience where you can customize your own avatar, explore futuristic landscapes, and interact with people from all over the world.

Our metaverse is a social hub where you can attend virtual events, concerts, and parties, or simply hang out with friends in a virtual cafe. You can also earn real money by creating and selling your own virtual goods and services, or by completing tasks and challenges within the metaverse.

But Neon City Metaverse is not just about entertainment and socializing. It's also a platform for education, training, and collaboration. You can attend virtual classes, workshops, and seminars, or work on projects with colleagues from different parts of the world.

So whether you're looking for a fun place to hang out, a new way to make money, or a cutting-edge platform for learning and innovation, Neon City Metaverse has something for everyone. Join us today and discover the endless possibilities of the virtual world!

How we built it

The development of the Neon City Metaverse project involves a combination of software engineering, game development, and virtual reality technology. The project's core team consists of developers, designers, and experts in virtual reality and the metaverse.

To build the project, the team first created a concept and design for the virtual world, including the visuals, environments, and interactions. They then used game engines such as Unity or Unreal Engine to create the virtual world's 3D models, animations, and physics.

The team also used virtual reality devices, such as Oculus or HTC Vive, to test and refine the user experience. They integrated various features, such as social networking, virtual commerce, and educational tools, to make the metaverse more engaging and useful for users.

Throughout the development process, the team conducted user testing and received feedback to improve the metaverse's functionality, usability, and overall experience. Finally, the project was launched, and ongoing updates and improvements are made based on user feedback and technological advancements in virtual reality and the metaverse.

Challenges we ran into

The development of the Neon City Metaverse project came with several challenges that the team had to overcome. Some of these challenges include:


Technical challenges: Creating a fully immersive and interactive virtual world requires advanced technology, including virtual reality devices and complex game engines. The team had to overcome technical challenges such as optimizing performance, reducing latency, and minimizing motion sickness.
User experience: The team had to ensure that the metaverse was easy to use and navigate for users of all skill levels. They had to design an intuitive user interface and interactions that would make it easy for users to connect with others, explore the world, and engage in activities.
Security and privacy: As with any online platform, security and privacy were major concerns. The team had to implement robust security measures to prevent hacking, fraud, and other malicious activities, as well as to protect users' personal information.
Content creation: To keep users engaged, the team had to ensure a steady stream of high-quality content, including virtual events, educational tools, and new features. This required ongoing collaboration with content creators and a system for regularly updating and expanding the metaverse's offerings.
Adoption and scaling: The success of the metaverse depended on user adoption and scalability. The team had to develop a marketing strategy to attract users and ensure that the metaverse could handle a large number of users without compromising performance or user experience.


Accomplishments that we're proud of

There are several accomplishments that the Neon City Metaverse team is proud of:


Creating a fully immersive and interactive virtual world: The team successfully developed a virtual world that users can explore, interact with each other, and engage in various activities, including socializing, commerce, and education.
Providing new opportunities for users: The metaverse has created new opportunities for users to connect, collaborate, and earn money by selling virtual goods and services.
Ongoing updates and improvements: The team has demonstrated a commitment to ongoing updates and improvements, based on user feedback and technological advancements, to ensure that the metaverse remains relevant and engaging for users.
Positive user feedback: The team has received positive feedback from users who enjoy the metaverse's features, ease of use, and social atmosphere.
Creating a community: The metaverse has created a community of users from around the world, who come together to socialize, learn, and work together in a virtual environment.


Overall, the team is proud of the impact that the Neon City Metaverse has had on users' lives and the potential for the metaverse to continue evolving and expanding in the future.

What we learned

The Neon City Metaverse project has provided the team with several valuable lessons, including:


The importance of user feedback: User feedback is crucial for improving the user experience and ensuring that the metaverse meets the needs of its users.
The need for ongoing updates and improvements: The metaverse is a dynamic environment that requires ongoing updates and improvements to remain relevant and engaging.
The potential of virtual reality and the metaverse: The project has highlighted the vast potential of virtual reality and the metaverse to revolutionize the way we live, work, and interact with each other.
The importance of collaboration: The development of the metaverse required collaboration between developers, designers, and experts in virtual reality and the metaverse. This collaboration was essential for creating a cohesive and functional virtual world.
The challenges of creating a virtual world: The project has highlighted the technical, design, and user experience challenges associated with creating a virtual world, including optimizing performance, reducing motion sickness, and ensuring ease of use for users of all skill levels.


Overall, the Neon City Metaverse project has provided the team with valuable insights into the potential and challenges of virtual reality and the metaverse and has set the stage for ongoing innovation in this exciting field.

What's next for Neon City Metaverse

The Neon City Metaverse project is an ongoing endeavor, and the team has several plans for its future development. Some of the next steps for the project include:


Expanding the virtual world: The team plans to expand the metaverse with new environments, activities, and features that will enhance the user experience and provide new opportunities for engagement.
Improving performance: The team will continue to optimize the performance of the metaverse to ensure that it can handle a large number of users without compromising speed or stability.
Integrating emerging technologies: The team plans to integrate emerging technologies, such as blockchain and artificial intelligence, to enhance the functionality and security of the metaverse.
Increasing user engagement: The team plans to implement strategies to increase user engagement, such as gamification and rewards programs.
Partnerships and collaborations: The team plans to establish partnerships and collaborations with other companies and content creators to expand the metaverse's offerings and attract new users.


Overall, the Neon City Metaverse project will continue to evolve and innovate to provide a dynamic and engaging virtual world for its users.
",https://onedrive.live.com/?authkey=%21AHcEAAwzu5xSRFU&id=8D24F63B531C559F%217700&cid=8D24F63B531C559F&parId=root&parQt=sharedby&parCid=2D20F0550256DA29&o=OneUp,https://www.youtube.com/watch?v=m8Fuj_6hx0w&embeds_euri=https%3A%2F%2Fwww.dlnkworks.com%2F&feature=emb_title,"","unity, cisco-unity-connection-messaging-interface, icon, github, git, javascript, java, python, python-package-index, unityhub, blender, unreal-engine",,"",0,"","","",""
