Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Table Are You At?,Mlh Points,Mlh Software Lab,Mlh Hardware Lab
OpenLab,https://revuc-vii.devpost.com/submissions/89742-openlab,Submitted (Gallery/Visible),Pending,,03/04/2018 09:57:05,"Inspiration

My group came into this hackathon with eager hearts and empty heads. We all knew that we wanted to learn from making something during this event, but we didn't know what. We went on a brainstorm walk, which led us to walk through the university chemistry lab building. This gave us the inspiration to create a particle-based chemistry simulation.

What it does

As rudimentary as it is, this simulates an a chemical reaction, which we believe would help benefit lower income schools as well as providing a safe environment to safely mix in chemicals and simulate them. Some examples, include combustion and acid-base reactions. 

How I built it

We split up the tasks and all spent maybe at least 3 hours trying to figure out what to do and how to get things to work together.

Challenges I ran into

We ran into numerous problems: we had no experience with unity, 3d modeling, working with  a physics engine, coding in the physics, and  no one had any experience with a gaming engine.

Accomplishments that I'm proud of

We got it to work, all together.

What I learned

We learned, that it was rather difficult to get all the components working together properly. As well as how some components may not even be necessary.

What's next for OpenLab

We hope to make further progress in enriching our curious minds for the sake of the future for the children.
",https://drive.google.com/file/d/1B6nt1BjGdsshtM3I3e8bJXFI5kq2QnC2/view,,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack","adobe-illustrator, unity, c#",,University of Cincinnati,0,801-2,Univeristy of Cincinnati - Sinclair Community College,"",Oculus Rift
Secure Drawer,https://revuc-vii.devpost.com/submissions/89744-secure-drawer,Submitted (Gallery/Visible),Pending,,03/04/2018 10:06:44,"Inspiration

With most lock boxes, you need to use something like a key, RFID, or something else that you gotta keep track of to open the device.  

We wanted to make something that was effortless to get access to the secured box.  With Bluetooth Low Energy (BLE), we can auto unlock the box which makes for a convenient and secure device!

What it does

Our security drawer has many features to protect your stuff.  We have it locked with a servo.  If your phone is near the device (within a foot or two), it will automatically unlock the drawer and you can open it with ease.

However, if you are NOT an authorized user, the drawer will be locked.  If you try to pick up the box, an alarm to go off and there will be red lights flashing!  This will scare anyone trying to take the box.

How we built it

The drawer is made out of foam board and cardboard with an acrylic handle.  It has a servo on the inside to handle locking and unlocking.

Inside there is a board with several devices.  We have an Arduino pro mini that controls the LEDs and servo.  We also have a 9 degree of freedom sensor to measure force on the box.  In addition a BLE module is connected to be able to broadcast out to devices.

A service runs on an Android phone that periodically checks for the drawer.  If the drawer is nearby, it will start monitoring RSSI (signal strength).  Once close enough, the phone sends the unlock command and the drawer will open.  Once out of range, the drawer will lock.

Challenges we ran into

We ran out of wire and had to improvise a couple times.

We burned some stuff (only 2 fires this time!)

We shocked some stuff (but nothing actually broke!)

The BLE module purchased ended up actually being a cheap knockoff with very little functionality.  We had to rethink our method of attack to get the project to work.  We had to decompile someone elses Android application to figure out how to write our own to interface with the BLE device correctly.

Accomplishments that we're proud of

You can actually authenticate with your phone locked AND in your pocket.  It actually is a 0 effort solution!

What we learned

If you are working with an unknown BLE device, a BLE packet sniffer would be super helpful.

Bring enough wire for your project.

As always, hardware IS hard.

Zener diodes dont work well on data lines.

What's next for Secure Drawer

Upgrading to a drawer that you can't cut a hole in.

A smaller form factor for the device.  Ideally, we would like to be able to adapt it to any drawer.

Be wealthy enough to have valuable items to keep safe in our drawer.
","",https://youtu.be/_EFg5OU0XbE,TCS - Best Hardware Hack,"c++, arduino, android, java, bluetooth, ble, leds, foam-board, chinesium, raspberry-pi",,"University of Akron, Ohio State University",3,860D-3,"University of Akron, The Ohio State University","",""
Focus Friend,https://revuc-vii.devpost.com/submissions/89753-focus-friend,Submitted (Gallery/Visible),Pending,,03/04/2018 10:28:39,"Inspiration

In previous years at RevolutionUC, we have been enthralled by all the different hardware and we were determined to use the Muse brainwave-sensing headband this year. Therefore, we decided to center our project around a problem that we see in everyday life, and incorporating a solution that will be the most beneficial to the most users. 

ADHD is the single most common childhood disorder with nearly 11% of school age children having been diagnosed. As the cases in the country have incresed in the last few years, we decided it would be appropriate to look at this issue through a digital lens. 

Our Project

Our project leverages the Muse Headband to detect levels of gamma brain-wave activity, and creates a graphical display that allows patients to learn how to control their thought patterns through biofeedback. In biofeedback, an individual monitors a real-time display of a body mesurement and consciously makes an effort to change it. By exercising this way, they learn how to consciously control what would otherwise be an unconsciously controlled bodily function.

While biofeedback is clasically applied to physiological metrics like blood preasure and heart rate, bodily temperature, pain sensations, and so on, we decided to try biofeedback about the user's brainwave patterns themselves. Therefore, the user can learn to consciously control their brainwave activity, automatically leading to great control over counsciousness, focus, and alertness.

How it Works

The Muse headband uses four electrodes on the forehead and ears to detect voltage levels around them, in a technique known as an EEG. This raw data is interpreted by our wrapper for the muse-io application, which uses the OSC protocol to transmit data from the headset to any OSC-capable receiving API.

The program that receives the raw data is written in Python. We spawn a thread that listens for OSC messages and use a dispatcher to handle these events asynchronously. Then, we use a mathematical technique called a fast fourier transform to transform the raw signal from the time domain to the frequency domain-- decomposing the voltage/time graph into a breakdown of amplitude/frequency. From this result, we average those frequencies that are associated with gamma and beta waves, which represent conscious alertness and focus.

To provide user display, the value is displayed in an easy-to-understand graphical interface, which shows a horizontal colored meter that fills up proportional to the user's focus level, with high refresh rate and very low latency.

Challenges

One of the most challenging aspects of this project was the interface from the OSC protocol used by Muse to the Python application that we needed to use to process the data in real-time. Another challenge was creating the graphical output, as we ran into countless problems with mutli-threading and thread locking issues.

What we Learned

We learned how to use the Muse headband to accurately and quickly measure data about the brain as it functions. We learned how to connect with this device's software to extract the raw data in real time, and we learned how to pipe this data into a Python program.

We learned about signal processing with (Fast) Fourier Transforms, and explored the mathematical significance behind this immensely useful (and cool) process. We also learned how to create a live-updating graphical interface in Python, including all of the threading ""gotchas"" that go along with it.

But not only did we learn about data and programming, but building this project was a learning experience in other aspects, as well. Because our team was formed from two partnerships who hadn't worked together before, we learned a lot about how to balance and utilize each team member's strengths in working for the project. As we began working together and sharing fresh ideas and perspectives, our productivity massively increased and we were able to attack problems by using each person's ideas, knowledge, and past experience.

What's next for Focus Friend

Right now, Focus Friend is in the prototype/proof-of-concept stage. Our future plans include:
- Mobile support for Android and iOS
- A monitoring platform for parents and educators to monitor the focus levels and reports of their students
- Possible expansion of the technology to other applications, not just ADHD
",http://www.github.com/vasilescur/FocusFriend,,"Best Education Hack, Best High School Hack, TCS - Best Hardware Hack, 8451 - Make the Customer's Life Easier","python, muse, graphics, processing, osc, numpy",,Duke University,1,860D-1,"Loveland High School, University of Cincinnati","",Alienware Laptop and Muse Headband
Smart Cart,https://revuc-vii.devpost.com/submissions/89756-smart-cart,Submitted (Gallery/Visible),Pending,,03/04/2018 10:30:43,"Inspiration

We wanted to create a Full Stack integrated IoT product that bettered the Consumer Shopping Experience and provides more value to both customer and retailer.

What it does

Hardware unit is attached to a shopping cart and has a touchscreen display and a barcode scanner. Customer scans items and finds out if they're on sale, related items they might want and gets suggested recipes using the product. The store can track popular items/sales/etc, and the server/DB uses machine learning to track what items are being bought with what to continually improve it's recommendations.

How I built it

We have a raspberry pi that simulates the hardware components by taking 12 integer arrays representing UPC barcode values (i.e. 028400091565 = Lay's Classic Potato Chips 1.5 oz bag) since we didn't have a barcode scanner to work with, and it sends the value to a MySQL DB on an AWS cloud server, which identifies the product and checks its relation to other products. The DB uses machine learning in the background to find correlations between product sales to determine what items to recommend. It then sends the product data and related product information back to the Smart Car client device via a web interface with the GUI interface.

Challenges I ran into

We used the Raspberry Pi 3 instead of the Dragonboard 410c because the Dragonboard we checked out was non-functional, and no other working ones were available.

Accomplishments that I'm proud of

Our Full Stack work! We successfully were able to take data in from the Pi, process it in our cloud infrastructure and get the item to show up on the GUI with recommendations.

What I learned

As a team, we all learned new skills for each of our parts of the project. I hadn't ever used Python before, so I had to learn it as I went in order to take input from the keypad connected to the GPIO pins of the Raspberry Pi and push it to the database. Our Database Engineer learned how to create and use an AWS EC2 instance that hosts our database. Our GUI designer learned to use the Flask web service API. Overall we learned a lot about IoT. 

What's next for Smart Cart

Integration with customer loyalty programs (such a Kroger Card, for example) that allows the cart to display a custom shopping list tied to the customer, tailor recommended products to the individual customer based not only on overall trends but their personal purchase history, display coupons connected with the card, etc. 

Potentially, Smart Cart 2.0 could use sensors to detect the products in the cart and could automatically charge a customers account when the leave the store without having to stop at a checkout line, similarly to Amazon Go.
",https://www.shopwithsmartcart.com,,"TCS - Best Hardware Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best IoT Hack Using a Qualcomm Device","raspberry-pi, python, html, css, bootstrap, javascript, amazon-web-services, flask, mysql, amazon-ec2, amazon-rds-relational-database-service, machine-learning, jquery, socket.io, keypad, touchscreen",,"University of Louisville, Northern Kentucky University, University of Cincinnati",3,801C-4,"University of Louisville, University of Cincinnati, Northern Kentucky University",AWS,DragonBoard 410C
Nanohack,https://revuc-vii.devpost.com/submissions/89758-nanohack,Submitted (Gallery/Visible),Pending,,03/04/2018 10:34:26,"Inspiration

Nanohack was inspired by the want to make hackathons more prevalent in the industry. If you make a game about it, people will come.

What it does

It captures the idea and theme of a hackathon and presents it in a fun adventure that anyone can enjoy!

How we built it

We used Gamemaker Studio as our game engine. This is what was used to really put everything together. Beepbox and Audacity were used for music and sounds. Aesprite was used for the visual assets.

Challenges we ran into

The timing of everything was honestly our biggest challenge. When making a video game there are many aspects to be considered like programming, music, sounds, sprites and animation. Squeezing all of this into a 24 hour period with only 4 people is very challenging.

Accomplishments that we're proud of

We feel like we've done really well in the time management of our project. There are obviously more things we'd like to do with the game but some sacrifices had to be made to make sure the general idea got across in our short amount of time.

What we learned

I think we learned a lot about time management, project management and just general communication between a small team.

What's next for Nanohack

We have a wait list of ideas for the game that had to be put on hold due to the time constraint of a hackathon. We'd love to implement these ideas and add more levels to make this a more fully featured game that spreads the concept of hackathons far and wide!
",https://github.com/navett52/Nanohack.gmx,,"","gamemaker-studio, aesprite, audacity, beepbox",,"Northern Kentucky University, University of Cincinnati",3,801M-1,"NKU, UC","",""
The Thingamagig,https://revuc-vii.devpost.com/submissions/89759-the-thingamagig,Submitted (Gallery/Visible),Pending,,03/04/2018 10:36:20,"Inspiration

We wanted to make the most useless hardware hack here

What it does

Nothing of use. It plays the Mario theme on a buzzer after the rfid card scanner counter reaches a certain level then resets. The counter data is also passed to a pocketchip that then transmits that data over LoRa.

How we built it

Took as much hardware as we could get our hands on and we threw it together in a machine that does stuff and things. 

Challenges we ran into

We ran out of pins for a hot seconds then we found another uno to use

Accomplishments that we're proud of

We got it too play Mario theme and transmit over RF's

What we learned

How to use RFID technology and SDR technology

What's next for The Thingamagig

Get broken down and returned. 
","",,"Best Education Hack, Best Useless Hack","arduino, sdr, pocketchip, sensors, rfid",,Ohio University - Main Campus,0,860D-2,Ohio University,"",Grove Starter Kit Components
Snapsey,https://revuc-vii.devpost.com/submissions/89766-snapsey,Submitted (Gallery/Visible),Pending,,03/04/2018 10:45:50,"Inspiration

Our Inspiration for Snapsey are the image to text converters which we felt could be extended to provide more functionality.

What it does

Snapsey first prompts the user to take a picture of a food product, then the product name and important nutrition info is given to the user in their native language that they have selected

How we built it

We built Snapsey by integrating Google's Cloud Vision API which converts the picture to the product name, the Nutritionix API which gets the nutrition information for the product, and Google's Translate API which translates the product name and nutrition information together within Android Studio.

Challenges we ran into

One of the main challenges we ran into was working with Gradle which proved to be difficult to manage and get functioning.

Accomplishments that we're proud of

Working from having no experience with Android Studio and Google API's to producing a working
application with them.

What we learned

We learned a lot about Android development as well as using API's

What's next for Snapsey

Some features we could implement into Snapsey in the future include providing pricing information as well as locations where the product can be purchased.
",https://github.com/ctooley21/Snapsey,,"JP Morgan Chase & Co. - Best Hack for Social Good, TCS - Best Hardware Hack, 8451 - Make the Customer's Life Easier","google-vision, google-translate, nutritionix, android-studio, java",,University of Kentucky,2,801M-5,University of Kentucky,"",""
LaserCubes,https://revuc-vii.devpost.com/submissions/89767-lasercubes,Submitted (Gallery/Visible),Pending,,03/04/2018 10:46:59,"Inspiration

The world needed a new way to interact online

What it does

Move around in front of your camera and explore CUBE WORLD

How we built it

We used a face tracking library and three.js to make a 3d virtual world you can play in with your friends

Challenges we ran into

The camera library was poorly documented so we had to hack it up to get something working quickly.
The networking needed to make live online games is tricky, we're doing it for the first time. None of us have programmed in golang before so the decision to use it was a folly, but it worked out well in the end.

Accomplishments that we're proud of

It really works. It works on a cell phone, too.

What we learned

We learned to use three.js to make cool 3d games, how to do client-server interactions, and a quick dive into golang for servers.

What's next for LaserCubes

Replace AJAX with WebSockets so it's faster. 
",https://cubelasers.com,,"","javascript, golang, webgl, vim, aws-lightsail",,"University of Louisville, University of Kentucky",1,801-3,"University of Kentucky, University of Louisville","",""
ApperceptionVR,https://revuc-vii.devpost.com/submissions/89768-apperceptionvr,Submitted (Gallery/Visible),Pending,,03/04/2018 10:47:30,"Inspiration

It would be hard to find someone who hasn't taken a personality test (i.e. Meyers Briggs, DISC assessment, Big Five personality tests, etc.). The problem is that the vast majority of these tests are not evidence-based and lack any predictive power. Also, people are often given these tests under high-stakes (job interview process) and are incentivized to modify their responses to fit into a certain group. To cut through the noise, we wanted to build personality profiles based on initial, gut reactions to simulated situations using VR.

What it does

Jump into a series of curated VR situations aimed at understanding your initial, gut reactions to difficult and ethical situations. While you are immersed, we are measuring a multitude of performance metrics! Our goal is to have around 10 fast-paced experiences that cover topics ranging from stress management, adaptability, creativity, problem solving, and philosophy. Over the past 24 hrs, we built two highly-polished scenarios to test the concept.

Target audience

We imagine that while this tool provides value, the initial investment in the VR setup is high. As a result, our target audience at first would be organizations (businesses, non-profits, military, law enforcement, government).

How we built it

Game engine: Unreal Engine 4

Using C++ scripts attached to Unreal, we were able to record performance metrics during the experience.

3D modeling: 3DS Max

Texturing: Substance Painter

VR headset: HTC Vive

Challenges we ran into

We wanted to collect biofeedback information such as respiratory rate or heart rate in addition to in-game performance metrics. We did a deep dive on heart rate using optical sensors, EKG breakout boards, and even tried to reverse engineer a pulse oximeter. In the end, we ran out of time on integrating biofeedback, but we learned a lot in the process!

Accomplishments that we are proud of


Amount of data that we were able to collect
The insights that we gathered
Examined data from 40 individuals
The amount of work that we were able to complete
Being able to collaboratively work to develop a strong idea
Utilizing VR as a predictive tool for personality tests


What we learned

VR


How to correct for visual anomalies that occur in VR, such as spacial awareness
How to record performance in real-time in Unreal Engine
That VR can be a powerful tool for organizations that goes beyond its initial novelty and hype-factor


Biosensing


That optical pulse sensor is susceptible to motion artifacts
Typical 3 lead EKG sensors do not allow for freedom of motion either


Usability testing


People's reactions vary greatly to physiological and psychological tasks
What measurements would be valuable for feedback in next generations


What's next for ApperceptionVR


Adding biofeedback (heart rate and/or respiratory rate)
Building out a set of validated and curated situations (~10)
Measure interpersonal metrics by enabling multiplayer support
Record verbal reaction to tasks
Watch eye movement
Record extraneous movements of the limbs
Record task speed

","",https://youtu.be/JhiSf9KWqCw,"JP Morgan Chase & Co. - Best Hack for Social Good, TCS - Best Hardware Hack","unreal-engine, c++, htc-vive",,University of Cincinnati,3,801E-1,University of Cincinnati,"",""
Cara,https://revuc-vii.devpost.com/submissions/89770-cara,Submitted (Gallery/Visible),Pending,,03/04/2018 10:50:37,"Inspiration

Passwords are too complicated. Though we'd never compromise our security for financial accounts and other important systems, the fact is it is _ simply too annoying _ to type in a username and password to play video games or submit your math homework. With facial recognition on the rise as a new form of authentication, we felt it was still a rather exclusive feature - often reserved for expensive phones and laptops. We decided to build Cara - the facial recognition platform for everyone.

What it does

Cara is simple - it's a service that offers a drop-in solution for facial authentication. Any app or website can incorporate Cara into their service with ease - all the difficult bits are abstracted away by the robust yet secure technology hiding behind Cara's servers. The idea is to bring the power of this new technology to everyone - from aspiring startups trying to get their products off the ground to freelance developers looking for a way to differentiate themselves from the crowd. In order to prove Cara's widespread applications, we built a series of demos incorporating Cara in different aspects, proving its worth within the family, the education system, and the industry at large.

Family

Dementia and Alzheimer's are terrible to experience - both as the victim and his/her family. Though Cara can't solve major breakthroughs in medical technology, we can help mitigate the memory-related symptoms of these diseases. Cara can be used on AR devices to help patients of dementia or Alzheimer's remember who they're talking to. With the press of a button, Cara will recognize the person in front of you and pull up helpful information about them - such as their name, the last time you've seen them, and where they work. With the power of technology, we can transform the last moments of our elders into memorable experiences rather than painful ones.

Education

""Can anyone tell me who's absent today?"" - a common question repeated across the world every morning in thousands of high school classrooms, Cara can solve this too. Using a simple camera setup in front of every classroom doorway, taking attendance manually becomes a relic of the past. As students filter into the classroom, all they have to do to be marked ""present"" is to tap a screen and wait to be recognized. However, Cara extends beyond simple attendance taking - with a curious mix of psychology and technology, Cara can recognize the emotions permeating a face. In combination with observing facial angles, Cara makes it possible to tell who's paying attention in class - and how they're feeling about it. Teachers can use this feedback to improve their lessons, as well as watch out for under-performing students.

Industry

Lastly, we decided to tackle a problem in the industry - the slowness of employee clock systems. Swiping a time-card or scanning a tag is boring - facial recognition is cool. With Cara, these systems can be easily replaced to be quick and painless. Times are automatically logged between clock-ins and clock-outs, ensuring the integrity of both employees and managers. 

How we built it

At the core of Cara lies Microsoft's Cognitive Services API, providing quick and secure facial recognition routes. Because no images are ever stored on a server, malicious actors that gain access to Cara's data would only encounter useless strings of letters and numbers that represent faces. Aside from Cognitive Services, our back-end is powered by a single Amazon AWS EC2 instance, while a custom-written hand-made API handles interactions between the user and the authentication services. 

Challenges we ran into

One unique issue we encountered was intercommunication between our servers. For some reason, the way the UC network is built disallowed devices from communicating with each other. In order to mitigate this, we decided to move all of our servers to cloud services - dispersing across AWS and Cloud9. On the development side, our seasoned back-end development time found challenges in designing captivating yet concise user interfaces that maintained their look across multiple devices.

Accomplishments that we're proud of

As a group of friends first and foremost, our proudest accomplishment at any hackathon is working together as a team to get closer to our goal - succeeding together, but also failing together. More than the prizes, it's about pushing technology to its limits while continuing to foster a learning environment for everyone.

What's next for Cara

We feel Cara has a bright future - as facial recognition makes its appearance in top-end technologies like the iPhone X, it's only a matter of time before it appears in more and more areas. We plan to be there - ushering in a new age of biometric authentication for small businesses, huge corporations, solo developers, and your grandmother.
","https://github.com/All-Hackathon-Projects/Cara, https://faceinthe.space",,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack, Best High School Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com","microsoft-cognitive-services, amazon-web-services, node.js, express.js, bootstrap, love",,University of Illinois at Urbana-Champaign,3,860D-1,Adlai E. Stevenson High School,"",""
DrumVR,https://revuc-vii.devpost.com/submissions/89772-drumvr,Submitted (Gallery/Visible),Pending,,03/04/2018 10:51:11,"Inspiration

Drumming is fun

What it does

Allows you to drum even if you don't have drums

How I built it

Unreal Engine

Challenges I ran into

Failing on my original project 18 hours into the hackathon

Accomplishments that I'm proud of

Submitting anyway!

What I learned

It's not about what you made but what you learned!

What's next for DrumVR
","",,"","unreal-engine, c++",,University of Kentucky,0,801G-4,University of Kentucky,"",""
RevUC2018,https://revuc-vii.devpost.com/submissions/89776-revuc2018,Submitted (Gallery/Visible),Pending,,03/04/2018 10:55:56,"RevUC2018 
Code Name: Show Me Your Tunes

The goal was to create a twitter bot that could be tweeted at and return a Spotify playlist. In order to build this we used several APIs to get information between the two. The APIs were for Spotify, Twitter, and we used IBM's Watson to pull keywords from the person who tweeted at the bot.

In addition we have also set up a website to loosely track our progress towards our goal.
",https://github.com/ptallo/RevUC2018,,"Best Useless Hack, Best Domain Name from Domain.com",python,,University of Cincinnati,2,801C-1,Univerisity of Cincinnati,"",""
PhotoArcade,https://revuc-vii.devpost.com/submissions/89777-photoarcade,Submitted (Gallery/Visible),Pending,,03/04/2018 10:56:27,"PhotoArcade

Create old school games using your own photos.

Old school arcade games are awesome, but old school arcade games that use your own photos as maps are even better.

Photo arcade seeks to reproduce the feel retro video games with never ending variation in game-play variation provided by your own photo gallery.

By using python and kivy we aim to reach the widest possible audience. PhotoArcade will be able to run on OS X, Windows, Linux, Android, iOS, and Raspberry Pi.
",https://github.com/gyurgyma/PhotoArcade,,Best Useless Hack,"python, kivy",,University of Cincinnati,3,801A-4,University Of Cincinnati,"",""
Beacon-of-Hope,https://revuc-vii.devpost.com/submissions/89781-beacon-of-hope,Submitted (Gallery/Visible),Pending,,03/04/2018 10:58:33,"Inspiration

We were inspired to help those who face natural distasters.

What it does

It is an emergency tracking system designed to help people during natural disasters to better find help and assist others along the way.

How we built it

We created a database using Firebase to store the data from multiple different client apps. Each client app was programmed using Java and XML in android studio. 

Challenges we ran into

Learning how to implement Firebase into android apps; most of the team had to learn to program in Java and XML since they were used to programming in C++. We also had some problems getting the phone to record the GPS coordinates.

Accomplishments that we're proud of

That we over came our challenges to produce a working product, that works just like we planned. We are proud of the many things that we learned: Java, Javascript, how to use android studio, and how to implement Firebase. 

What we learned

Over the course of a very long night we learned how to integrate Firebase into android studio. After we crossed that hurdle we had to learn to work with Json trees in order to use the database we made with Firebase. We did manage to figure out how to import and export from the data base using Json trees and java objects. We also had a very hard time making the backend to maintain the database. We eventally thought of an out-of-the-box solution to solve the problem: we modified a copy of the client app to fill in for the back end of the server.

What's next for Beacon-of-Hope

We also plan to increase the efficiency of the backend of the database to better cycle out old data so the app can run faster and support more people. We also plan to increase the app versatilty making it more applicable and convenient during high stress situations.
",https://github.com/d3bird/Beacon-of-light,,JP Morgan Chase & Co. - Best Hack for Social Good,"java, javascript, xml, google-maps, firebase",,"Ohio State University, Ohio University - Main Campus",3,801-10,Ohio University,"",""
FluidDB,https://revuc-vii.devpost.com/submissions/89784-fluiddb,Submitted (Gallery/Visible),Pending,,03/04/2018 10:59:21,"FluidDB
",https://github.com/drewrip/FluidDB,,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution, Best High School Hack, 8451 - Make the Customer's Life Easier","c++, python, c, json",,"",0,860D-4,Sycamore High School,"",""
Maxland,https://revuc-vii.devpost.com/submissions/89790-maxland,Submitted (Gallery/Visible),Pending,,03/04/2018 11:05:49,"Cincinnati's a big city, let's fill it with homes

Cincinnati currently has a large homeless while property for sale is pricing out would-be buyers.  This speculation harms all citizens of Cincinnati not showing the beauty and the vibrancy that Cincy has.
Let's solve this issue by bringing communities together and getting them housed. 

What it does

Maxland aims to give suggestions on what type of housing to place on the land in order to maximize residential use of the land.   This will help encourage the developmental use of the land and get more people in homes.  It displays the different types of homes with data points on the map, the value it has, and a suggested housing type improvement.

How we built it

Data:  Foreclosure data, home value data, and neighboorhood data came from Cincinnati's Open Data Hub and Hamilton County auditor's office
Data Science: Data Processing and development are done in Python library Pandas
Hardware: Integration with Amazon Alexa under AWS Lambda for serverless cloud architecture
Visualization: Map visualization was done in the Javascript library Leaflet.js, Javascript
Backend: Backend was done in Firebase

Challenges we ran into

Data integrity: Many datapoints lacked full information and were not in easily accessible locations from the auditor's office, and Cincinnati's Data Hub
Javascript coding: Many of us needed to learn or relearn Javascript and how to best code for it. 
Data integration and rendering: We needed a way to integrate asynchronous data and read files into Javascript and render the data to the map which consumed ample time to do so.

Accomplishments that we're proud of

Sourcing information from various government websites
Data processing and extracting data from auditor's website and Cincinnati's Data Hub using Pandas
Learning and improving on javascript skills
Amazon Alexa integration
Group working skills and project scoping

What we learned

Learned completely new languages: Node.js Javascript
Learned completely new technologies: Amazon Alexa, Firebase, Leaflet.js, Amazon AWS, Amazon Lambda, Pandas
Learned data processing and integration

What's next for Maxland

Integrate Amazon Alexa further into the data
Find the size of land and learn more on how to integrate that information into best recommendations
Bug and code improvement
","https://maxland-a79e2.firebaseapp.com/, https://maxlandcincy.com",https://www.youtube.com/watch?v=0AIlpm4srg8&feature=youtu.be,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack, Best Useless Hack, TCS - Best Hardware Hack, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com","javascript, firebase, amazon-web-services, amazon-alexa, pandas, python, leaflet.js",,"University of Cincinnati, University of Indianapolis, Ohio State University",3,860D-5,"University of Cincinnati, University of Indianapolis, The Ohio State University","",""
BinarySolVR,https://revuc-vii.devpost.com/submissions/89791-binarysolvr,Submitted (Gallery/Visible),Pending,,03/04/2018 11:06:11,"Inspiration : We wanted to make a game that also was able to be used by teachers for testing students.

What it does : It is a game that gives you a decimal number and you then have to change the switches in game to make it into a binary number. There are a total of 5 levels each with randomly generated numbers. Once the final level is beaten the win screen comes up.

How I built it : We built it using Unity & Visual Studio for the coding and logic. And for the trophy at the end and the room in the game we used Blender to create the objects.

Challenges I ran into : No one in our group had used Unity or Blender before and only one of us knew some C# which Unity uses as its coding language.

Accomplishments that I'm proud of : Getting the game working in 24 hours after not knowing how to do anything in unity or blender before we started the project. Getting it working in VR in a very short time.

What I learned : We learned how to use Unity and how to write logic in Unity using C# in Visual Studio.

What's next for BinarySolVR : Give it to teachers so they can have their students work with it and possibly test them using the game.
","",,"Best Education Hack, Best Domain Name from Domain.com","unity, blender, visual-studio",,University of Cincinnati,2,860B-7,University Of Cincinnati,Domain.com,Alienware Laptop and Oculus Rift
DashWall,https://revuc-vii.devpost.com/submissions/89797-dashwall,Submitted (Gallery/Visible),Pending,,03/04/2018 11:16:41,"IWishIWasACyb.org

Inspiration

We've attended hackathons before, but had never used microcontrollers before. We wanted to learn how to use these tools while creating something that we ourselves would use.

What it does

DashWall is a wall display with home diagnostics at-a-glance. It displays the time, and uses its sensors to determine the indoor temperature, sump pump water levels, and changes its brightness depending on ambient light levels.

How we built it

We built DashWall using Windows 10 IoT on a Qualcomm DragonBoard 410c, using a Microchip as a makeshift ADC to interface with our sensors.

Challenges we ran into

We ran into an issue with transferring data from the Microchip to the DragonBoard that remained unsolved for several hours, eventually being solved by the addition of a ground wire between the microcontrollers. This was definitely a lesson we won't forget when using microcontrollers in the future!

Accomplishments that we're proud of

We finished what we outlined in our MVP! Time display and sensor-driven temperature and adaptive brightness!

What we learned

DON'T FORGET THE GROUND.

What's next for DashWall

We're looking forward to integrating more sensors and helpful APIs for things like displaying todo lists and weather forecasts.
","",,"TCS - Best Hardware Hack, Best Domain Name from Domain.com, Best IoT Hack Using a Qualcomm Device","qualcomm, windows-10-iot",,University of Cincinnati,1,801C-5,University of Cincinnati,"","DragonBoard 410C, Grove Starter Kit Components, and Intel Starter Kit Components"
Simply Useless Simple Uses,https://revuc-vii.devpost.com/submissions/89798-simply-useless-simple-uses,Submitted (Gallery/Visible),Pending,,03/04/2018 11:17:05,"Inspiration

We're all three freshmen right now with a growing yet limited knowledge of coding. We wanted to branch out a little bit at RevolutionUC, so we decided that we wanted to take advantage of the 24 hours and learn HTML and website design.

What it does

Our program/website runs a variety of mini-programs that run amusing functions that do absolutely nothing.

How we built it

We started off writing our functions in C++, a language that we are all familiar with, then we researched how we can translate that into JavaScript.

Challenges we ran into

Going into this, none of us knew anything about how to design a website. We struggled with doing simple things and it felt like we were getting hurdle after hurdle thrown at us.

Accomplishments that we're proud of

We're very proud of what we've accomplished here. We have learned the basics of two different new languages that can be used in nearly any future profession.

What we learned

We've learned how to do basics in HTML formatting, JavaScript, and how to style using CSS
",http://simplyuselesssimpleuses.com.s3-website.us-east-2.amazonaws.com/,,"Best Useless Hack, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com","html5, javascript, css",,Ohio University - Main Campus,1,801M-8,Ohio University,AWS and Domain.com,""
