Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Mlh Points,Mlh Hardware Lab
BrainPuddle,https://revolutionuc1.devpost.com/submissions/59302-brainpuddle,Submitted (Gallery/Visible),Pending,,10/09/2016 14:36:58,"BrainPuddle

This is an interpreter for a custom programming language I created, vaguely resembling assembler. 
It uses 3-letter tokens for each command, as well as some parameters.
This code will take an input of a text file containing the source code, and will run the code in a console window.

Commands for this include:

DIM - Create numerical variable
SLC - ""Select"" a variable
SET - Set the selected variable to a value
OUT - Output the selected variable's value
SAY - Output a message to the console
GET - Grab a value from the keyboard, store in selected variable
_IF [EQL/LSS/GRE/DIF] [VAR/NUM] [Parameter] - Executes the following block if the parameter is met
END - Ends an _IF block. _IF blocks can be nested.
LBL - Creates a goto label
JMP - Jump to a label (""goto"")
ARR - Stub for array operations: ex. ""ARR NEW CHAR A"" creates a new char[] named ""A""
... And more.
",https://github.com/vasilescur/BrainPuddle,,"",c++,,Duke University,1,Loveland High School,Dell Monitor and Leap Motion
Hackathon,https://revolutionuc1.devpost.com/submissions/59303-hackathon,Submitted (Gallery/Visible),Pending,,10/09/2016 14:38:17,"Inspiration

It's a fun side scroller for everyone at a hackathon!

What it does

You race against others while avoiding obstacles and hacking obstacles/other players courses to win the race!

How we built it

Built using Javascript and the Crafty.js library

Challenges we ran into

I'm new to Javascript while my partner is a big Javascript fan, so my challenges were learning how to use Javascript as well as the library to create a game image. Another obstacle was the use of socket.io. The game is supposed to use socket.io for networking but we were unable to get it working before time ran out.

Accomplishments that we're proud of

It works!

What we learned

I learned Javascript and how to use the Crafty library somewhat.

What's next for Hackathon

Get it running with socket.io and have a progress bar/ghost racing to see the status of other players. Also implement two hacks to assist the hacker as well as one to attack other racers by messing with their course.
",https://github.com/Migsect/Hackathon,, Best Domain Name (sponsored by Domain.com),"javascript, crafty, socket.io, webpack",,"",0,University of Cincinnati,""
WatsonBot,https://revolutionuc1.devpost.com/submissions/59304-watsonbot,Submitted (Gallery/Visible),Pending,,10/09/2016 14:40:47,"Inspiration

We're the moderators/owners of the Wright State University gaming server, so we use Discord quite a bit. We're moving to an apartment next year and wanted to find a way to integrate Discord into our future home.

What it does

The application we made is an easily expandable framework for using Discord in home automation. Using Watson's natural language processing, we were able to make a user-friendly system for giving Bluemix commands. 

How we built it

We used an existing library to create a Discord bot that polls every message sent in a server for a certain trigger. In this case it was prefacing a message with ""!w"". In the event that such a message exists it gets sent to Bluemix where it is run through Watson's intent recognition service. Upon finding the correct intent of the user, a specific action is completed and a message is returned back to the user on the Discord server.

Challenges we ran into

One of the biggest challenges that we ran into was the fact that neither of us had ever used our respective softwares before. I have a background in Python, but CJ was itching to get the chance to try. I, myself, had never used IBM's Bluemix before, and I don't believe that I would have been able to complete the project without the help from the wonderful people at the IBM booth.

Accomplishments that we're proud of

The fact alone that we completed the project put us far ahead of the last Hackathon we attended. On top of that, we made a service that we will be able to use in the future that nobody else had done before.

What we learned

Each of use learned a ton of information and gained a lot of experience from working with environments that we had never used before. We also learned that there is a specific time around 3:30 am where we become incredibly productive while coding (a la xkcd's https://xkcd.com/323/).

What's next for WatsonBot

We plan on expanding both the amount of features and the functionality of WatsonBot. As it stands, we just have the framework for future use. Once we get our hands on some Phillips HUE light-bulbs and/or a Nest thermostat we'll have the software ready to go for implementation with Discord.
",https://github.com/odevine,,Best use of IBM Watson IoT Bluemix,"python, bluemix, node-red",,Wright State University,1,Wright State University,""
Smart Motion Sensor,https://revolutionuc1.devpost.com/submissions/59307-smart-motion-sensor,Submitted (Gallery/Visible),Pending,,10/09/2016 14:44:50,"Inspiration: learning Raspberry pi for the first time was something that we always wanted to do!

What it does: It senses if someone moves in front of the sensor then takes a picture with an alert msg and send it to a mobile number already defined by the user.

How we built it: Simple as it can be! We used Raspberry pi 3, Bread board, Web cam and Ultrasonic sensor.

Challenges we ran into: A lot from learning how to use Python and how to connect stuff with not much materials provided. Uploading the image to imgur to be used by Twilio was a big big challenge.

Accomplishments that we're proud of: Made something useful out after joining the Hackathon just for Fun! Crazy right!

What we learned: How to use Raspberry pi and Python with Twilio

What's next for Smart Motion Sensor: A lot and a lot and a lot! Adding a touch screen for user to interact with to connect to a wifi and enter the mobile number they want to use. Adding some lights to light red as a sign for children in the house to not answer the bell if someone showed after the user send a sms back saying ""It is not safe"" for example then the system lights red. Facial recognition based on previous faces showed to the camera and saved as a known people.
","",,"Watch DogsÂ® 2 Best Device Privacy Hack, Fifth Third Consumer Challenge Prize",python,,"",1,University of Cincinnati,""
Tilt-VR,https://revolutionuc1.devpost.com/submissions/59308-tilt-vr,Submitted (Gallery/Visible),Pending,,10/09/2016 14:45:14,"Tilt VR was a great learning experience for us all. Going into this hackathon thinking we would be using a Myo, we weren't expecting to walk away with a fully functional game that utilized the technology of the LeapMotion. Having never used hand-capture technology like this before it was exciting to see what new options it opened up for us. The inspiration came from classic skill based puzzle games that we grew up playing like Super Monkey Ball and Wooden Labyrinth. We wanted to see how a game would function if you were the environment instead of the player. We had a lot of fun and we're excited to share what we created!
",https://github.com/Somnacin7/Tilt-VR,https://youtu.be/i2md5j1XYqs,"","c#, unity, leap-motion",,"University of Cincinnati, Otterbein University",3,"University of Cincinnati, Otterbein University",Oculus Rift and Leap Motion
vr Alone,https://revolutionuc1.devpost.com/submissions/59309-vr-alone,Submitted (Gallery/Visible),Pending,,10/09/2016 14:46:19,"I like VR and want to make a game on the platform.
",http://www.vralone.co,,"","html, css, javascript, a-frames",,Univesity of Cincinnati,0,University of Cincinnati,Samsung Gear VR
Meme Stock Market,https://revolutionuc1.devpost.com/submissions/59310-meme-stock-market,Submitted (Gallery/Visible),Pending,,10/09/2016 14:46:42,"Meme Market 2016

Project built for Revolution UC Hackathon 2016

Andrew Brooke, Colton Crouch, Matt Jeffers, Caleb Adcock

What we used

AngularJS, NodeJS (Express), Firebase

How to install


npm install
bower install in public/
npm start
Goto: http://localhost:8080/
Enjoy!

",https://github.com/andrewbrooke/meme-market,,"","angular.js, node.js, firebase, express.js",,"",1,University of Cincinnati,""
UC Monopoly,https://revolutionuc1.devpost.com/submissions/59311-uc-monopoly,Submitted (Gallery/Visible),Pending,,10/09/2016 14:47:19,"Inspiration

We wanted to try something new. None of us have written a simple 2D game, none the less, we decided to learn the Babylon 3D javascript engine in 24 hours, along with modeling meshes in Blender.

What it does

We couldn't fit all the features of Monopoly in our time frame, but you can buy and pay rent on other property and you can go to jail. We spent a lot of time working on our meshes and 3D modeling and we are proud on how it came out. 

How I built it

This was built using open web technologies, allowing it to be cross-platform. It can even be used on phones and televisions. 

Challenges I ran into

We had to learn 3D modeling from scratch and using a whole new framework for rendering so that was tough. 

Accomplishments that I'm proud of

It was so beautiful that BearcatSnaps featured us on their Snapchat story. The 3D environment is fun to play with, 

What I learned

I learned to not focus on networking before you have the core game mechanics worked out, I spent a long time trying to work on both the game mechanics and networking, which just caused confusion the entire time and required me to scrape the networking code. 

What's next for UC Monopoly

Including the rest of Monopoly game mechanics. We tried implementing web sockets to allow for using a smart TV or computer monitor as the display for the game board and using mobile phones as the controller, allowing the whole family to gather around and enjoy the game, and letting you manage your property's while it is someone elses turn allowing the game to go faster.
","https://github.com/isiah-lloyd/RevUC-CincinnatiMonopoly, http://isiah.me/revUC",,"","javascript, webgl, canvas, html5, babyloon-js",,University of Cincinnati,0,University Of Cincinnati,""
Savor,https://revolutionuc1.devpost.com/submissions/59313-savor,Submitted (Gallery/Visible),Pending,,10/09/2016 14:50:30,"Inspiration

reduce wastage of food and we can utilize that to feed the needy.

What it does

It connects people who have surplus amount of food to the people who has shortage of food.

How we built it

We built and an Android Application in Android Studio using as google's firebase as a backend.

Challenges we ran into

Integrate firebase in the android application.

Accomplishments that we're proud of

We have completed a basic android application which can start serving its purpose. 

What we learned

Google's firebase integration with android. 

What's next for Savor

Make it available for multiple platform, and add new features.
",https://github.com/anuj4994/savor.git,,"","android, android-studio, firebase",,University of Cincinnati,3,University of Cincinnati,""
vinylb.org,https://revolutionuc1.devpost.com/submissions/59314-vinylb-org,Submitted (Gallery/Visible),Pending,,10/09/2016 14:51:41,"vinylb.org

Rails-based personal vinyl library manager
",https://github.com/Thing342/vinylb.org,,"","ruby, html, css, javascript, coffeescript, typescript, ruby-on-rails, sqlite",,"",0,Virginia Tech,""
UCwhatIdidThere,https://revolutionuc1.devpost.com/submissions/59315-ucwhatididthere,Submitted (Gallery/Visible),Pending,,10/09/2016 14:53:14,"Inspiration

We wanted to create a ""passport"" to encourage people to explore the new places around them. Our vision is an app where users can scan NFC tags around town to learn about and collect locations so users can reflect on, as well as show off, what they have done.

What it does

This app and API enable users to explore new places around them and show it off to others. By using UCwhatIdidThere, city officials can encourage visitors and residents alike to explore and learn about the city. 

While we initially imagined this for city tourism, this could also have applications for universities and large events. Tags could be placed in key locations that users scan and receive important information. For instant freshman and transfer students new to a school can scan tags to learn about the university around them. Or new attendees of hackathons can scan tags placed strategically around a hackathon to learn more about the hackathon cultrue, devpost links, mentors available, etc.

How we built it

Using Node.js we built an API that allows for expansion into platforms beyond just android. One such example is iOS, which doesn't allow devlopers to use NFC. An alternative will be QR codes that store the same information as the NFC tags, requiring no changes on the backend. 

We also build native android app that allows Android users to collect and interact without tags. Users can login and check their collection of tags and scan new tags that they come across. For future development we hope to give users more way to interact with each other via the tags such as sharing their collection via social media or adding the ability to leave a message at a location.

Challenges we ran into

Having only one experienced coder slowed our process. We had some expansions we wanted to add, but didn't have the time.

Accomplishments that we're proud of

The less experiecne hackers gained a lot of expericene while working on this project. One memeber in particlular was able to implement the backend that we use to transfer information.

What we learned

Of the three members, only one had any real coding experience. Tyler worked on devlopoing the his first ever API using Node.js and Express.js, while Cullen worked on the android app. Sam helped both of them with questions and troubleshooting. 

What's next for UCwhatIdidThere

We plan on adding a admin application to allow users and businesses to create their tags and add it to our network. We also plan on adding more features to make our app more user friendly and to provide our users a robust and fun experience. UC there is a lot we can do with this application.
",https://github.com/thault/UCwhatIdidThere,,Best use of Amazon Web Services,"node.js, express.js, java, android, amazon-web-services",,University of Louisville,1,University of Louisville,Dell Monitor
Meme Me!,https://revolutionuc1.devpost.com/submissions/59316-meme-me,Submitted (Gallery/Visible),Pending,,10/09/2016 14:53:54,"Inspiration

Allowing students to explore their inner self by utilizing an emotional sympathizing software that perpetuates a journey of self discovery.

What it does

It uses facial recognition software (Affectiva) to detect emotions. Using that information, the Meme Me! generates a unique meme with you-- unlike any others out there.

How we built it

We used SDKs bundled with custom HTML, Javascript, and CSS. Node.JS was also used on the server side/backend.

Challenges we ran into

The formalities of Javascript made it flexible to use, but also made it difficult to find minor syntax errors. Much time was spent searching for ""Unnecessary tokens"" and ""Uncaught type errors"". Also, SDKs were relatively new for us, so we spent a lot of time learning about that. Brainstorming an innovative idea proved difficult at the beginning as well.

Accomplishments that we're proud of

-Successfully used a facial recognition software
-Able to understand much of the SDK logic/flow
-Circumventing problems (ie. used phone as webcam b/c monitor didn't have one; used node.JS when secure server error kept popping up; eliminated interrupting code)

What we learned

-Time management (especially sleep!)
-Teamwork
-Problem solving

What's next for Meme Me!

-Making it into a real website
-More meme texts
-Direct export to social media websites
-Making it available on other platforms
","",,"","javascript, css3, html5, sdk, jquery, bootstrap, node.js",,Skidmore College,0,"Dater HS, Mason HS",""
