Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Is Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab
GUI-game-Nim,https://revuc-viii.devpost.com/submissions/114698-gui-game-nim,Submitted (Gallery/Visible),Pending,,03/03/2019 09:51:30,"GUI-game

Creating Gui game
 RevolutionUC: Game of Nim 

 Authors 
â€¢ May Jue
â€¢ Eleni Lazaridou

See also the list of contributors who participated in this project.
Description of Nim
The game of Nim is a two player strategical game. The game has a pile of a specific object. Each player take turns and remover a number of objects. The purpose of the game is for one player to get the last one. 
Getting Started
The user plays against the computer in a Tkinter environment. The computer uses mathematical logic in order to win. The players should make wise decisions, as they have the benefit of always start first. 
",https://github.com/MayJue/GUI-game,,"",python,,Berea College,1,860D-1,Berea College,"",""
Useless Unity,https://revuc-viii.devpost.com/submissions/114735-useless-unity,Submitted (Gallery/Visible),Pending,,03/03/2019 09:59:33,"Inspiration

I've wanted to learn a game engine for a while, and when I saw the hardware table I wanted to try to play around with some sort of VR

What it does

Displays trees in an enclosed space through a VR headset where you can (hopefully) move around in it

How I built it

Unity Game Engine

Challenges I ran into

Getting the VR headset to work the way I wanted it to and starting the entire learning process from scratch

Accomplishments that I'm proud of

Making trees and doing something outside my comfort zone

What I learned

A little C#, how to use Unity, and a little on how to use the Oculus Gear

What's next for Useless Unity

Getting everything to work properly and maybe adding something other than trees
","",,Best Useless Hack,"unity, c#, oculus-gear-vr",,Miami University,0,860D-7,Miami University,Oculus Rift,""
BLE Kindergarten Kop,https://revuc-viii.devpost.com/submissions/114753-ble-kindergarten-kop,Submitted (Gallery/Visible),Pending,,03/03/2019 10:08:24,"Inspiration



What it does



How we built it



Challenges we ran into



Accomplishments that we're proud of



What we learned



What's next for BLE Kindergarten Kop


",http://aibigdataminingarquantumiotbiometricmachinelearning3dblockchainsynergyalgorithm.com,," Best IoT Hack using a Qualcomm Device (MLH),  Best Domain Registered with Domain.com (MLH), Best Design, Best Hardware Hack, Best Undergrad Hack (Undergrad Research), Best Hack for Social Good (JP Morgan Chase & Co), Best Use of Twilio","bluetooth, python, linux, qualcomm-dragonboard-410c, arduino, raspberry-pi",,"University of Louisville, University of Cincinnati",4,860D-5,"University of Louisville, University of Cincinnati",Arduino 101 and DragonBoard 410C,""
Revolutionizing Image Recognition,https://revuc-viii.devpost.com/submissions/114754-revolutionizing-image-recognition,Submitted (Gallery/Visible),Pending,,03/03/2019 10:09:08,"Inspiration

Hololens, AI, Image learning

What it does

Uses data, and adds stock data which will be combined with other databases such as recipes, aisle locations, pinging store clerks for help. Improves customer experience, produces ads based on items sold and ordered in different store locations and areas 

How we built it

Using unity, android studio, visual studio code

Challenges we ran into

Combining the UI to the backend code, trying to combine our works

Accomplishments that we're proud of

Image recognition and QR code connected to a database made by referencing 84.51 database

What we learned

Unity, C#, Python, Java, Android Studio, Visual Studio, Dart and Flutter

What's next for Revolutionizing Image Recognition

Store scanners/cameras, drones, efficient stocking and use of data applied to customers' experience
",https://github.com/JuntaoDong/RevolutionUC_2019,,Make the Customer's Life Easier (84.51),"ishan, puran",,University of Cincinnati,2,801-9,University of Cincinnati,"",""
Store Alerting System,https://revuc-viii.devpost.com/submissions/114756-store-alerting-system,Submitted (Gallery/Visible),Pending,,03/03/2019 10:12:51,"Inspiration

Making customer service better. 
Detects objects and alerts the workers by beeping  buzzer and flashing an LED light signal when the inventory is out of stock. 

How I built it

We used Dragon Board 410 by Qualcom. We installed arduino through linux on the board. Then we started writing our code. Made connections of the sensors and other peripherals and just uploaded the code on the board.

Challenges I ran into

We had no clue how to operate Qualcom Dragon board, it also kept dying on us. Libraries were not working, we had to write code on a small keyboard.  Moreover, we had to try many trial and error based approaches to figure out the correct position for sensor to work desirably.

Accomplishments that I'm proud of

We are so proud that we all met as a team, most of us even had no clue of any hardware technology, let alone be a challenge of figuring out Dragon board to serve the purpose. We are really proud despite many obstacles we are able to finish our product and learnt so much from this experience.

What I learned

We learnt how to operate Dragon Board, use linux, and arduino IDE .

What's next for Alerting System

We are thinking of adding more functionality to it to send text alerts on phone or another peripheral device rather than than using buzzer or LED light. We are thinking of using Twilio's API for that purpose.
","",," Best IoT Hack using a Qualcomm Device (MLH),  Best Domain Registered with Domain.com (MLH), Best Design, Best Hardware Hack, Best High School Hack, Best Useless Hack, Make the Customer's Life Easier (84.51), Most Innovative Hack(TCS)",dragon-board,,"The University of Toledo, University of Cincinnati",2,801-12,"The University of Toledo, University of Cincinatti",DragonBoard 410C,Qualcomm
ScanAway,https://revuc-viii.devpost.com/submissions/114758-scanaway,Submitted (Gallery/Visible),Pending,,03/03/2019 10:15:49,"Inspiration

How many times have you wondered in your workspace,
 ""Why is so cold in here?"" or 
""It's so late in the night. Why are the lights still on?"" or
""I wish the washroom trash was not overflowing""

At all these instances, you would have wanted to tell someone the issue you face. We know we have.

So we built an app to do exactly that.

What it does

This App is called ScanAway. 

 The Icon of the App is the QR code for GO-BEARCATS #Interesting Fact  

Based on a location and type of place, a QR Code is generated for a given location. 
The app scans the QR Code and allows you to inform the administrators about common energy issues you face.

We have extended this app to include reporting issued faced in a restroom as well.

How We built it

It is an Android Application with a Flask server deployed on GCP's App Engine and GCP's SQL datastore.

Challenges we ran into

A significant time was spent bouncing between ideas and brainstorming before we settled on this one.
Debugging Database connection errors and configurations, especially while running the server on localhost.

Accomplishments that we're proud of

Being able to build and deploy an application in a short amount of time available.

What we learned

Learned to make an Android App.
Building a Flask app and deploying it on App Engine.

What's next for ScanAway

Data Visualization from collected data to make it easy for reducing the complaints and to spot patterns
Badges of recognition for students who are responsible enough to report the issues on a regular basis.
",https://github.com/PriyaKolliC/Bearcat,,"Best Use of Google Cloud Platform (MLH), Best Design, Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co), Most Innovative Hack(TCS)","android-studio, google-cloud, flask, java, android",,"University of Cincinnati, Unversity Of Cincinnati, University of Illinois at Chicago",3,801M-3,"University of Cincinnati; University Of Illinois,Chicago","",Google Cloud Platform
Java Raycasting Engine,https://revuc-viii.devpost.com/submissions/114762-java-raycasting-engine,Submitted (Gallery/Visible),Pending,,03/03/2019 10:23:39,"Inspiration

Wanted to create a three dimensional game from scratch and learn how basic 3d graphics worked.

What it does

Simulates 2d scene and raycasts from the player/camera over many angles in their field of view. Uses the distances from the player to determine how tall the wall should be at that x-coordinate.

How we built it

Created two iterations of the program in order to make it faster and condense multiple classes together.

Challenges we ran into

Some walls continue infinitely while others are cut short. Movement behaves unpredictably when player's coordinates are outside of the first quadrant. Finding a way to represent the map in a way that is understood by the program was difficult. The camera has a constant fish eye distortion. 

Accomplishments that we're proud of

Extremely lightweight with 235 lines of code.

What we learned

Basics of raycasting. Recursive flood fill algorithms (in first iteration). Implementation of key listeners in java. Integrating many classes together (in first iteration). 

What's next for Java Raycasting Engine

Fix fisheye distortion, input issues, and wall rendering issues. Add gameplay mechanics to the engine. 
","",,Best Useless Hack,java,,University of Toledo,2,801M-6,University of Toledo (x3),"",""
slimeboy,https://revuc-viii.devpost.com/submissions/114765-slimeboy,Submitted (Gallery/Visible),Pending,,03/03/2019 10:36:45,"Inspiration

slime

What it does

you play as a slime character, you gotta defeat the bad guys, it's a video game

How we built it

game maker 2!!

Challenges we ran into

lots!! coding is hard

Accomplishments that we're proud of

the game!

What we learned

game make 2!!

What's next for slimeboy

gotta finish it honestly
","",,"Best Design, Best Useless Hack, Best Hack for Social Good (JP Morgan Chase & Co)","",,Kent State University,1,801-18,Kent State University,"",""
Vimana Sahai,https://revuc-viii.devpost.com/submissions/114778-vimana-sahai,Submitted (Gallery/Visible),Pending,,03/03/2019 10:54:51,"Inspiration

Being an avid traveller myself and traveling to around 50 countries, I have experienced how airports of major cities work. A major problem that I faced was that it was so crowded that I cannot find my way through the airport. This idea was born out of this problem.

What it does

It is an AI bot which asks about your route and then updates you about the directions to your boarding gate. You can also ask any questions you want about the airport and the AI acts as a companion during the trip, You can use the bot to get information about delays in the flight, changes with the boarding gates and also more information about food and duty free.

How I built it

I used Recast.ai as it is a better tool for conversational AI and using this approach to solve the problem will be a better idea. 

Challenges I ran into

The workflow of the AI was a challenge as I had to make the AI understand what the user will say and it is unexpected 
for us what and how the user will approach the AI.

Accomplishments that I'm proud of

The bot can understand between different cities and also tell the user if it needs more information. The AI can distinguish between different airlines and airports.

What I learned

What I learned was how we can train the AI in such a way that we can use it for other purposes such as making it understand that different airlines can go to the same airport.

What's next for Vimana Sahai

To work on more features for the app.
",https://amritshenava98.github.io/vimanasahai/,,"Best Aviation Hack (GE Aviation), Best Hack for Social Good (JP Morgan Chase & Co)","recast.ai, html, javascript",,Kent State University,0,801-18,Kent State University,"",""
ZeroTrace,https://revuc-viii.devpost.com/submissions/114789-zerotrace,Submitted (Gallery/Visible),Pending,,03/03/2019 10:58:18,"Inspiration

I like the features of SnapChat, but I don't like how bulky its gotten or the fact that service operates using centralized servers that could be doing who-knows-what with my data.

What it does

This hack is a simple p2p chat app built upon the IPFS framework. Anyone with the project can communicate with other users in the same chat room, regardless of location or device. 

How I built it

First I built it using nodejs and ngrok, then I used browserify to compile the JavaScript so that I could run server-side script in the clients browser. Once I had a decent program, I migrated the project to an electron app so that it could be distributed as a cross-platform executable.(It behaves the same in browser and on the desktop.)

Challenges I ran into

I had trouble with styling the app so that it looked nice. It still doesn't look nice. I did not implement the more complex features such as direct messaging and custom aliasing.

Accomplishments that I'm proud of

This project is actually my senior project for my CS major. I started from scratch and I've gotten more accomplished at this hackathon than I have in 8 weeks of my Senior Projects course.

What I learned

I learned more about the IPFS network, how to add content to IPFS so that it can be accessed outside of a local network. I learned more about programming in pure Javascript and CSS styling.

What's next for ZeroTrace

I would like to add features such as a custom human-readable alias associated with each user in the room, direct messaging between users, the ability to save individual messages by each user (a feature of SnapChat) and the ability to send multimedia messages. The end goal would be to have a SnapChat like app that is usable enough that I could share it with my friends and communicate with them on this instead. There would also be the need for security and the ability to prove identity, which should go hand in hand. I would also want to host the project on a human readable website, powered by IPFS. 
",https://github.com/davisv7/ZeroTrace,," Best IoT Hack using a Qualcomm Device (MLH), Best Undergrad Hack (Undergrad Research), Most Innovative Hack(TCS)","javascript, node.js, html5, ipfs, electron",,"",0,860D-3,Berea College,DragonBoard 410C,""
Lilâ€™ Drone,https://revuc-viii.devpost.com/submissions/114796-lil-drone,Submitted (Gallery/Visible),Pending,,03/03/2019 11:00:00,"Inspiration

Twilio demonstration at the opening ceremony.

What it does

Our drone can fly through text commands, sent to a Twilio.

How we built it

We used a raspberry pi to communicate with an Arduino that would communicate with the drone using python and interpret the commands to tell the drone how to fly. After we could establish a connection between the two we then need to create the commands that the drone could interpret to distances and use to tell the drone which attributes to use(ex: throttle, pitch, yaw, and roll)

Challenges we ran into

The biggest challenge we faced was getting the Arduino and raspberry pi to communicate. Apparently it has never been done before or so the lack of resource online lead us to believe so. Thus we have had to code and troubleshoot little by little using our best knowledge of how we could get the numbers to convert correctly and how to get the Arduino to receive what we wanted from the python. 

Accomplishments that we're proud of


Not Pulling our hair out during this Hackathon. 
## What we learned
Not every member of a team has to be great at coding in order to have a successful Hackathon.
## What's next for Lilâ€™ Drone
Speech to Text Recognition to allow Phone Call Speech Commands

","",,"Best Hardware Hack, Best Useless Hack, Best Aviation Hack (GE Aviation), Best Use of Twilio, Most Innovative Hack(TCS)","raspberry-pi, arduino, betaflight",,University of Cincinnati,3,801c-2,UC,"",""
MEME,https://revuc-viii.devpost.com/submissions/114798-meme,Submitted (Gallery/Visible),Pending,,03/03/2019 11:03:30,"Inspiration

Connor had an idea and we decided it sounded fun.

What it does

Created to give a haunting feeling as you waltz through a dystopian cityscape being attacked by suspicious figures. Defend yourself as you make your way to the mastermind of this invasion!

How we built it

We used unity to make the project. We also used ableton studio for original music.

Challenges we ran into

Working with unity was actually very intuitive. There were some challenging moments, like getting the health bar to function properly, but we pushed our way through.

Accomplishments that we're proud of

We made our first 3D game that's actually functional within 24 hours. Also, raycast shooting.

What we learned

We learned everything we know about unity from this weekend. Two of us have some 2D game making experience with Gamemaker Studio, but this was our first time with unity and our first 3D game.

What's next for MEME

We plan to build it and release it for free.
",https://github.com/jib9001/MEME,https://youtu.be/kFRD8Ws2dOg,Best Useless Hack,"unity, c#, ableton",,Northern Kentucky University,2,801M-1,Northern Kentucky University,"",""
SnapShop,https://revuc-viii.devpost.com/submissions/114799-snapshop,Submitted (Gallery/Visible),Pending,,03/03/2019 11:05:05,"Inspiration

// Duh

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for SnapShop
","",,"","django, flutter",,Purdue University,0,860B-1,Purdue,"",""
Punderwhelming.com,https://revuc-viii.devpost.com/submissions/114803-punderwhelming-com,Submitted (Gallery/Visible),Pending,,03/03/2019 11:07:54,"Inspiration

We got here, we didn't know what we wanted to do and were unprepared before hand, so we picked something near and dear to our hearts, which was memes. Unfortunately, meme auto generation is difficult, so we settled with puns.

What it does

It uses a Markov predictability to break up sentences and mangle them back into ""sentences"". There is a pun generator button, an Markov ""enhanced"" generator button, and a Markov ""enhanced"" Bee Movie quote generator button.

How we built it

We built the website using C++, JavaScript, and the Wix Editor.

Challenges we ran into

Meme auto generation is hard. Sentence structure is hard. Servers on Google Cloud Platform are hard. Anything with Domain.com is really hard/expensive.

Accomplishments that we're proud of

Our artiste, Ethan Craig, who also does portraits in MS Paint for free (but only for the first one).

What we learned

Meme auto generation is hard. Sentence structure is hard. Servers on Google Cloud Platform are hard. Anything with Domain.com is really hard/expensive. Humor is not copy-paste. JavaScript is nifty. PHP is weird. Free doesn't necessarily mean free. Google Cloud Platform is really forgiving.

What's next for Punderwhelming

Homophone pun generation using things that work. Maybe.
",https://huffsbus14.wixsite.com/punderwhelming,,"Best Useless Hack, Best Undergrad Hack (Undergrad Research), Most Innovative Hack(TCS)","website, wix, javascript, c++, technical-institute-of-wikipedia",,"Ohio Northern University, University of Cincinnati, University of Cincinnati Clermont College",3,801M-4,"Ohio Northern University, University of Cincinnati, University of Cincinnati, University of Cincinnati","",""
Rejuvenating Recipes ,https://revuc-viii.devpost.com/submissions/114804-rejuvenating-recipes,Submitted (Gallery/Visible),Pending,,03/03/2019 11:07:56,"Inspiration

We've always found the intersection of health and technology to be fascinating, so we wanted to explore the very boundaries of it, and create an app that improves peoples health. This was all the inspiration we needed!  

What it does

We take data from health sources, community members, and machine learning and apply this towards a suggestion model that can help predict what foods/recipes can best help you feel better!

How we built it

We made use of lots of web technologies like flask, requests, etc. We also used allot of python to create our own API for getting our web data we used during the project. Vue.js was used in this project to create the entire front end, and mobile apps for iOS and Android have been made!

Challenges we ran into

We had challenges with gathering the data/putting it together with the correct relationships. Data science is an amazing platform that we have not worked with in the past but we were excited to work with it this time around!

Accomplishments that we're proud of

We accomplished a fully working demo with a working database, web app, mobile apps. And we learned allot of new technologies in the meantime!

What we learned

We learned allot of data science and how you can apply that into a software application. We also learned about how to program a dynamic front end with Vue.js. Working with swift was out of our experience, but we were excited to have it running on the iOS platform. 

What's next for Rejuvenating Recipes

The next things for our project would be to include a better machine learning model, one that is trained with highly confident data, and could better serve those who used the app. 
","",,"Best Use of Google Cloud Platform (MLH), Best Design, Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co)","json, vue, swift, java, flask, requests, firebase, google-cloud, database, docker, kubernetes, bootstrap, apache, api, nginx",,"Unversity Of Cincinnati, University of Cincinnati",3,801B-5,University of Cincinnati,"",""
Cover Art Mosaic,https://revuc-viii.devpost.com/submissions/114806-cover-art-mosaic,Submitted (Gallery/Visible),Pending,,03/03/2019 11:13:47,"Inspiration

I came to this hackathon not knowing what exactly to make, only that I wanted to use the Spotify API and some kind of image processing with OpenCV. What I ended up producing is more of an art project, the finds the average color of a chunk of pixels, and finds the closest match in a local repository of album art to make a pretty mosaic!

Process

I ended up downloading the album art from musicbrainz, an online database of all things music (song titles, years, metadata, etc.). This is taking up about 500MB or half a gigabyte of data on my computer. Storing the images this way is much better for speed and making less API calls when the script is running. 
Because this image processing app is running on a few year old laptop, I had to think a lot about efficiency and storing things in sensible ways. This also included cleaning data with Powershell scripts, running tens of command prompts running a python script at the same time with a batch file. 

Problems

The ""official"" python API implementation listed on Spotify's website was very outdated, and the API itself has changed so that this library doesn't work. I ended up finding an open source, and well-kept Python web API for Spotify that worked great. 
Since I'm running an image processing app, it's fairly computing intensive. Being that this is running and crunching a lot of numbers, I have to limit the resolution that I can make the mosaic out of, and it still takes a good amount of time to run.
",https://github.com/mattertater/album-art-collage,,"Best Design, Best Useless Hack","python, opencv, spotify, musicbrainz, powershell, batch",,The University of Akron,0,801-14,The University of Akron,"",""
"Snap, Paper, Scissors!",https://revuc-viii.devpost.com/submissions/114807-snap-paper-scissors,Submitted (Gallery/Visible),Pending,,03/03/2019 11:15:47,"Inspiration

If you ever needed to settle a dispute, like who will take out the garbage or what language should we code in, then you probably played rock-paper-scissors.  If there is a dispute in your SnapChat group chat, then Snap, Paper, Scissors! is for you!

What it does

This is a web-based app that plays rock paper scissors against an opponent.  The game keeps score of the wins and losses for each player and displays them in the scoreboard.  You can log in with your SnapChat and play with your friends.

How I built it

Snap, Paper, Scissors! is built using HTML and Javascript.  With the integration of SnapKit's Web SDK, players can against their SnapChat friends.

Challenges I ran into

Many challenges hindered the progress of the application, including typos in file names and incompatible image types.  I am used to programming in Notepad++, but for this project decided to switch to the atom IDE for all HTML, CSS, and Javascript files.  The SnapKit SDK would be blocked by the network's firewall that prevented testing on the login for SnapChat users.

Accomplishments that I'm proud of

I am proud of the UI and backend script.  It was a challenge to try to program a beautiful user interface (while I'm not a graphics designer) and the backend programming is not my strength either.  I am proud that I was able to develop the UI.

What I learned

I learned how to use the atom IDE to create web apps and script files.  I also learned how to code the logic for a rock-paper-scissors game.

What's next for Snap, Paper, Scissors!

We hope to make the web app mobile friendly and integrate the SnapKit to be used in SnapChat group chats.
",https://github.com/CringeCoder/Snap-paper-scissors,,"Best Use of Snapkit (MLH), Best Design","html5, css3, javascript, snapchat, snapkit",,Lawrence Technological University,2,860D-4,Lawrence Technological University,"",""
Codan the Programming Barbarian,https://revuc-viii.devpost.com/submissions/114809-codan-the-programming-barbarian,Submitted (Gallery/Visible),Pending,,03/03/2019 11:20:34,"Codan the Programming Barbarian is a game that a few of us have wanted to make after John first came up with it. We made this game mostly for experience, none of us had much experience in game development, and Unity made our first experience fairly painless. While we faced many challenges, I couldn't imagine trying to learn a new language too. We all use C# in our classes, so C# being offered with Unity is a big bonus.

Codan is a WebGL game, which can easily be ported to a standalone app, Windows Store app, Mobile app, or anything else that Unity Supports. We attempted to host our project on our website domain we got from domains.com, but ran into many many issues. This was unfortunate, we were proud of the domain www.codanbarbarian.net. But we were focused on a web game and managed to use UCFilespace for the project.
",http://homepages.uc.edu/~godseyte/Codan/index.html,,"Best Use of Google Cloud Platform (MLH),  Best Domain Registered with Domain.com (MLH), Best Design, Best Useless Hack, Best Undergrad Hack (Undergrad Research)","unity, c#",,University of Cincinnati Clermont College,3,801M-1,University of Cincinnati Clermont,"",""
FastCheckOut,https://revuc-viii.devpost.com/submissions/114811-fastcheckout,Submitted (Gallery/Visible),Pending,,03/03/2019 11:23:47,"Inspiration

Waiting in long queues at grocery shops really suck! Isn't there something we can do about it?

What it does

Our app gives user faster checkout options when shopping in-store. This application retains the fun of shopping in-store with the fast checkout convenience of online shopping.
When you are shopping for items, you can right away scan those and add them to your cart. After completing the cart, the app generate a QRCode for you. You can directly scan it at the POS to enable payment.
Our app provides ease of use, as it does not require login or other hassles of adding items manually.

How we built it

We built a super cool fast android application that uses barcode scanner on your android mobile application

Challenges we ran into

Running Android Studio and doing the initial configurations for doing the development, working with a lot of libraries for the QR Reader.

Accomplishments that we're proud of

We completed a fully functional mobile app, starting with absolutely 0 knowledge in android development. Kudos to us!!

What we learned

No one in our team had built a mobile app before, or even attended a hackathon. From brainstorming ideas to asking the mentors on what ide to download, we have learnt a lot in the last 24 hours.

What's next for FastCheckOut

Integrating it with the huge Kroger data, bringing in the functionalities for Kroger Card members and going big!
","https://github.com/prasadrane/Rev_UC, https://github.com/prasadrane/Rev_UC_POS",,"","java, android-studio",,University of Cincinnati,2,860B-3,University of Cincinnati,"",""
cinGUI,https://revuc-viii.devpost.com/submissions/114812-cingui,Submitted (Gallery/Visible),Pending,,03/03/2019 11:24:05,"This program is cinGUI, an application designed to act as a mixture between a terminal and GUI by utilizing the curses library. The goal behind its development was to provide a tool for network administrators and programmers who may be restricted to only terminal use (whether due to SSH'ing into Linux machines or running in a command line only OS) to have a way to graphically represent data. The program can act almost exactly like a regular terminal could with additional features such as being able to make custom commands and functions for quick and easy access to repeatable tasks.
We created a program that took over the console window, redrawing every aspect of it while keeping the same functionality of the console. It can perform any console command including executing other programs. What was different our program and the console was that our program allowed live on the spot scripting allowing the user to increase their work efficiency. 
This project was a major learning experience for everyone on the team. At the time of creating the program, Chandler was only 5 weeks into an Intro to C++ class, so he experimented with reading data in from files, vectors, and cementing his mastery with arrays. He made the first sample file to test cinGUI and to demo, Austin oversaw figuring out how to make a C++ program start and run a separate, different program. With this, he ended up learning about parallel computing and race conditions which he wouldn't get to in his classes until a year after by the time of writing the program. Scott oversaw getting the GUI elements of the program to function and setting up the piping network. In the process, he learned how to implement the curses library, set up pipeline networks, and forking files.
",https://github.com/d3bird/RevolutionHackathon,,"Best Design, Most Innovative Hack(TCS)","c++, makefile",,"Ohio State University, Ohio University - Main Campus",2,801A-3,ohio university,"",""
SQRL,https://revuc-viii.devpost.com/submissions/114814-sqrl,Submitted (Gallery/Visible),Pending,,03/03/2019 11:27:35,"SQRL

Hackathon 2019 revolutionuc
",https://github.com/56kyle/SQRL,,"Best Use of Google Cloud Platform (MLH), Best Design, Best Useless Hack, Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co), Best Use of Twilio","python, css, html, google-spreadsheets, google-cloud, google-app-engine, flask, jinja",,University of Cincinnati,1,860D-4,University of Cincinnati,Muse Headband,Google Cloud Platform
Polyfy,https://revuc-viii.devpost.com/submissions/114818-polyfy,Submitted (Gallery/Visible),Pending,,03/03/2019 11:37:53,"Inspiration

Creating a unique piece of art for people that want a different perspective on art.

What it does

Creates low poly art from images and in real-time by video using Delaunay triangulation andFeatures from accelerated segment test (FAST)

How we built it

Javascript and using delaunator.

Challenges we ran into

Figuring out the math required to create the polygons.

Accomplishments that we're proud of

Creating the art in real-time.

What we learned

How we can further advance the art world by creating a more abstract version of art.

What's next for Polyfy

Extracting the image of someones face and only applying our application to the face.

Related articles

https://en.wikipedia.org/wiki/Delaunay_triangulation

https://en.wikipedia.org/wiki/Features_from_accelerated_segment_test
",https://github.com/ChrisDesigns/polyfy,,"","javascript, delaunator, phoboslab",,"Columbus State Community College, Kent State University",2,801-17,Kent State University,"",""
Stand Up,https://revuc-viii.devpost.com/submissions/114819-stand-up,Submitted (Gallery/Visible),Pending,,03/03/2019 11:37:58,"Inspiration:

Throughout high school, I volunteered for a zoo for 4 years and I became passionate about conservation issues. Because of this, I am now a Communication major focusing on Public Relations because I loved talking to people about these issues. My life goal is to work for a company like World Wildlife Fund doing public relations. Having this background of caring for the environment, I like knowing that the products I am buying are as environmentally friendly as possible. That's where I got the idea for this app.

What it does:

This app scans the barcodes of products (currently only food- want to expand it to all other products as well) and tells you if that product does something good for the environment! Currently, it can tell you if the product uses sustainable palm oil, if it's vegan, if it the company has some sort of recycling plan, and if they do not use sustainable palm oil. 

How I built it:

I built this with android studio, java, an API called Nutritionix, and lots of tutorials!

Challenges I ran into:

I ran into lots of challenges trying to understand what different errors meant and how I should fix them. I also had a hard time understanding most of the things I was seeing in the tutorials because I have never done this before! 

Accomplishments that I'm proud of:

I'm proud because I have never coded anything before in my life. I've never looked at android studio or code before this hackathon! A few days before I downloaded android studio but I didn't have any time to really check it out before! 

What I learned:

I learned so much! I learned how android studio works and where different things go.  

What's next for Stand Up:

I would love to expand the scanning feature to all products so that while someone is walking through the store they can scan anything and know its impacts on the environment! I would also love to add more features like a section where you can find out how to help a specific animal in your daily life, a section to read different blogs, a section to sign petitions, etc. I would love if this app could be a ""one-stop shop"" for people who want to be conscious of their decisions! The possibilities are endless! 
","",,Best Hack for Social Good (JP Morgan Chase & Co),"java, api, android-studio, barcode-scanner",,University of Cincinnati,0,801B-5,University of Cincinnati,"",""
ENED Simulator 2019,https://revuc-viii.devpost.com/submissions/114821-ened-simulator-2019,Submitted (Gallery/Visible),Pending,,03/03/2019 11:41:16,"ENED-Simulator-2019

Just a realistic simulation of the beauty of ENED.
This project was a rollercoaster of sorrow and laughter. In short, our plan was to design a pointless game that would allow anyone to experience the horrors (and numerous inside jokes) associated with the introductory engineering courses at UC. Thus, ENED Simulator was born.

In order to get this whole thing running, our team had to learn SFML (a third party library) to utilize C++ code in a GUI. This process was incredibly challenging, but also very rewarding. We also implemented the numerous header files associated with VCPKG, a third party that allowed us to work with SFML in Visual Studio.

After much deliberation discussing how exactly we wanted the game to run, we spent the better part of 15 hours creating the greatest game known to mankind. Hope you enjoy!
",https://github.com/corncob567/ENED-Simulator-2019,,"Best Useless Hack, Best Undergrad Hack (Undergrad Research)","c++, sfml, vcpkg",,University of Cincinnati,2,801-15,University of Cincinnati CEAS,"",""
